Year,Age,Sex,Households,Value
2015,,,,58.3
2016,,,,58.6
2017,,,,47.3
2018,,,,43.2
2019,,,,41.3
2020,,,,47.2
2021,,,,39.1
2022,,,,
2023,,,,
2015,age_18,,,66.6
2016,age_18,,,65.5
2017,age_18,,,56.7
2018,age_18,,,51.1
2019,age_18,,,47.8
2020,age_18,,,53
2021,age_18,,,43.5
2022,age_18,,,
2023,age_18,,,
2015,age_18_34_a,,,59.4
2016,age_18_34_a,,,57.9
2017,age_18_34_a,,,47.4
2018,age_18_34_a,,,44.3
2019,age_18_34_a,,,40.1
2020,age_18_34_a,,,44.7
2021,age_18_34_a,,,36.9
2022,age_18_34_a,,,
2023,age_18_34_a,,,
2015,age_35_59_a,,,53.9
2016,age_35_59_a,,,55.2
2017,age_35_59_a,,,42
2018,age_35_59_a,,,38.1
2019,age_35_59_a,,,36.6
2020,age_35_59_a,,,43.8
2021,age_35_59_a,,,35.1
2022,age_35_59_a,,,
2023,age_35_59_a,,,
2015,age_60_a,,,57
2016,age_60_a,,,58.9
2017,age_60_a,,,47.6
2018,age_60_a,,,43.5
2019,age_60_a,,,44.4
2020,age_60_a,,,50.6
2021,age_60_a,,,44.1
2022,age_60_a,,,
2023,age_60_a,,,
2015,,males_a,,58
2016,,males_a,,58.5
2017,,males_a,,47.3
2018,,males_a,,42.4
2019,,males_a,,41.5
2020,,males_a,,46.2
2021,,males_a,,37.6
2022,,males_a,,
2023,,males_a,,
2015,,females_a,,58.6
2016,,females_a,,58.6
2017,,females_a,,47.3
2018,,females_a,,43.9
2019,,females_a,,41
2020,,females_a,,48
2021,,females_a,,40.4
2022,,females_a,,
2023,,females_a,,
2015,,,hh_ch,66.5
2016,,,hh_ch,65.2
2017,,,hh_ch,55.1
2018,,,hh_ch,49.9
2019,,,hh_ch,47.3
2020,,,hh_ch,53.6
2021,,,hh_ch,43.2
2022,,,hh_ch,
2023,,,hh_ch,
2015,,,hh_ch_0,48.8
2016,,,hh_ch_0,50.9
2017,,,hh_ch_0,38.1
2018,,,hh_ch_0,35.4
2019,,,hh_ch_0,34.3
2020,,,hh_ch_0,39.7
2021,,,hh_ch_0,34.4
2022,,,hh_ch_0,
2023,,,hh_ch_0,
