Year,Type of residence,decile_groups_a,Value
2015,,,54.6
2016,,,51.4
2017,,,49.6
2018,,,49.4
2019,,,48.5
2020,,,49.2
2021,,,47.1
2022,,,
2023,,,
2015,urban_a,,53.5
2016,urban_a,,50.3
2017,urban_a,,48.7
2018,urban_a,,48.4
2019,urban_a,,47.1
2020,urban_a,,47.4
2021,urban_a,,45.6
2022,urban_a,,
2023,urban_a,,
2015,rural_a,,57.2
2016,rural_a,,53.9
2017,rural_a,,51.7
2018,rural_a,,51.7
2019,rural_a,,51.4
2020,rural_a,,52.7
2021,rural_a,,50
2022,rural_a,,
2023,rural_a,,
2015,,dg_01_a,63
2016,,dg_01_a,59.2
2017,,dg_01_a,59.6
2018,,dg_01_a,58.9
2019,,dg_01_a,60
2020,,dg_01_a,59.2
2021,,dg_01_a,57.8
2022,,dg_01_a,
2023,,dg_01_a,
2015,,dg_02_a,61.6
2016,,dg_02_a,57.7
2017,,dg_02_a,55.8
2018,,dg_02_a,56.7
2019,,dg_02_a,56
2020,,dg_02_a,57.3
2021,,dg_02_a,55.1
2022,,dg_02_a,
2023,,dg_02_a,
2015,,dg_03_a,59.4
2016,,dg_03_a,56.3
2017,,dg_03_a,53.7
2018,,dg_03_a,53.8
2019,,dg_03_a,54.7
2020,,dg_03_a,55.9
2021,,dg_03_a,52.7
2022,,dg_03_a,
2023,,dg_03_a,
2015,,dg_04_a,57.2
2016,,dg_04_a,55.9
2017,,dg_04_a,52.7
2018,,dg_04_a,54.3
2019,,dg_04_a,53.4
2020,,dg_04_a,53
2021,,dg_04_a,49.9
2022,,dg_04_a,
2023,,dg_04_a,
2015,,dg_05_a,58.8
2016,,dg_05_a,54
2017,,dg_05_a,51.6
2018,,dg_05_a,52.1
2019,,dg_05_a,52.8
2020,,dg_05_a,52.3
2021,,dg_05_a,51.2
2022,,dg_05_a,
2023,,dg_05_a,
2015,,dg_06_a,56.2
2016,,dg_06_a,53.2
2017,,dg_06_a,51
2018,,dg_06_a,49.9
2019,,dg_06_a,49.4
2020,,dg_06_a,50.6
2021,,dg_06_a,49.9
2022,,dg_06_a,
2023,,dg_06_a,
2015,,dg_07_a,55.9
2016,,dg_07_a,48.8
2017,,dg_07_a,52
2018,,dg_07_a,49.9
2019,,dg_07_a,48.3
2020,,dg_07_a,49.8
2021,,dg_07_a,45.8
2022,,dg_07_a,
2023,,dg_07_a,
2015,,dg_08_a,53.4
2016,,dg_08_a,49.6
2017,,dg_08_a,48.9
2018,,dg_08_a,46.6
2019,,dg_08_a,47.4
2020,,dg_08_a,46.7
2021,,dg_08_a,46
2022,,dg_08_a,
2023,,dg_08_a,
2015,,dg_09_a,51.7
2016,,dg_09_a,48.5
2017,,dg_09_a,45.9
2018,,dg_09_a,47.5
2019,,dg_09_a,43.6
2020,,dg_09_a,46.6
2021,,dg_09_a,42.1
2022,,dg_09_a,
2023,,dg_09_a,
2015,,dg_10_a,43.5
2016,,dg_10_a,43
2017,,dg_10_a,39.5
2018,,dg_10_a,40.1
2019,,dg_10_a,38
2020,,dg_10_a,37.6
2021,,dg_10_a,36.7
2022,,dg_10_a,
2023,,dg_10_a,
