Year,Category,Type of residence,Age,Sex,Value
2015,,,,,0.8
2016,,,,,0.6
2017,,,,,2.8
2018,,,,,1.9
2019,,,,,3.8
2020,,,,,0.4
2021,,,,,0.7
2022,,,,,0.7
2023,,,,,0.4
2024,,,,,0.7

2015,of which internally displaced persons,,,,
2016,of which internally displaced persons,,,,
2017,of which internally displaced persons,,,,29.2
2018,of which internally displaced persons,,,,56.3
2019,of which internally displaced persons,,,,63.6
2020,of which internally displaced persons,,,,33.3
2021,of which internally displaced persons,,,,79.2
2022,of which internally displaced persons,,,,84.8
2023,of which internally displaced persons,,,,40.7
2024,of which internally displaced persons,,,,68.8

2015,By age of the housing provided to the participants,,,,
2016,By age of the housing provided to the participants,,,,
2017,By age of the housing provided to the participants,,,,
2018,By age of the housing provided to the participants,,,,
2019,By age of the housing provided to the participants,,,,
2020,By age of the housing provided to the participants,,,,
2021,By age of the housing provided to the participants,,,,
2022,By age of the housing provided to the participants,,,,
2023,By age of the housing provided to the participants,,,,
2024,By age of the housing provided to the participants,,,,

2015,,urban,,,
2016,,urban,,,
2017,,urban,,,
2018,,urban,,,
2019,,urban,,,
2020,,urban,,,
2021,,urban,,,
2022,,urban,,,
2023,,urban,,,
2024,,urban,,,

2015,,rural,,,
2016,,rural,,,
2017,,rural,,,
2018,,rural,,,
2019,,rural,,,
2020,,rural,,,
2021,,rural,,,
2022,,rural,,,
2023,,rural,,,
2024,,rural,,,

2015,,,by age,,
2016,,,by age,,
2017,,,by age,,
2018,,,by age,,
2019,,,by age,,
2020,,,by age,,
2021,,,by age,,
2022,,,by age,,
2023,,,by age,,
2024,,,by age,,

2015,,,,females_1,
2016,,,,females_1,
2017,,,,females_1,
2018,,,,females_1,
2019,,,,females_1,
2020,,,,females_1,
2021,,,,females_1,
2022,,,,females_1,
2023,,,,females_1,
2024,,,,females_1,

2015,,,,males_1,
2016,,,,males_1,
2017,,,,males_1,
2018,,,,males_1,
2019,,,,males_1,
2020,,,,males_1,
2021,,,,males_1,
2022,,,,males_1,
2023,,,,males_1,
2024,,,,males_1,
