Year,By type of shelters,Value
2015,,66/34
2016,,67/33
2017,,68/32
2018,,69/31
2019,,70/30
2020,,71/29
2021,,72/28
2022,,50/50
2023,,60/40
2024,,87/13

2015,storages,
2016,storages,
2017,storages,
2018,storages,
2019,storages,
2020,storages,
2021,storages,
2022,storages,70/30
2023,storages,60/40
2024,storages,52/48

2015,anti_radiation_shelters,
2016,anti_radiation_shelters,
2017,anti_radiation_shelters,
2018,anti_radiation_shelters,
2019,anti_radiation_shelters,
2020,anti_radiation_shelters,
2021,anti_radiation_shelters,
2022,anti_radiation_shelters,60/40
2023,anti_radiation_shelters,70/30
2024,anti_radiation_shelters,67/33

2015,dual_use_structures,
2016,dual_use_structures,
2017,dual_use_structures,
2018,dual_use_structures,
2019,dual_use_structures,
2020,dual_use_structures,
2021,dual_use_structures,
2022,dual_use_structures,
2023,dual_use_structures,66/34
2024,dual_use_structures,77/23

2015,simplest_shelters,
2016,simplest_shelters,
2017,simplest_shelters,
2018,simplest_shelters,
2019,simplest_shelters,
2020,simplest_shelters,
2021,simplest_shelters,
2022,simplest_shelters,
2023,simplest_shelters,81/19
2024,simplest_shelters,97/3
