Year,Region,By safety,Value
2015,,hazardous_waste,14
2015,,non_hazardous_waste,7274
2015,Ukraine,,7288
2015,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,1214
2015,12_reg_Volyn,,613
2015,13_reg_Dnipropetrovsk,,69533
2015,14_reg_Donetsk,,3942
2015,15_reg_Zhytomyr,,414
2015,16_reg_Zakarpattya,,106
2015,17_reg_Zaporizhzhya,,3105
2015,18_reg_Ivano-Frankivsk,,1537
2015,19_reg_Kyiv,,959
2015,20_reg_Kirovohrad,,34134
2015,21_reg_Luhansk,,1152
2015,22_reg_Lviv,,1165
2015,23_reg_Mykolayiv,,1986
2015,24_reg_Odesa,,252
2015,25_reg_Poltava,,3069
2015,26_reg_Rivne,,726
2015,27_reg_Sumy,,751
2015,28_reg_Ternopil,,758
2015,29_reg_Kharkiv,,628
2015,30_reg_Kherson,,392
2015,31_reg_Khmelnytskiy,,740
2015,32_reg_Cherkasy,,945
2015,33_reg_Chernivtsi,,438
2015,34_reg_Chernihiv,,826
2015,Kyiv_city,,556
2015,city_Sevastopol,,
2016,,hazardous_waste,15
2016,,non_hazardous_waste,6919
2016,Ukraine,,6934
2016,autonomous_Republic_of_Crimea,,
2016,11_reg_Vinnytsya,,1208
2016,12_reg_Volyn,,657
2016,13_reg_Dnipropetrovsk,,63482
2016,14_reg_Donetsk,,4749
2016,15_reg_Zhytomyr,,443
2016,16_reg_Zakarpattya,,124
2016,17_reg_Zaporizhzhya,,2886
2016,18_reg_Ivano-Frankivsk,,1401
2016,19_reg_Kyiv,,901
2016,20_reg_Kirovohrad,,35492
2016,21_reg_Luhansk,,1116
2016,22_reg_Lviv,,1095
2016,23_reg_Mykolayiv,,2050
2016,24_reg_Odesa,,271
2016,25_reg_Poltava,,3783
2016,26_reg_Rivne,,614
2016,27_reg_Sumy,,607
2016,28_reg_Ternopil,,812
2016,29_reg_Kharkiv,,721
2016,30_reg_Kherson,,367
2016,31_reg_Khmelnytskiy,,1008
2016,32_reg_Cherkasy,,986
2016,33_reg_Chernivtsi,,427
2016,34_reg_Chernihiv,,693
2016,Kyiv_city,,572
2016,city_Sevastopol,,
2017,,hazardous_waste,14
2017,,non_hazardous_waste,8602
2017,Ukraine,,8616
2017,autonomous_Republic_of_Crimea,,
2017,11_reg_Vinnytsya,,1479
2017,12_reg_Volyn,,705
2017,13_reg_Dnipropetrovsk,,75250
2017,14_reg_Donetsk,,5313
2017,15_reg_Zhytomyr,,445
2017,16_reg_Zakarpattya,,138
2017,17_reg_Zaporizhzhya,,2963
2017,18_reg_Ivano-Frankivsk,,1414
2017,19_reg_Kyiv,,726
2017,20_reg_Kirovohrad,,39150
2017,21_reg_Luhansk,,295
2017,22_reg_Lviv,,981
