Year,Group,Value
2015,energy_intensity_of_the_gross_domestic_product,100.0
2016,energy_intensity_of_the_gross_domestic_product,102.3
2017,energy_intensity_of_the_gross_domestic_product,94.7
2018,energy_intensity_of_the_gross_domestic_product,95.2
2019,energy_intensity_of_the_gross_domestic_product,88.5
2020,energy_intensity_of_the_gross_domestic_product,88.9
2021,energy_intensity_of_the_gross_domestic_product,
2022,energy_intensity_of_the_gross_domestic_product,
2023,energy_intensity_of_the_gross_domestic_product,
2024,energy_intensity_of_the_gross_domestic_product,

2015,material_intensity_of_the_gross_domestic_product,100.0
2016,material_intensity_of_the_gross_domestic_product,100.0
2017,material_intensity_of_the_gross_domestic_product,98.2
2018,material_intensity_of_the_gross_domestic_product,97.2
2019,material_intensity_of_the_gross_domestic_product,100.4
2020,material_intensity_of_the_gross_domestic_product,99.9
2021,material_intensity_of_the_gross_domestic_product,108.2
2022,material_intensity_of_the_gross_domestic_product,57.6
2023,material_intensity_of_the_gross_domestic_product,40.4
2024,material_intensity_of_the_gross_domestic_product,

2015,carbon_intensity_of_the_gross_domestic_product,100.0
2016,carbon_intensity_of_the_gross_domestic_product,105.8
2017,carbon_intensity_of_the_gross_domestic_product,85.1
2018,carbon_intensity_of_the_gross_domestic_product,83.8
2019,carbon_intensity_of_the_gross_domestic_product,77.9
2020,carbon_intensity_of_the_gross_domestic_product,72.8
2021,carbon_intensity_of_the_gross_domestic_product,72.2
2022,carbon_intensity_of_the_gross_domestic_product,57.4
2023,carbon_intensity_of_the_gross_domestic_product,58.1
2024,carbon_intensity_of_the_gross_domestic_product,

2015,water_intensity_of_the_gross_domestic_product,100.0
2016,water_intensity_of_the_gross_domestic_product,98.2
2017,water_intensity_of_the_gross_domestic_product,91.7
2018,water_intensity_of_the_gross_domestic_product,95.1
2019,water_intensity_of_the_gross_domestic_product,91.6
2020,water_intensity_of_the_gross_domestic_product,94.2
2021,water_intensity_of_the_gross_domestic_product,77.3
2022,water_intensity_of_the_gross_domestic_product,60.1
2023,water_intensity_of_the_gross_domestic_product,
2024,water_intensity_of_the_gross_domestic_product,

2015,waste_intensity_of_the_gross_domestic_product,100.0
2016,waste_intensity_of_the_gross_domestic_product,92.5
2017,waste_intensity_of_the_gross_domestic_product,111.6
2018,waste_intensity_of_the_gross_domestic_product,103.9
2019,waste_intensity_of_the_gross_domestic_product,126.1
2020,waste_intensity_of_the_gross_domestic_product,137.3
2021,waste_intensity_of_the_gross_domestic_product,141.6
2022,waste_intensity_of_the_gross_domestic_product,82.1
2023,waste_intensity_of_the_gross_domestic_product,67.4
2024,waste_intensity_of_the_gross_domestic_product,
