Year,Region,group_2,Value
2015,,,147.692
2015,,group_label_90,147.425
2015,,group_label_91,0.267
2015,Ukraine,,147.692
2015,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,
2015,12_reg_Volyn,,
2015,13_reg_Dnipropetrovsk,,
2015,14_reg_Donetsk,,141.621
2015,15_reg_Zhytomyr,,
2015,16_reg_Zakarpattya,,
2015,17_reg_Zaporizhzhya,,5.772
2015,18_reg_Ivano-Frankivsk,,
2015,19_reg_Kyiv,,
2015,20_reg_Kirovohrad,,
2015,21_reg_Luhansk,,
2015,22_reg_Lviv,,
2015,23_reg_Mykolayiv,,0.196
2015,24_reg_Odesa,,
2015,25_reg_Poltava,,
2015,26_reg_Rivne,,
2015,27_reg_Sumy,,
2015,28_reg_Ternopil,,
2015,29_reg_Kharkiv,,
2015,30_reg_Kherson,,0.103
2015,31_reg_Khmelnytskiy,,
2015,32_reg_Cherkasy,,
2015,33_reg_Chernivtsi,,
2015,34_reg_Chernihiv,,
2015,35_reg_Kyiv_city,,
2015,city_Sevastopol,,
2016,,,147.400
2016,,group_label_90,146.500
2016,,group_label_91,0.900
2016,Ukraine,,147.400
2016,autonomous_Republic_of_Crimea,,
2016,11_reg_Vinnytsya,,
2016,12_reg_Volyn,,
2016,13_reg_Dnipropetrovsk,,
2016,14_reg_Donetsk,,140.760
2016,15_reg_Zhytomyr,,
2016,16_reg_Zakarpattya,,
2016,17_reg_Zaporizhzhya,,5.739
2016,18_reg_Ivano-Frankivsk,,
2016,19_reg_Kyiv,,
2016,20_reg_Kirovohrad,,
2016,21_reg_Luhansk,,
2016,22_reg_Lviv,,
2016,23_reg_Mykolayiv,,0.185
2016,24_reg_Odesa,,
2016,25_reg_Poltava,,
2016,26_reg_Rivne,,
2016,27_reg_Sumy,,
2016,28_reg_Ternopil,,
2016,29_reg_Kharkiv,,
2016,30_reg_Kherson,,0.716
2016,31_reg_Khmelnytskiy,,
2016,32_reg_Cherkasy,,
2016,33_reg_Chernivtsi,,
2016,34_reg_Chernihiv,,
2016,35_reg_Kyiv_city,,
2016,city_Sevastopol,,
2017,,,160.500
2017,,group_label_90,159.702
2017,,group_label_91,0.798
2017,Ukraine,,160.500
2017,autonomous_Republic_of_Crimea,,
2017,11_reg_Vinnytsya,,
2017,12_reg_Volyn,,
2017,13_reg_Dnipropetrovsk,,
2017,14_reg_Donetsk,,154.000
2017,15_reg_Zhytomyr,,
2017,16_reg_Zakarpattya,,
2017,17_reg_Zaporizhzhya,,5.702
2017,18_reg_Ivano-Frankivsk,,
2017,19_reg_Kyiv,,
2017,20_reg_Kirovohrad,,
2017,21_reg_Luhansk,,
2017,22_reg_Lviv,,
2017,23_reg_Mykolayiv,,0.239
2017,24_reg_Odesa,,
2017,25_reg_Poltava,,
2017,26_reg_Rivne,,
2017,27_reg_Sumy,,
2017,28_reg_Ternopil,,
2017,29_reg_Kharkiv,,
2017,30_reg_Kherson,,0.559
2017,31_reg_Khmelnytskiy,,
2017,32_reg_Cherkasy,,
2017,33_reg_Chernivtsi,,
2017,34_reg_Chernihiv,,
2017,35_reg_Kyiv_city,,
2017,city_Sevastopol,,
2018,,,146.573
2018,,group_label_90,145.252
2018,,group_label_91,1.321
2018,Ukraine,,146.573
2018,autonomous_Republic_of_Crimea,,
2018,11_reg_Vinnytsya,,
2018,12_reg_Volyn,,
2018,13_reg_Dnipropetrovsk,,
2018,14_reg_Donetsk,,139.900
2018,15_reg_Zhytomyr,,
2018,16_reg_Zakarpattya,,
2018,17_reg_Zaporizhzhya,,5.352
2018,18_reg_Ivano-Frankivsk,,
2018,19_reg_Kyiv,,
2018,20_reg_Kirovohrad,,
2018,21_reg_Luhansk,,
2018,22_reg_Lviv,,
2018,23_reg_Mykolayiv,,0.242
2018,24_reg_Odesa,,
2018,25_reg_Poltava,,
2018,26_reg_Rivne,,
2018,27_reg_Sumy,,
2018,28_reg_Ternopil,,
2018,29_reg_Kharkiv,,
2018,30_reg_Kherson,,1.079
2018,31_reg_Khmelnytskiy,,
2018,32_reg_Cherkasy,,
2018,33_reg_Chernivtsi,,
2018,34_reg_Chernihiv,,
2018,35_reg_Kyiv_city,,
2018,city_Sevastopol,,
2019,,,6.240
2019,,group_label_90,4.856
2019,,group_label_91,1.384
2019,Ukraine,,6.240
2019,autonomous_Republic_of_Crimea,,
2019,11_reg_Vinnytsya,,
2019,12_reg_Volyn,,
2019,13_reg_Dnipropetrovsk,,
2019,14_reg_Donetsk,,0.040
2019,15_reg_Zhytomyr,,
2019,16_reg_Zakarpattya,,
2019,17_reg_Zaporizhzhya,,4.816
2019,18_reg_Ivano-Frankivsk,,
2019,19_reg_Kyiv,,
2019,20_reg_Kirovohrad,,
2019,21_reg_Luhansk,,
2019,22_reg_Lviv,,
2019,23_reg_Mykolayiv,,0.236
2019,24_reg_Odesa,,0.534
2019,25_reg_Poltava,,
2019,26_reg_Rivne,,
2019,27_reg_Sumy,,
2019,28_reg_Ternopil,,
2019,29_reg_Kharkiv,,
2019,30_reg_Kherson,,0.614
2019,31_reg_Khmelnytskiy,,
2019,32_reg_Cherkasy,,
2019,33_reg_Chernivtsi,,
2019,34_reg_Chernihiv,,
2019,35_reg_Kyiv_city,,
2019,city_Sevastopol,,
2020,,,6.309
2020,,group_label_90,5.313
2020,,group_label_91,0.996
2020,Ukraine,,6.309
2020,autonomous_Republic_of_Crimea,,
2020,11_reg_Vinnytsya,,
2020,12_reg_Volyn,,
2020,13_reg_Dnipropetrovsk,,
2020,14_reg_Donetsk,,0.107
2020,15_reg_Zhytomyr,,
2020,16_reg_Zakarpattya,,
2020,17_reg_Zaporizhzhya,,5.195
2020,18_reg_Ivano-Frankivsk,,
2020,19_reg_Kyiv,,
2020,20_reg_Kirovohrad,,
2020,21_reg_Luhansk,,
2020,22_reg_Lviv,,
2020,23_reg_Mykolayiv,,0.267
2020,24_reg_Odesa,,0.132
2020,25_reg_Poltava,,
2020,26_reg_Rivne,,
2020,27_reg_Sumy,,
2020,28_reg_Ternopil,,
2020,29_reg_Kharkiv,,
2020,30_reg_Kherson,,0.608
2020,31_reg_Khmelnytskiy,,
2020,32_reg_Cherkasy,,
2020,33_reg_Chernivtsi,,
2020,34_reg_Chernihiv,,
2020,35_reg_Kyiv_city,,
2020,city_Sevastopol,,
2021,,,6.783
2021,,group_label_90,5.307
2021,,group_label_91,1.476
2021,Ukraine,,6.783
2021,autonomous_Republic_of_Crimea,,
2021,11_reg_Vinnytsya,,
2021,12_reg_Volyn,,
2021,13_reg_Dnipropetrovsk,,
2021,14_reg_Donetsk,,0.312
2021,15_reg_Zhytomyr,,
2021,16_reg_Zakarpattya,,
2021,17_reg_Zaporizhzhya,,4.994
2021,18_reg_Ivano-Frankivsk,,
2021,19_reg_Kyiv,,
2021,20_reg_Kirovohrad,,
2021,21_reg_Luhansk,,
2021,22_reg_Lviv,,
2021,23_reg_Mykolayiv,,0.263
2021,24_reg_Odesa,,0.632
2021,25_reg_Poltava,,
2021,26_reg_Rivne,,
2021,27_reg_Sumy,,
2021,28_reg_Ternopil,,
2021,29_reg_Kharkiv,,
2021,30_reg_Kherson,,0.582
2021,31_reg_Khmelnytskiy,,
2021,32_reg_Cherkasy,,
2021,33_reg_Chernivtsi,,
2021,34_reg_Chernihiv,,
2021,35_reg_Kyiv_city,,
2021,city_Sevastopol,,
2022,,,0.405
2022,,group_label_90,
2022,,group_label_91,0.405
2022,Ukraine,,0.405
2022,autonomous_Republic_of_Crimea,,
2022,11_reg_Vinnytsya,,
2022,12_reg_Volyn,,
2022,13_reg_Dnipropetrovsk,,
2022,14_reg_Donetsk,,
2022,15_reg_Zhytomyr,,
2022,16_reg_Zakarpattya,,
2022,17_reg_Zaporizhzhya,,
2022,18_reg_Ivano-Frankivsk,,
2022,19_reg_Kyiv,,
2022,20_reg_Kirovohrad,,
2022,21_reg_Luhansk,,
2022,22_reg_Lviv,,
2022,23_reg_Mykolayiv,,0.155
2022,24_reg_Odesa,,0.250
2022,25_reg_Poltava,,
2022,26_reg_Rivne,,
2022,27_reg_Sumy,,
2022,28_reg_Ternopil,,
2022,29_reg_Kharkiv,,
2022,30_reg_Kherson,,
2022,31_reg_Khmelnytskiy,,
2022,32_reg_Cherkasy,,
2022,33_reg_Chernivtsi,,
2022,34_reg_Chernihiv,,
2022,35_reg_Kyiv_city,,
2022,city_Sevastopol,,
2023,,,0.488
2023,,group_label_90,
2023,,group_label_91,0.488
2023,Ukraine,,0.488
2023,autonomous_Republic_of_Crimea,,
2023,11_reg_Vinnytsya,,
2023,12_reg_Volyn,,
2023,13_reg_Dnipropetrovsk,,
2023,14_reg_Donetsk,,
2023,15_reg_Zhytomyr,,
2023,16_reg_Zakarpattya,,
2023,17_reg_Zaporizhzhya,,
2023,18_reg_Ivano-Frankivsk,,
2023,19_reg_Kyiv,,
2023,20_reg_Kirovohrad,,
2023,21_reg_Luhansk,,
2023,22_reg_Lviv,,
2023,23_reg_Mykolayiv,,0.146
2023,24_reg_Odesa,,0.342
2023,25_reg_Poltava,,
2023,26_reg_Rivne,,
2023,27_reg_Sumy,,
2023,28_reg_Ternopil,,
2023,29_reg_Kharkiv,,
2023,30_reg_Kherson,,
2023,31_reg_Khmelnytskiy,,
2023,32_reg_Cherkasy,,
2023,33_reg_Chernivtsi,,
2023,34_reg_Chernihiv,,
2023,35_reg_Kyiv_city,,
2023,city_Sevastopol,,
2024,,,0.414
2024,,group_label_90,
2024,,group_label_91,0.414
2024,Ukraine,,0.414
2024,autonomous_Republic_of_Crimea,,
2024,11_reg_Vinnytsya,,
2024,12_reg_Volyn,,
2024,13_reg_Dnipropetrovsk,,
2024,14_reg_Donetsk,,
2024,15_reg_Zhytomyr,,
2024,16_reg_Zakarpattya,,
2024,17_reg_Zaporizhzhya,,
2024,18_reg_Ivano-Frankivsk,,
2024,19_reg_Kyiv,,
2024,20_reg_Kirovohrad,,
2024,21_reg_Luhansk,,
2024,22_reg_Lviv,,
2024,23_reg_Mykolayiv,,0.148
2024,24_reg_Odesa,,0.266
2024,25_reg_Poltava,,
2024,26_reg_Rivne,,
2024,27_reg_Sumy,,
2024,28_reg_Ternopil,,
2024,29_reg_Kharkiv,,
2024,30_reg_Kherson,,
2024,31_reg_Khmelnytskiy,,
2024,32_reg_Cherkasy,,
2024,33_reg_Chernivtsi,,
2024,34_reg_Chernihiv,,
2024,35_reg_Kyiv_city,,
2024,city_Sevastopol,,
