Year,group_3,Value
2015,group_label_93,0.008
2016,group_label_93,0.009
2017,group_label_93,0.014
2018,group_label_93,0.013
2019,group_label_93,0.012
2020,group_label_93,0.013
2021,group_label_93,0.011
2022,group_label_93,0.011
2023,group_label_93,0.016
2024,group_label_93,0.019
2015,group_label_94,0.024
2016,group_label_94,0.028
2017,group_label_94,0.063
2018,group_label_94,0.030
2019,group_label_94,0.023
2020,group_label_94,0.030
2021,group_label_94,0.033
2022,group_label_94,0.038
2023,group_label_94,0.034
2024,group_label_94,0.087
2015,group_label_95,1.227
2016,group_label_95,0.822
2017,group_label_95,0.057
2018,group_label_95,0.076
2019,group_label_95,0.180
2020,group_label_95,0.044
2021,group_label_95,0.128
2022,group_label_95,0.117
2023,group_label_95,0.219
2024,group_label_95,0.290
2015,group_label_96,0.002
2016,group_label_96,0.002
2017,group_label_96,0.002
2018,group_label_96,0.003
2019,group_label_96,0.002
2020,group_label_96,0.003
2021,group_label_96,0.003
2022,group_label_96,0.004
2023,group_label_96,0.006
2024,group_label_96,0.004
2015,group_label_97,0.001
2016,group_label_97,0.002
2017,group_label_97,0.000
2018,group_label_97,0.002
2019,group_label_97,0.000
2020,group_label_97,0.004
2021,group_label_97,0.010
2022,group_label_97,0.011
2023,group_label_97,0.053
2024,group_label_97,0.019
2015,group_label_98,1.230
2016,group_label_98,0.826
2017,group_label_98,0.057
2018,group_label_98,0.002
2019,group_label_98,0.182
2020,group_label_98,0.048
2021,group_label_98,0.140
2022,group_label_98,0.131
2023,group_label_98,0.269
2024,group_label_98,0.299
2015,group_label_99,34.038
2016,group_label_99,1.783
2017,group_label_99,0.791
2018,group_label_99,0.691
2019,group_label_99,0.803
2020,group_label_99,0.521
2021,group_label_99,0.804
2022,group_label_99,0.674
2023,group_label_99,3.015
2024,group_label_99,5.985
2015,group_label_100,0.002
2016,group_label_100,0.002
2017,group_label_100,0.002
2018,group_label_100,0.003
2019,group_label_100,0.002
2020,group_label_100,0.002
2021,group_label_100,0.002
2022,group_label_100,0.003
2023,group_label_100,0.004
2024,group_label_100,0.002
2015,group_label_101,
2016,group_label_101,
2017,group_label_101,
2018,group_label_101,
2019,group_label_101,
2020,group_label_101,
2021,group_label_101,
2022,group_label_101,
2023,group_label_101,
2024,group_label_101,
2015,group_label_102,10.341
2016,group_label_102,10.154
2017,group_label_102,9.688
2018,group_label_102,9.793
2019,group_label_102,9.936
2020,group_label_102,8.548
2021,group_label_102,8.813
2022,group_label_102,8.663
2023,group_label_102,8.898
2024,group_label_102,9.432
2015,group_label_103,1.197
2016,group_label_103,1.085
2017,group_label_103,1.227
2018,group_label_103,1.383
2019,group_label_103,1.526
2020,group_label_103,0.953
2021,group_label_103,1.152
2022,group_label_103,1.099
2023,group_label_103,1.374
2024,group_label_103,1.579
