Year,Region,Age,Sex,Type of residence,group_17,Value
2015,,age_15,,,,
2015,,group_label_183,,,,0.6
2015,,group_label_184,,,,1.1
2015,,group_label_185,,,,2.5
2015,,group_label_186,,,,2.9
2015,,group_label_187,,,,2.6
2015,,group_label_188,,,,4.5
2015,,,females_1,,,2.4
2015,,,males_1,,,1.8
2015,,,,urban,,2.2
2015,,,,rural,,1.6
2015,,,,,dg_01,0.6
2015,,,,,dg_02,2.0
2015,,,,,dg_03,0.5
2015,,,,,dg_04,1.1
2015,,,,,dg_05,1.7
2015,,,,,dg_06,2.1
2015,,,,,dg_07,2.6
2015,,,,,dg_08,2.6
2015,,,,,dg_09,2.4
2015,,,,,dg_10,4.4
2015,,,,,,2.1
2015,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,1.9
2015,12_reg_Volyn,,,,,0.0
2015,13_reg_Dnipropetrovsk,,,,,1.7
2015,14_reg_Donetsk,,,,,0.9
2015,15_reg_Zhytomyr,,,,,5.2
2015,16_reg_Zakarpattya,,,,,0.1
2015,17_reg_Zaporizhzhya,,,,,1.6
2015,18_reg_Ivano-Frankivsk,,,,,2.2
2015,19_reg_Kyiv,,,,,0.5
2015,20_reg_Kirovohrad,,,,,0.5
2015,21_reg_Luhansk,,,,,2.5
2015,22_reg_Lviv,,,,,2.0
2015,23_reg_Mykolayiv,,,,,3.9
2015,24_reg_Odesa,,,,,3.9
2015,25_reg_Poltava,,,,,0.5
2015,26_reg_Rivne,,,,,0.3
2015,27_reg_Sumy,,,,,0.4
2015,28_reg_Ternopil,,,,,0.7
2015,29_reg_Kharkiv,,,,,2.2
2015,30_reg_Kherson,,,,,1.8
2015,31_reg_Khmelnytskiy,,,,,1.3
2015,32_reg_Cherkasy,,,,,1.6
2015,33_reg_Chernivtsi,,,,,5.1
2015,34_reg_Chernihiv,,,,,1.8
2015,Kyiv_city,,,,,4.7
2015,city_Sevastopol,,,,,
2016,,age_15,,,,
2016,,group_label_183,,,,0.2
2016,,group_label_184,,,,0.4
2016,,group_label_185,,,,2.3
2016,,group_label_186,,,,2.3
2016,,group_label_187,,,,1.6
2016,,group_label_188,,,,2.5
2016,,,females_1,,,2.0
2016,,,males_1,,,1.3
2016,,,,urban,,1.8
2016,,,,rural,,1.3
2016,,,,,dg_01,1.1
2016,,,,,dg_02,0.9
2016,,,,,dg_03,1.4
2016,,,,,dg_04,0.4
2016,,,,,dg_05,1.7
2016,,,,,dg_06,1.4
2016,,,,,dg_07,1.9
2016,,,,,dg_08,2.1
2016,,,,,dg_09,1.6
2016,,,,,dg_10,3.8
2016,,,,,,1.7
2016,autonomous_Republic_of_Crimea,,,,,
2016,11_reg_Vinnytsya,,,,,1.5
2016,12_reg_Volyn,,,,,1.3
2016,13_reg_Dnipropetrovsk,,,,,1.7
2016,14_reg_Donetsk,,,,,1.9
2016,15_reg_Zhytomyr,,,,,3.5
2016,16_reg_Zakarpattya,,,,,0.0
2016,17_reg_Zaporizhzhya,,,,,0.7
2016,18_reg_Ivano-Frankivsk,,,,,1.0
2016,19_reg_Kyiv,,,,,0.5
2016,20_reg_Kirovohrad,,,,,0.8
2016,21_reg_Luhansk,,,,,2.8
2016,22_reg_Lviv,,,,,1.3
2016,23_reg_Mykolayiv,,,,,3.0
2016,24_reg_Odesa,,,,,1.9
2016,25_reg_Poltava,,,,,2.0
2016,26_reg_Rivne,,,,,0.9
2016,27_reg_Sumy,,,,,0.1
2016,28_reg_Ternopil,,,,,1.4
2016,29_reg_Kharkiv,,,,,2.2
2016,30_reg_Kherson,,,,,1.8
2016,31_reg_Khmelnytskiy,,,,,0.5
2016,32_reg_Cherkasy,,,,,2.1
2016,33_reg_Chernivtsi,,,,,4.4
2016,34_reg_Chernihiv,,,,,1.2
2016,Kyiv_city,,,,,2.4
2016,city_Sevastopol,,,,,
2017,,age_15,,,,0.1
2017,,group_label_183,,,,0.1
2017,,group_label_184,,,,0.4
2017,,group_label_185,,,,2.1
2017,,group_label_186,,,,3.1
2017,,group_label_187,,,,1.1
2017,,group_label_188,,,,4.2
2017,,,females_1,,,2.3
2017,,,males_1,,,1.5
2017,,,,urban,,2.0
2017,,,,rural,,1.5
2017,,,,,dg_01,0.1
2017,,,,,dg_02,0.3
2017,,,,,dg_03,0.5
2017,,,,,dg_04,1.6
2017,,,,,dg_05,2.2
2017,,,,,dg_06,1.5
2017,,,,,dg_07,1.9
2017,,,,,dg_08,2.9
2017,,,,,dg_09,2.9
2017,,,,,dg_10,3.9
2017,,,,,,1.9
2017,autonomous_Republic_of_Crimea,,,,,
2017,11_reg_Vinnytsya,,,,,3.5
2017,12_reg_Volyn,,,,,0.4
2017,13_reg_Dnipropetrovsk,,,,,3.3
2017,14_reg_Donetsk,,,,,2.3
2017,15_reg_Zhytomyr,,,,,2.0
2017,16_reg_Zakarpattya,,,,,0.0
2017,17_reg_Zaporizhzhya,,,,,1.8
2017,18_reg_Ivano-Frankivsk,,,,,0.0
2017,19_reg_Kyiv,,,,,0.9
2017,20_reg_Kirovohrad,,,,,2.5
2017,21_reg_Luhansk,,,,,2.1
2017,22_reg_Lviv,,,,,1.0
2017,23_reg_Mykolayiv,,,,,0.0
2017,24_reg_Odesa,,,,,1.6
2017,25_reg_Poltava,,,,,3.3
2017,26_reg_Rivne,,,,,1.1
2017,27_reg_Sumy,,,,,0.0
2017,28_reg_Ternopil,,,,,0.5
2017,29_reg_Kharkiv,,,,,0.7
2017,30_reg_Kherson,,,,,2.9
2017,31_reg_Khmelnytskiy,,,,,1.0
2017,32_reg_Cherkasy,,,,,3.6
2017,33_reg_Chernivtsi,,,,,2.6
2017,34_reg_Chernihiv,,,,,2.8
2017,Kyiv_city,,,,,3.8
2017,city_Sevastopol,,,,,
2018,,age_15,,,,0.2
2018,,group_label_183,,,,0.1
2018,,group_label_184,,,,0.7
2018,,group_label_185,,,,1.6
2018,,group_label_186,,,,3.4
2018,,group_label_187,,,,1.4
2018,,group_label_188,,,,0.2
2018,,,females_1,,,2.4
2018,,,males_1,,,1.4
2018,,,,urban,,2.1
2018,,,,rural,,1.5
2018,,,,,dg_01,1.1
2018,,,,,dg_02,0.8
2018,,,,,dg_03,0.2
2018,,,,,dg_04,0.7
2018,,,,,dg_05,2.0
2018,,,,,dg_06,1.9
2018,,,,,dg_07,1.5
2018,,,,,dg_08,1.8
2018,,,,,dg_09,3.3
2018,,,,,dg_10,4.6
2018,,,,,,1.9
2018,autonomous_Republic_of_Crimea,,,,,
2018,11_reg_Vinnytsya,,,,,3.1
2018,12_reg_Volyn,,,,,0.7
2018,13_reg_Dnipropetrovsk,,,,,1.6
2018,14_reg_Donetsk,,,,,1.1
2018,15_reg_Zhytomyr,,,,,6.6
2018,16_reg_Zakarpattya,,,,,1.0
2018,17_reg_Zaporizhzhya,,,,,2.0
2018,18_reg_Ivano-Frankivsk,,,,,0.0
2018,19_reg_Kyiv,,,,,3.1
2018,20_reg_Kirovohrad,,,,,0.0
2018,21_reg_Luhansk,,,,,1.4
2018,22_reg_Lviv,,,,,0.3
2018,23_reg_Mykolayiv,,,,,0.5
2018,24_reg_Odesa,,,,,1.6
2018,25_reg_Poltava,,,,,0.9
2018,26_reg_Rivne,,,,,2.9
2018,27_reg_Sumy,,,,,0.2
2018,28_reg_Ternopil,,,,,2.0
2018,29_reg_Kharkiv,,,,,1.2
2018,30_reg_Kherson,,,,,0.9
2018,31_reg_Khmelnytskiy,,,,,2.1
2018,32_reg_Cherkasy,,,,,1.2
2018,33_reg_Chernivtsi,,,,,4.7
2018,34_reg_Chernihiv,,,,,6.9
2018,Kyiv_city,,,,,3.8
2018,city_Sevastopol,,,,,
2019,,age_15,,,,0.0
2019,,group_label_183,,,,0.0
2019,,group_label_184,,,,0.9
2019,,group_label_185,,,,2.7
2019,,group_label_186,,,,3.9
2019,,group_label_187,,,,2.1
2019,,group_label_188,,,,1.4
2019,,,females_1,,,2.9
2019,,,males_1,,,2.0
2019,,,,urban,,2.7
2019,,,,rural,,1.7
2019,,,,,dg_01,0.6
2019,,,,,dg_02,0.1
2019,,,,,dg_03,1.2
2019,,,,,dg_04,1.4
2019,,,,,dg_05,0.6
2019,,,,,dg_06,2.0
2019,,,,,dg_07,2.2
2019,,,,,dg_08,3.1
2019,,,,,dg_09,4.2
2019,,,,,dg_10,6.9
2019,,,,,,2.5
2019,autonomous_Republic_of_Crimea,,,,,
2019,11_reg_Vinnytsya,,,,,1.7
2019,12_reg_Volyn,,,,,1.5
2019,13_reg_Dnipropetrovsk,,,,,5.0
2019,14_reg_Donetsk,,,,,3.5
2019,15_reg_Zhytomyr,,,,,2.2
2019,16_reg_Zakarpattya,,,,,1.3
2019,17_reg_Zaporizhzhya,,,,,1.8
2019,18_reg_Ivano-Frankivsk,,,,,2.6
2019,19_reg_Kyiv,,,,,0.0
2019,20_reg_Kirovohrad,,,,,0.5
2019,21_reg_Luhansk,,,,,4.6
2019,22_reg_Lviv,,,,,0.8
2019,23_reg_Mykolayiv,,,,,2.0
2019,24_reg_Odesa,,,,,1.8
2019,25_reg_Poltava,,,,,0.9
2019,26_reg_Rivne,,,,,0.3
2019,27_reg_Sumy,,,,,0.7
2019,28_reg_Ternopil,,,,,3.6
2019,29_reg_Kharkiv,,,,,1.7
2019,30_reg_Kherson,,,,,4.2
2019,31_reg_Khmelnytskiy,,,,,0.8
2019,32_reg_Cherkasy,,,,,2.0
2019,33_reg_Chernivtsi,,,,,4.7
2019,34_reg_Chernihiv,,,,,4.1
2019,Kyiv_city,,,,,4.5
2019,city_Sevastopol,,,,,
2020,,age_15,,,,0.0
2020,,group_label_183,,,,0.7
2020,,group_label_184,,,,2.4
2020,,group_label_185,,,,4.1
2020,,group_label_186,,,,4.6
2020,,group_label_187,,,,3.2
2020,,group_label_188,,,,5.8
2020,,,females_1,,,3.6
2020,,,males_1,,,3.1
2020,,,,urban,,3.7
2020,,,,rural,,2.4
2020,,,,,dg_01,0.7
2020,,,,,dg_02,1.2
2020,,,,,dg_03,2.8
2020,,,,,dg_04,3.0
2020,,,,,dg_05,3.1
2020,,,,,dg_06,4.9
2020,,,,,dg_07,1.9
2020,,,,,dg_08,4.3
2020,,,,,dg_09,2.9
2020,,,,,dg_10,7.5
2020,,,,,,3.3
2020,autonomous_Republic_of_Crimea,,,,,
2020,11_reg_Vinnytsya,,,,,4.4
2020,12_reg_Volyn,,,,,1.5
2020,13_reg_Dnipropetrovsk,,,,,4.0
2020,14_reg_Donetsk,,,,,6.6
2020,15_reg_Zhytomyr,,,,,4.6
2020,16_reg_Zakarpattya,,,,,0.0
2020,17_reg_Zaporizhzhya,,,,,1.4
2020,18_reg_Ivano-Frankivsk,,,,,2.9
2020,19_reg_Kyiv,,,,,1.1
2020,20_reg_Kirovohrad,,,,,2.0
2020,21_reg_Luhansk,,,,,4.6
2020,22_reg_Lviv,,,,,2.6
2020,23_reg_Mykolayiv,,,,,2.7
2020,24_reg_Odesa,,,,,6.7
2020,25_reg_Poltava,,,,,1.6
2020,26_reg_Rivne,,,,,0.8
2020,27_reg_Sumy,,,,,0.1
2020,28_reg_Ternopil,,,,,3.7
2020,29_reg_Kharkiv,,,,,2.4
2020,30_reg_Kherson,,,,,3.4
2020,31_reg_Khmelnytskiy,,,,,3.0
2020,32_reg_Cherkasy,,,,,3.9
2020,33_reg_Chernivtsi,,,,,4.6
2020,34_reg_Chernihiv,,,,,1.5
2020,Kyiv_city,,,,,5.8
2020,city_Sevastopol,,,,,
2021,,age_15,,,,0.0
2021,,group_label_183,,,,0.7
2021,,group_label_184,,,,3.1
2021,,group_label_185,,,,7.1
2021,,group_label_186,,,,5.7
2021,,group_label_187,,,,2.6
2021,,group_label_188,,,,0.0
2021,,,females_1,,,4.7
2021,,,males_1,,,4.0
2021,,,,urban,,5.3
2021,,,,rural,,2.2
2021,,,,,dg_01,1.3
2021,,,,,dg_02,3.1
2021,,,,,dg_03,1.5
2021,,,,,dg_04,2.1
2021,,,,,dg_05,2.3
2021,,,,,dg_06,4.1
2021,,,,,dg_07,4.5
2021,,,,,dg_08,4.6
2021,,,,,dg_09,7.7
2021,,,,,dg_10,10.5
2021,,,,,,4.3
2021,autonomous_Republic_of_Crimea,,,,,
2021,11_reg_Vinnytsya,,,,,4.2
2021,12_reg_Volyn,,,,,3.2
2021,13_reg_Dnipropetrovsk,,,,,6.7
2021,14_reg_Donetsk,,,,,2.6
2021,15_reg_Zhytomyr,,,,,5.7
2021,16_reg_Zakarpattya,,,,,1.4
2021,17_reg_Zaporizhzhya,,,,,2.4
2021,18_reg_Ivano-Frankivsk,,,,,0.7
2021,19_reg_Kyiv,,,,,5.7
2021,20_reg_Kirovohrad,,,,,0.5
2021,21_reg_Luhansk,,,,,5.6
2021,22_reg_Lviv,,,,,5.0
2021,23_reg_Mykolayiv,,,,,3.8
2021,24_reg_Odesa,,,,,8.7
2021,25_reg_Poltava,,,,,1.7
2021,26_reg_Rivne,,,,,0.2
2021,27_reg_Sumy,,,,,0.0
2021,28_reg_Ternopil,,,,,1.0
2021,29_reg_Kharkiv,,,,,4.8
2021,30_reg_Kherson,,,,,1.3
2021,31_reg_Khmelnytskiy,,,,,4.5
2021,32_reg_Cherkasy,,,,,3.0
2021,33_reg_Chernivtsi,,,,,5.4
2021,34_reg_Chernihiv,,,,,0.8
2021,Kyiv_city,,,,,9.6
2021,city_Sevastopol,,,,,
2022,,age_15,,,,
2022,,group_label_183,,,,
2022,,group_label_184,,,,
2022,,group_label_185,,,,
2022,,group_label_186,,,,
2022,,group_label_187,,,,
2022,,group_label_188,,,,
2022,,,females_1,,,
2022,,,males_1,,,
2022,,,,urban,,
2022,,,,rural,,
2022,,,,,dg_01,
2022,,,,,dg_02,
2022,,,,,dg_03,
2022,,,,,dg_04,
2022,,,,,dg_05,
2022,,,,,dg_06,
2022,,,,,dg_07,
2022,,,,,dg_08,
2022,,,,,dg_09,
2022,,,,,dg_10,
2022,,,,,,
2022,autonomous_Republic_of_Crimea,,,,,
2022,11_reg_Vinnytsya,,,,,
2022,12_reg_Volyn,,,,,
2022,13_reg_Dnipropetrovsk,,,,,
2022,14_reg_Donetsk,,,,,
2022,15_reg_Zhytomyr,,,,,
2022,16_reg_Zakarpattya,,,,,
2022,17_reg_Zaporizhzhya,,,,,
2022,18_reg_Ivano-Frankivsk,,,,,
2022,19_reg_Kyiv,,,,,
2022,20_reg_Kirovohrad,,,,,
2022,21_reg_Luhansk,,,,,
2022,22_reg_Lviv,,,,,
2022,23_reg_Mykolayiv,,,,,
2022,24_reg_Odesa,,,,,
2022,25_reg_Poltava,,,,,
2022,26_reg_Rivne,,,,,
2022,27_reg_Sumy,,,,,
2022,28_reg_Ternopil,,,,,
2022,29_reg_Kharkiv,,,,,
2022,30_reg_Kherson,,,,,
2022,31_reg_Khmelnytskiy,,,,,
2022,32_reg_Cherkasy,,,,,
2022,33_reg_Chernivtsi,,,,,
2022,34_reg_Chernihiv,,,,,
2022,Kyiv_city,,,,,
2022,city_Sevastopol,,,,,
2023,,age_15,,,,
2023,,group_label_183,,,,
2023,,group_label_184,,,,
2023,,group_label_185,,,,
2023,,group_label_186,,,,
2023,,group_label_187,,,,
2023,,group_label_188,,,,
2023,,,females_1,,,
2023,,,males_1,,,
2023,,,,urban,,
2023,,,,rural,,
2023,,,,,dg_01,
2023,,,,,dg_02,
2023,,,,,dg_03,
2023,,,,,dg_04,
2023,,,,,dg_05,
2023,,,,,dg_06,
2023,,,,,dg_07,
2023,,,,,dg_08,
2023,,,,,dg_09,
2023,,,,,dg_10,
2023,,,,,,
2023,autonomous_Republic_of_Crimea,,,,,
2023,11_reg_Vinnytsya,,,,,
2023,12_reg_Volyn,,,,,
2023,13_reg_Dnipropetrovsk,,,,,
2023,14_reg_Donetsk,,,,,
2023,15_reg_Zhytomyr,,,,,
2023,16_reg_Zakarpattya,,,,,
2023,17_reg_Zaporizhzhya,,,,,
2023,18_reg_Ivano-Frankivsk,,,,,
2023,19_reg_Kyiv,,,,,
2023,20_reg_Kirovohrad,,,,,
2023,21_reg_Luhansk,,,,,
2023,22_reg_Lviv,,,,,
2023,23_reg_Mykolayiv,,,,,
2023,24_reg_Odesa,,,,,
2023,25_reg_Poltava,,,,,
2023,26_reg_Rivne,,,,,
2023,27_reg_Sumy,,,,,
2023,28_reg_Ternopil,,,,,
2023,29_reg_Kharkiv,,,,,
2023,30_reg_Kherson,,,,,
2023,31_reg_Khmelnytskiy,,,,,
2023,32_reg_Cherkasy,,,,,
2023,33_reg_Chernivtsi,,,,,
2023,34_reg_Chernihiv,,,,,
2023,Kyiv_city,,,,,
2023,city_Sevastopol,,,,,
2024,,age_15,,,,
2024,,group_label_183,,,,
2024,,group_label_184,,,,
2024,,group_label_185,,,,
2024,,group_label_186,,,,
2024,,group_label_187,,,,
2024,,group_label_188,,,,
2024,,,females_1,,,
2024,,,males_1,,,
2024,,,,urban,,
2024,,,,rural,,
2024,,,,,dg_01,
2024,,,,,dg_02,
2024,,,,,dg_03,
2024,,,,,dg_04,
