Year,Region,Value
2015,Ukraine,25.1
2015,autonomous_Republic_of_Crimea,
2015,11_reg_Vinnytsya,32.7
2015,12_reg_Volyn,27.5
2015,13_reg_Dnipropetrovsk,30.5
2015,14_reg_Donetsk,16.0
2015,15_reg_Zhytomyr,26.2
2015,16_reg_Zakarpattya,37.9
2015,17_reg_Zaporizhzhya,20.9
2015,18_reg_Ivano-Frankivsk,34.7
2015,19_reg_Kyiv,26.3
2015,20_reg_Kirovohrad,27.1
2015,21_reg_Luhansk,24.5
2015,22_reg_Lviv,32.7
2015,23_reg_Mykolayiv,26.4
2015,24_reg_Odesa,30.2
2015,25_reg_Poltava,21.0
2015,26_reg_Rivne,35.8
2015,27_reg_Sumy,22.6
2015,28_reg_Ternopil,31.4
2015,29_reg_Kharkiv,34.0
2015,30_reg_Kherson,31.9
2015,31_reg_Khmelnytskiy,30.9
2015,32_reg_Cherkasy,29.6
2015,33_reg_Chernivtsi,23.1
2015,34_reg_Chernihiv,22.9
2015,35_reg_Kyiv_city,24.4
2015,city_Sevastopol,
2016,Ukraine,27.8
2016,autonomous_Republic_of_Crimea,
2016,11_reg_Vinnytsya,34.4
2016,12_reg_Volyn,27.3
2016,13_reg_Dnipropetrovsk,30.4
2016,14_reg_Donetsk,26.3
2016,15_reg_Zhytomyr,22.5
2016,16_reg_Zakarpattya,33.8
2016,17_reg_Zaporizhzhya,24.1
2016,18_reg_Ivano-Frankivsk,32.8
2016,19_reg_Kyiv,30.1
2016,20_reg_Kirovohrad,21.4
2016,21_reg_Luhansk,27.0
2016,22_reg_Lviv,32.5
2016,23_reg_Mykolayiv,23.4
2016,24_reg_Odesa,29.4
2016,25_reg_Poltava,21.5
2016,26_reg_Rivne,28.8
2016,27_reg_Sumy,20.9
2016,28_reg_Ternopil,35.1
2016,29_reg_Kharkiv,35.4
2016,30_reg_Kherson,31.2
2016,31_reg_Khmelnytskiy,26.4
2016,32_reg_Cherkasy,29.2
2016,33_reg_Chernivtsi,25.0
2016,34_reg_Chernihiv,19.5
2016,35_reg_Kyiv_city,29.4
2016,city_Sevastopol,
2017,Ukraine,35.1
2017,autonomous_Republic_of_Crimea,
2017,11_reg_Vinnytsya,33.8
2017,12_reg_Volyn,36.0
2017,13_reg_Dnipropetrovsk,41.8
2017,14_reg_Donetsk,38.7
2017,15_reg_Zhytomyr,30.5
2017,16_reg_Zakarpattya,31.3
2017,17_reg_Zaporizhzhya,29.2
2017,18_reg_Ivano-Frankivsk,36.7
2017,19_reg_Kyiv,27.0
2017,20_reg_Kirovohrad,28.9
2017,21_reg_Luhansk,33.7
2017,22_reg_Lviv,30.0
2017,23_reg_Mykolayiv,32.5
2017,24_reg_Odesa,35.8
2017,25_reg_Poltava,29.8
2017,26_reg_Rivne,30.3
2017,27_reg_Sumy,30.7
2017,28_reg_Ternopil,34.2
2017,29_reg_Kharkiv,39.8
2017,30_reg_Kherson,37.9
2017,31_reg_Khmelnytskiy,26.1
2017,32_reg_Cherkasy,36.7
2017,33_reg_Chernivtsi,16.3
2017,34_reg_Chernihiv,31.0
2017,35_reg_Kyiv_city,33.3
2017,city_Sevastopol,
2018,Ukraine,37.8
2018,autonomous_Republic_of_Crimea,
2018,11_reg_Vinnytsya,36.9
2018,12_reg_Volyn,44.7
2018,13_reg_Dnipropetrovsk,39.8
2018,14_reg_Donetsk,44.0
2018,15_reg_Zhytomyr,32.7
2018,16_reg_Zakarpattya,36.5
2018,17_reg_Zaporizhzhya,30.5
2018,18_reg_Ivano-Frankivsk,43.6
2018,19_reg_Kyiv,34.0
2018,20_reg_Kirovohrad,29.9
2018,21_reg_Luhansk,38.8
2018,22_reg_Lviv,39.5
2018,23_reg_Mykolayiv,30.8
2018,24_reg_Odesa,31.7
2018,25_reg_Poltava,31.4
2018,26_reg_Rivne,40.7
2018,27_reg_Sumy,32.1
2018,28_reg_Ternopil,34.3
2018,29_reg_Kharkiv,38.4
2018,30_reg_Kherson,36.5
2018,31_reg_Khmelnytskiy,36.0
2018,32_reg_Cherkasy,33.8
2018,33_reg_Chernivtsi,30.8
2018,34_reg_Chernihiv,34.6
2018,35_reg_Kyiv_city,35.5
2018,city_Sevastopol,
2019,Ukraine,36.2
2019,autonomous_Republic_of_Crimea,
2019,11_reg_Vinnytsya,36.3
2019,12_reg_Volyn,39.7
2019,13_reg_Dnipropetrovsk,39.4
2019,14_reg_Donetsk,42.5
2019,15_reg_Zhytomyr,19.9
2019,16_reg_Zakarpattya,42.9
2019,17_reg_Zaporizhzhya,33.7
2019,18_reg_Ivano-Frankivsk,44.4
2019,19_reg_Kyiv,34.6
2019,20_reg_Kirovohrad,20.4
2019,21_reg_Luhansk,38.1
2019,22_reg_Lviv,29.3
2019,23_reg_Mykolayiv,28.5
2019,24_reg_Odesa,38.5
2019,25_reg_Poltava,31.3
2019,26_reg_Rivne,36.5
2019,27_reg_Sumy,23.3
2019,28_reg_Ternopil,27.4
2019,29_reg_Kharkiv,34.8
2019,30_reg_Kherson,34.9
2019,31_reg_Khmelnytskiy,29.4
2019,32_reg_Cherkasy,36.8
2019,33_reg_Chernivtsi,19.5
2019,34_reg_Chernihiv,30.9
2019,35_reg_Kyiv_city,34.1
2019,city_Sevastopol,
2020,Ukraine,28.8
2020,autonomous_Republic_of_Crimea,
2020,11_reg_Vinnytsya,28.8
2020,12_reg_Volyn,26.5
2020,13_reg_Dnipropetrovsk,30.8
2020,14_reg_Donetsk,32.6
2020,15_reg_Zhytomyr,26.5
2020,16_reg_Zakarpattya,22.7
2020,17_reg_Zaporizhzhya,28.6
2020,18_reg_Ivano-Frankivsk,33.7
2020,19_reg_Kyiv,25.2
2020,20_reg_Kirovohrad,20.4
2020,21_reg_Luhansk,32.9
2020,22_reg_Lviv,23.8
2020,23_reg_Mykolayiv,25.6
2020,24_reg_Odesa,21.3
2020,25_reg_Poltava,23.8
2020,26_reg_Rivne,30.6
2020,27_reg_Sumy,22.3
2020,28_reg_Ternopil,24.1
2020,29_reg_Kharkiv,29.4
2020,30_reg_Kherson,34.0
2020,31_reg_Khmelnytskiy,32.4
2020,32_reg_Cherkasy,25.0
2020,33_reg_Chernivtsi,16.7
2020,34_reg_Chernihiv,27.4
2020,35_reg_Kyiv_city,26.2
2020,city_Sevastopol,
2021,Ukraine,29.5
2021,autonomous_Republic_of_Crimea,
2021,11_reg_Vinnytsya,27.0
2021,12_reg_Volyn,30.6
2021,13_reg_Dnipropetrovsk,34.0
2021,14_reg_Donetsk,35.1
2021,15_reg_Zhytomyr,30.3
2021,16_reg_Zakarpattya,41.9
2021,17_reg_Zaporizhzhya,28.5
2021,18_reg_Ivano-Frankivsk,37.8
2021,19_reg_Kyiv,25.4
2021,20_reg_Kirovohrad,19.1
2021,21_reg_Luhansk,34.5
2021,22_reg_Lviv,22.3
2021,23_reg_Mykolayiv,20.6
2021,24_reg_Odesa,19.8
2021,25_reg_Poltava,26.1
2021,26_reg_Rivne,32.9
2021,27_reg_Sumy,28.6
2021,28_reg_Ternopil,37.8
2021,29_reg_Kharkiv,27.8
2021,30_reg_Kherson,30.2
2021,31_reg_Khmelnytskiy,28.4
2021,32_reg_Cherkasy,24.0
2021,33_reg_Chernivtsi,23.1
2021,34_reg_Chernihiv,28.0
2021,35_reg_Kyiv_city,24.6
2021,city_Sevastopol,
2022,Ukraine,20.0
2022,autonomous_Republic_of_Crimea,
2022,11_reg_Vinnytsya,20.2
2022,12_reg_Volyn,20.5
2022,13_reg_Dnipropetrovsk,27.1
2022,14_reg_Donetsk,22.7
2022,15_reg_Zhytomyr,25.4
2022,16_reg_Zakarpattya,23.1
2022,17_reg_Zaporizhzhya,20.1
2022,18_reg_Ivano-Frankivsk,23.3
2022,19_reg_Kyiv,21.3
2022,20_reg_Kirovohrad,15.9
2022,21_reg_Luhansk,15.5
2022,22_reg_Lviv,22.2
2022,23_reg_Mykolayiv,19.6
2022,24_reg_Odesa,19.4
2022,25_reg_Poltava,13.6
2022,26_reg_Rivne,29.1
2022,27_reg_Sumy,16.5
2022,28_reg_Ternopil,15.0
2022,29_reg_Kharkiv,12.2
2022,30_reg_Kherson,14.6
2022,31_reg_Khmelnytskiy,15.6
2022,32_reg_Cherkasy,17.1
2022,33_reg_Chernivtsi,20.2
2022,34_reg_Chernihiv,17.9
2022,35_reg_Kyiv_city,20.8
2022,city_Sevastopol,
2023,Ukraine,28.2
2023,autonomous_Republic_of_Crimea,
2023,11_reg_Vinnytsya,23.5
2023,12_reg_Volyn,31.7
2023,13_reg_Dnipropetrovsk,38.7
2023,14_reg_Donetsk,37.3
2023,15_reg_Zhytomyr,29.0
2023,16_reg_Zakarpattya,31.8
2023,17_reg_Zaporizhzhya,26.7
2023,18_reg_Ivano-Frankivsk,36.3
2023,19_reg_Kyiv,28.9
2023,20_reg_Kirovohrad,24.3
2023,21_reg_Luhansk,19.8
2023,22_reg_Lviv,30.7
2023,23_reg_Mykolayiv,21.6
2023,24_reg_Odesa,25.2
2023,25_reg_Poltava,24.3
2023,26_reg_Rivne,37.6
2023,27_reg_Sumy,22.5
2023,28_reg_Ternopil,25.1
2023,29_reg_Kharkiv,21.4
2023,30_reg_Kherson,10.6
2023,31_reg_Khmelnytskiy,23.2
2023,32_reg_Cherkasy,24.3
2023,33_reg_Chernivtsi,26.6
2023,34_reg_Chernihiv,27.2
2023,35_reg_Kyiv_city,26.7
2023,city_Sevastopol,
2024,Ukraine,29.4
2024,autonomous_Republic_of_Crimea,
2024,11_reg_Vinnytsya,24.0
2024,12_reg_Volyn,31.1
2024,13_reg_Dnipropetrovsk,41.3
2024,14_reg_Donetsk,30.2
2024,15_reg_Zhytomyr,33.0
2024,16_reg_Zakarpattya,36.5
2024,17_reg_Zaporizhzhya,28.1
2024,18_reg_Ivano-Frankivsk,38.2
2024,19_reg_Kyiv,35.5
2024,20_reg_Kirovohrad,23.6
2024,21_reg_Luhansk,22.0
2024,22_reg_Lviv,35.5
2024,23_reg_Mykolayiv,22.9
2024,24_reg_Odesa,25.8
2024,25_reg_Poltava,25.9
2024,26_reg_Rivne,36.2
2024,27_reg_Sumy,27.5
2024,28_reg_Ternopil,29.8
2024,29_reg_Kharkiv,22.1
2024,30_reg_Kherson,13.3
2024,31_reg_Khmelnytskiy,25.3
