Year,Spheres,Status_1,Region,Value
2015,,,Ukraine,177
2015,energy_water_utilities,,,
2015,transport_infrastructure,,,
2015,healthcare,,,
2015,tourism_recreation_culture_sport,,,
2015,waste_management_excl_collection_transport,,,
2015,other_institution,,,
2015,,implemented,,
2015,,not_implemented,,
2015,,suspended_due_to_war,,
2015,,,autonomous_Republic_of_Crimea,
2015,,,11_reg_Vinnytsya,
2015,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,
2015,,,14_reg_Donetsk,7
2015,,,15_reg_Zhytomyr,1
2015,,,16_reg_Zakarpattya,4
2015,,,17_reg_Zaporizhzhya,7
2015,,,18_reg_Ivano-Frankivsk,1
2015,,,19_reg_Kyiv,1
2015,,,20_reg_Kirovohrad,1
2015,,,21_reg_Luhansk,1
2015,,,22_reg_Lviv,4
2015,,,23_reg_Mykolayiv,15
2015,,,24_reg_Odesa,14
2015,,,25_reg_Poltava,113
2015,,,26_reg_Rivne,
2015,,,27_reg_Sumy,
2015,,,28_reg_Ternopil,2
2015,,,29_reg_Kharkiv,1
2015,,,30_reg_Kherson,2
2015,,,31_reg_Khmelnytskiy,2
2015,,,32_reg_Cherkasy,
2015,,,33_reg_Chernivtsi,
2015,,,34_reg_Chernihiv,1
2015,,,Kyiv_city,
2015,,,city_Sevastopol,
2016,,,Ukraine,186
2016,energy_water_utilities,,,
2016,transport_infrastructure,,,
2016,healthcare,,,
2016,tourism_recreation_culture_sport,,,
2016,waste_management_excl_collection_transport,,,
2016,other_institution,,,
2016,,implemented,,
2016,,not_implemented,,
2016,,suspended_due_to_war,,
2016,,,autonomous_Republic_of_Crimea,
2016,,,11_reg_Vinnytsya,
2016,,,12_reg_Volyn,
2016,,,13_reg_Dnipropetrovsk,
2016,,,14_reg_Donetsk,7
2016,,,15_reg_Zhytomyr,1
2016,,,16_reg_Zakarpattya,4
2016,,,17_reg_Zaporizhzhya,7
2016,,,18_reg_Ivano-Frankivsk,2
2016,,,19_reg_Kyiv,11
2016,,,20_reg_Kirovohrad,
2016,,,21_reg_Luhansk,1
2016,,,22_reg_Lviv,4
2016,,,23_reg_Mykolayiv,15
2016,,,24_reg_Odesa,14
2016,,,25_reg_Poltava,113
2016,,,26_reg_Rivne,
2016,,,27_reg_Sumy,
2016,,,28_reg_Ternopil,2
2016,,,29_reg_Kharkiv,1
2016,,,30_reg_Kherson,2
2016,,,31_reg_Khmelnytskiy,1
2016,,,32_reg_Cherkasy,
2016,,,33_reg_Chernivtsi,
2016,,,34_reg_Chernihiv,1
2016,,,Kyiv_city,
2016,,,city_Sevastopol,
2017,,,Ukraine,191
2017,energy_water_utilities,,,
2017,transport_infrastructure,,,
2017,healthcare,,,
2017,tourism_recreation_culture_sport,,,
2017,waste_management_excl_collection_transport,,,
2017,other_institution,,,
2017,,implemented,,
2017,,not_implemented,,
2017,,suspended_due_to_war,,
2017,,,autonomous_Republic_of_Crimea,
2017,,,11_reg_Vinnytsya,
2017,,,12_reg_Volyn,
2017,,,13_reg_Dnipropetrovsk,1
2017,,,14_reg_Donetsk,5
2017,,,15_reg_Zhytomyr,1
2017,,,16_reg_Zakarpattya,9
2017,,,17_reg_Zaporizhzhya,7
2017,,,18_reg_Ivano-Frankivsk,2
2017,,,19_reg_Kyiv,13
2017,,,20_reg_Kirovohrad,1
2017,,,21_reg_Luhansk,1
2017,,,22_reg_Lviv,4
2017,,,23_reg_Mykolayiv,15
2017,,,24_reg_Odesa,9
2017,,,25_reg_Poltava,114
2017,,,26_reg_Rivne,
2017,,,27_reg_Sumy,
2017,,,28_reg_Ternopil,2
2017,,,29_reg_Kharkiv,1
2017,,,30_reg_Kherson,2
2017,,,31_reg_Khmelnytskiy,3
2017,,,32_reg_Cherkasy,
2017,,,33_reg_Chernivtsi,
2017,,,34_reg_Chernihiv,1
2017,,,Kyiv_city,
2017,,,city_Sevastopol,
2018,,,Ukraine,189
2018,energy_water_utilities,,,
2018,transport_infrastructure,,,
2018,healthcare,,,
2018,tourism_recreation_culture_sport,,,
2018,waste_management_excl_collection_transport,,,
2018,other_institution,,,
2018,,implemented,,
2018,,not_implemented,,
2018,,suspended_due_to_war,,
2018,,,autonomous_Republic_of_Crimea,
2018,,,11_reg_Vinnytsya,
2018,,,12_reg_Volyn,
2018,,,13_reg_Dnipropetrovsk,1
