Year,Region,Sex,Age,Type of residence,Value
2015,Ukraine,,,,77.69
2016,Ukraine,,,,77.21
2017,Ukraine,,,,77.39
2018,Ukraine,,,,77.37
2019,Ukraine,,,,77.88
2020,Ukraine,,,,78.00
2021,Ukraine,,,,78.02
2022,Ukraine,,,,78.22
2023,Ukraine,,,,
2015,reg_Vinnytsya,,,,80.76
2016,reg_Vinnytsya,,,,81.01
2017,reg_Vinnytsya,,,,81.61
2018,reg_Vinnytsya,,,,82.13
2019,reg_Vinnytsya,,,,83.29
2020,reg_Vinnytsya,,,,83.77
2021,reg_Vinnytsya,,,,83.78
2022,reg_Vinnytsya,,,,83.19
2023,reg_Vinnytsya,,,,
2015,reg_Volyn,,,,83.63
2016,reg_Volyn,,,,83.97
2017,reg_Volyn,,,,84.10
2018,reg_Volyn,,,,84.43
2019,reg_Volyn,,,,85.66
2020,reg_Volyn,,,,85.77
2021,reg_Volyn,,,,85.95
2022,reg_Volyn,,,,86.02
2023,reg_Volyn,,,,
2015,reg_Dnipropetrovsk,,,,85.10
2016,reg_Dnipropetrovsk,,,,84.82
2017,reg_Dnipropetrovsk,,,,84.65
2018,reg_Dnipropetrovsk,,,,84.00
2019,reg_Dnipropetrovsk,,,,83.80
2020,reg_Dnipropetrovsk,,,,83.44
2021,reg_Dnipropetrovsk,,,,82.84
2022,reg_Dnipropetrovsk,,,,82.18
2023,reg_Dnipropetrovsk,,,,
2015,reg_Donetsk,,,,37.95
2016,reg_Donetsk,,,,35.20
2017,reg_Donetsk,,,,35.29
2018,reg_Donetsk,,,,35.76
2019,reg_Donetsk,,,,36.25
2020,reg_Donetsk,,,,36.49
2021,reg_Donetsk,,,,36.77
2022,reg_Donetsk,,,,37.87
2023,reg_Donetsk,,,,
2015,reg_Zhytomyr,,,,83.21
2016,reg_Zhytomyr,,,,83.18
2017,reg_Zhytomyr,,,,83.21
2018,reg_Zhytomyr,,,,82.88
2019,reg_Zhytomyr,,,,83.78
2020,reg_Zhytomyr,,,,83.88
2021,reg_Zhytomyr,,,,83.42
2022,reg_Zhytomyr,,,,82.78
2023,reg_Zhytomyr,,,,
2015,reg_Zakarpattya,,,,85.17
2016,reg_Zakarpattya,,,,85.12
2017,reg_Zakarpattya,,,,84.84
2018,reg_Zakarpattya,,,,83.79
2019,reg_Zakarpattya,,,,84.18
2020,reg_Zakarpattya,,,,83.73
2021,reg_Zakarpattya,,,,83.38
2022,reg_Zakarpattya,,,,82.85
2023,reg_Zakarpattya,,,,
2015,reg_Zaporizhzhya,,,,85.52
2016,reg_Zaporizhzhya,,,,84.28
2017,reg_Zaporizhzhya,,,,83.91
2018,reg_Zaporizhzhya,,,,83.25
2019,reg_Zaporizhzhya,,,,83.64
2020,reg_Zaporizhzhya,,,,83.56
2021,reg_Zaporizhzhya,,,,82.93
