Year,Subject,Sex,Type of residence,School type,SES,Value
2015,,,,,,
2016,,,,,,
2017,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2023,,,,,,
2024,,,,,,
2018,reading,,,,,74.09
2018,math,,,,,64.08
2018,science,,,,,73.57
2022,reading,,,,,59.05
2022,math,,,,,57.59
2022,science,,,,,65.99
2018,reading,females,,,,81.14
2018,math,females,,,,62.97
2018,science,females,,,,74.06
2022,reading,females,,,,64.56
2022,math,females,,,,56.53
2022,science,females,,,,67.50
2018,reading,males,,,,67.75
2018,math,males,,,,65.08
2018,science,males,,,,73.13
2022,reading,males,,,,53.53
2022,math,males,,,,58.65
2022,science,males,,,,64.46
2018,reading,,urban,,,77.75
2018,math,,urban,,,68.44
2018,science,,urban,,,77.01
2022,reading,,urban,,,62.94
2022,math,,urban,,,60.76
2022,science,,urban,,,68.94
2018,reading,,rural,,,57.56
2018,math,,rural,,,44.31
2018,science,,rural,,,57.92
2022,reading,,rural,,,43.83
2022,math,,rural,,,44.98
2022,science,,rural,,,54.49
2018,reading,,,lyceum_gymnasium_specialized,,87.29
2018,math,,,lyceum_gymnasium_specialized,,80.40
2018,science,,,lyceum_gymnasium_specialized,,86.96
2022,reading,,,lyceum_gymnasium_specialized,,67.03
2022,math,,,lyceum_gymnasium_specialized,,65.05
2022,science,,,lyceum_gymnasium_specialized,,72.58
2018,reading,,,general_school_complex,,74.59
2018,math,,,general_school_complex,,62.50
2018,science,,,general_school_complex,,73.53
2022,reading,,,general_school_complex,,53.51
2022,math,,,general_school_complex,,55.46
2022,science,,,general_school_complex,,63.16
2018,reading,,,college_technical_vocational,,64.90
2018,math,,,college_technical_vocational,,56.36
2018,science,,,college_technical_vocational,,65.12
2022,reading,,,college_technical_vocational,,40.97
2022,math,,,college_technical_vocational,,37.18
2022,science,,,college_technical_vocational,,49.01
2018,reading,,,,low_ses,56.24
2018,math,,,,low_ses,44.56
2018,science,,,,low_ses,57.61
2022,reading,,,,low_ses,38.74
2022,math,,,,low_ses,37.28
2022,science,,,,low_ses,47.96
2018,reading,,,,high_ses,89.08
2018,math,,,,high_ses,82.78
2018,science,,,,high_ses,88.04
2022,reading,,,,high_ses,76.32
2022,math,,,,high_ses,77.27
2022,science,,,,high_ses,82.26
