Year,Status,Sphere,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,63
2021,,,75
2022,,,76
2023,,,78
2024,,,80
2015,student_professional_pre_tertiary,,
2016,student_professional_pre_tertiary,,
2017,student_professional_pre_tertiary,,
2018,student_professional_pre_tertiary,,
2019,student_professional_pre_tertiary,,
2020,student_professional_pre_tertiary,,60
2021,student_professional_pre_tertiary,,73
2022,student_professional_pre_tertiary,,74
2023,student_professional_pre_tertiary,,77
2024,student_professional_pre_tertiary,,78
2015,student_tertiary,,
2016,student_tertiary,,
2017,student_tertiary,,
2018,student_tertiary,,
2019,student_tertiary,,
2020,student_tertiary,,64
2021,student_tertiary,,74
2022,student_tertiary,,68
2023,student_tertiary,,76
2024,student_tertiary,,78
2015,teacher_professional_pre_tertiary,,
2016,teacher_professional_pre_tertiary,,
2017,teacher_professional_pre_tertiary,,
2018,teacher_professional_pre_tertiary,,
2019,teacher_professional_pre_tertiary,,
2020,teacher_professional_pre_tertiary,,61
2021,teacher_professional_pre_tertiary,,74
2022,teacher_professional_pre_tertiary,,82
2023,teacher_professional_pre_tertiary,,78
2024,teacher_professional_pre_tertiary,,84
2015,academic_staff_tertiary,,
2016,academic_staff_tertiary,,
2017,academic_staff_tertiary,,
2018,academic_staff_tertiary,,
2019,academic_staff_tertiary,,
2020,academic_staff_tertiary,,67
2021,academic_staff_tertiary,,77
2022,academic_staff_tertiary,,81
2023,academic_staff_tertiary,,79
2024,academic_staff_tertiary,,80
2015,,professional_pre_tertiary_education,
2016,,professional_pre_tertiary_education,
2017,,professional_pre_tertiary_education,
2018,,professional_pre_tertiary_education,
2019,,professional_pre_tertiary_education,
2020,,professional_pre_tertiary_education,61
2021,,professional_pre_tertiary_education,74
2022,,professional_pre_tertiary_education,78
2023,,professional_pre_tertiary_education,78
2024,,professional_pre_tertiary_education,81
2015,,tertiary_education,
2016,,tertiary_education,
2017,,tertiary_education,
2018,,tertiary_education,
2019,,tertiary_education,
2020,,tertiary_education,66
2021,,tertiary_education,76
2022,,tertiary_education,75
2023,,tertiary_education,78
2024,,tertiary_education,79
