Year,Type of residence,Sex,Age,Value
2015,,,,48.9
2016,,,,53
2017,,,,58.9
2018,,,,62.6
2019,,,,70.1
2020,,,,75.3
2021,,,,79.4
2022,,,,
2023,,,,
2015,urban_a,,,58.4
2016,urban_a,,,62.7
2017,urban_a,,,67.7
2018,urban_a,,,70.1
2019,urban_a,,,77.4
2020,urban_a,,,81
2021,urban_a,,,83.4
2022,urban_a,,,
2023,urban_a,,,
2015,rural_a,,,30.3
2016,rural_a,,,34.1
2017,rural_a,,,41.7
2018,rural_a,,,47.8
2019,rural_a,,,55.9
2020,rural_a,,,64.1
2021,rural_a,,,71.2
2022,rural_a,,,
2023,rural_a,,,
2015,,females_a,,46.5
2016,,females_a,,51.3
2017,,females_a,,57
2018,,females_a,,60
2019,,females_a,,68.2
2020,,females_a,,72.9
2021,,females_a,,76.9
2022,,females_a,,
2023,,females_a,,
2015,,males_a,,51.6
2016,,males_a,,55
2017,,males_a,,61.1
2018,,males_a,,65.5
2019,,males_a,,72.4
2020,,males_a,,78.2
2021,,males_a,,82.2
2022,,males_a,,
2023,,males_a,,
2015,,,age_15_a,36.6
2016,,,age_15_a,43.8
2017,,,age_15_a,50.2
2018,,,age_15_a,53.2
2019,,,age_15_a,64.8
2020,,,age_15_a,70.8
2021,,,age_15_a,74.3
2022,,,age_15_a,
2023,,,age_15_a,
2015,,,age_15_17_a,86.7
2016,,,age_15_17_a,86
2017,,,age_15_17_a,91.1
2018,,,age_15_17_a,89.2
2019,,,age_15_17_a,97.7
2020,,,age_15_17_a,99.5
2021,,,age_15_17_a,100
2022,,,age_15_17_a,
2023,,,age_15_17_a,
2015,,,age_18_24_a,81.9
2016,,,age_18_24_a,84.7
2017,,,age_18_24_a,89.6
2018,,,age_18_24_a,93.5
2019,,,age_18_24_a,95.8
2020,,,age_18_24_a,99
2021,,,age_18_24_a,99.2
2022,,,age_18_24_a,
2023,,,age_18_24_a,
2015,,,age_25_35_a,75.9
2016,,,age_25_35_a,80.4
2017,,,age_25_35_a,87.6
2018,,,age_25_35_a,89.3
2019,,,age_25_35_a,94.4
2020,,,age_25_35_a,97.7
2021,,,age_25_35_a,98.8
2022,,,age_25_35_a,
2023,,,age_25_35_a,
2015,,,age_36_59_a,52.2
2016,,,age_36_59_a,57.1
2017,,,age_36_59_a,65.1
2018,,,age_36_59_a,70.7
2019,,,age_36_59_a,79.7
2020,,,age_36_59_a,86.6
2021,,,age_36_59_a,90.8
2022,,,age_36_59_a,
2023,,,age_36_59_a,
2015,,,age_60_74_a,18.7
2016,,,age_60_74_a,22.3
2017,,,age_60_74_a,26.5
2018,,,age_60_74_a,33
2019,,,age_60_74_a,39.5
2020,,,age_60_74_a,46.8
2021,,,age_60_74_a,55.1
2022,,,age_60_74_a,
2023,,,age_60_74_a,
2015,,,age_75,4.2
2016,,,age_75,5.1
2017,,,age_75,6.1
2018,,,age_75,7.7
2019,,,age_75,12.9
2020,,,age_75,10.3
2021,,,age_75,19.2
2022,,,age_75,
2023,,,age_75,
