Year,Sex,Value
2015,,12.0
2016,,11.8
2017,,10.8
2018,,10.5
2019,,10.3
2020,,10.2
2021,,9.5
2022,,7.2
2023,,7.9
2024,,8.0
2015,girls,128592
2016,girls,129947
2017,girls,129689
2018,girls,123514
2019,girls,121630
2020,girls,118690
2021,girls,117317
2022,girls,89228
2023,girls,94951
2024,girls,98724
2015,boys,367118
2016,boys,363299
2017,boys,362499
2018,boys,346911
2019,boys,338545
2020,boys,333494
2021,boys,316951
2022,boys,239928
2023,boys,245020
2024,boys,243341
2015,1_all,495710
2016,1_all,493246
2017,1_all,492188
2018,1_all,470425
2019,1_all,460175
2020,1_all,452184
2021,1_all,434268
2022,1_all,329156
2023,1_all,339971
2024,1_all,342065
