Year,Sex,Age,Value
2015,women,,
2015,men,,
2015,women,under_35,
2015,men,under_35,
2015,women,age_2_36_60,
2015,men,age_2_36_60,
2015,women,age_2_61_64,
2015,men,age_2_61_64,
2015,women,age_2_65_70,
2015,men,age_2_65_70,
2016,women,,
2016,men,,
2016,women,under_35,
2016,men,under_35,
2016,women,age_2_36_60,
2016,men,age_2_36_60,
2016,women,age_2_61_64,
2016,men,age_2_61_64,
2016,women,age_2_65_70,
2016,men,age_2_65_70,
2017,women,,
2017,men,,
2017,women,under_35,
2017,men,under_35,
2017,women,age_2_36_60,
2017,men,age_2_36_60,
2017,women,age_2_61_64,
2017,men,age_2_61_64,
2017,women,age_2_65_70,
2017,men,age_2_65_70,
2018,women,,
2018,men,,
2018,women,under_35,
2018,men,under_35,
2018,women,age_2_36_60,
2018,men,age_2_36_60,
2018,women,age_2_61_64,
2018,men,age_2_61_64,
2018,women,age_2_65_70,
2018,men,age_2_65_70,
2019,women,,
2019,men,,
2019,women,under_35,
2019,men,under_35,
2019,women,age_2_36_60,
2019,men,age_2_36_60,
2019,women,age_2_61_64,
2019,men,age_2_61_64,
2019,women,age_2_65_70,
2019,men,age_2_65_70,
2020,women,,33
2020,men,,67
2020,women,under_35,25
2020,men,under_35,75
2020,women,age_2_36_60,36
2020,men,age_2_36_60,64
2020,women,age_2_61_64,
2020,men,age_2_61_64,100
2020,women,age_2_65_70,
2020,men,age_2_65_70,100
2021,women,,28
2021,men,,72
2021,women,under_35,32
2021,men,under_35,68
2021,women,age_2_36_60,28
2021,men,age_2_36_60,72
2021,women,age_2_61_64,25
2021,men,age_2_61_64,75
2021,women,age_2_65_70,
2021,men,age_2_65_70,100
2022,women,,31
2022,men,,69
2022,women,under_35,
2022,men,under_35,
2022,women,age_2_36_60,
2022,men,age_2_36_60,
2022,women,age_2_61_64,
2022,men,age_2_61_64,
2022,women,age_2_65_70,
2022,men,age_2_65_70,
2023,women,,31
2023,men,,69
2023,women,under_35,36
2023,men,under_35,64
2023,women,age_2_36_60,32
2023,men,age_2_36_60,68
2023,women,age_2_61_64,29
2023,men,age_2_61_64,71
2023,women,age_2_65_70,
2023,men,age_2_65_70,100
2024,women,,27
2024,men,,73
2024,women,under_35,24
2024,men,under_35,76
2024,women,age_2_36_60,29
2024,men,age_2_36_60,71
2024,women,age_2_61_64,25
2024,men,age_2_61_64,75
2024,women,age_2_65_70,
2024,men,age_2_65_70,100
