Year,CourtLevel,Sex,Value
2015,,females_1,
2015,,males_1,
2015,local_courts,females_1,
2015,local_courts,males_1,
2015,appellate_courts,females_1,
2015,appellate_courts,males_1,
2015,higher_specialized_courts,females_1,
2015,higher_specialized_courts,males_1,
2015,supreme_court,females_1,
2015,supreme_court,males_1,
2016,,females_1,
2016,,males_1,
2016,local_courts,females_1,
2016,local_courts,males_1,
2016,appellate_courts,females_1,
2016,appellate_courts,males_1,
2016,higher_specialized_courts,females_1,
2016,higher_specialized_courts,males_1,
2016,supreme_court,females_1,
2016,supreme_court,males_1,
2017,,females_1,51.8
2017,,males_1,48.2
2017,local_courts,females_1,52.1
2017,local_courts,males_1,47.9
2017,appellate_courts,females_1,51.1
2017,appellate_courts,males_1,48.9
2017,higher_specialized_courts,females_1,54.1
2017,higher_specialized_courts,males_1,45.9
2017,supreme_court,females_1,45.0
2017,supreme_court,males_1,55.0
2018,,females_1,52.2
2018,,males_1,47.8
2018,local_courts,females_1,52.6
2018,local_courts,males_1,47.4
2018,appellate_courts,females_1,51.8
2018,appellate_courts,males_1,48.2
2018,higher_specialized_courts,females_1,49.1
2018,higher_specialized_courts,males_1,50.9
2018,supreme_court,females_1,45.4
2018,supreme_court,males_1,54.6
2019,,females_1,52.4
2019,,males_1,47.6
2019,local_courts,females_1,53.1
2019,local_courts,males_1,46.9
2019,appellate_courts,females_1,52.5
2019,appellate_courts,males_1,47.5
2019,higher_specialized_courts,females_1,41.4
2019,higher_specialized_courts,males_1,58.6
2019,supreme_court,females_1,42.3
2019,supreme_court,males_1,57.7
2020,,females_1,53.6
2020,,males_1,46.4
2020,local_courts,females_1,54.6
2020,local_courts,males_1,45.4
2020,appellate_courts,females_1,52.8
2020,appellate_courts,males_1,47.2
2020,higher_specialized_courts,females_1,41.9
2020,higher_specialized_courts,males_1,58.1
2020,supreme_court,females_1,41.1
2020,supreme_court,males_1,58.9
2021,,females_1,53.6
2021,,males_1,46.4
2021,local_courts,females_1,54.6
2021,local_courts,males_1,45.4
2021,appellate_courts,females_1,52.9
2021,appellate_courts,males_1,47.1
2021,higher_specialized_courts,females_1,41.5
2021,higher_specialized_courts,males_1,58.5
2021,supreme_court,females_1,40.6
2021,supreme_court,males_1,59.4
2022,,females_1,53.8
2022,,males_1,46.2
2022,local_courts,females_1,54.8
2022,local_courts,males_1,45.2
2022,appellate_courts,females_1,53.4
2022,appellate_courts,males_1,46.6
2022,higher_specialized_courts,females_1,41.3
2022,higher_specialized_courts,males_1,58.8
2022,supreme_court,females_1,40.6
2022,supreme_court,males_1,59.4
2023,,females_1,53.5
2023,,males_1,46.5
2023,local_courts,females_1,54.5
2023,local_courts,males_1,45.5
2023,appellate_courts,females_1,52.7
2023,appellate_courts,males_1,47.3
2023,higher_specialized_courts,females_1,40.8
2023,higher_specialized_courts,males_1,59.2
2023,supreme_court,females_1,38.4
2023,supreme_court,males_1,61.6
2024,,females_1,53.7
2024,,males_1,46.3
2024,local_courts,females_1,54.8
2024,local_courts,males_1,45.2
2024,appellate_courts,females_1,51.8
2024,appellate_courts,males_1,48.2
2024,higher_specialized_courts,females_1,36.8
2024,higher_specialized_courts,males_1,63.2
2024,supreme_court,females_1,38.6
2024,supreme_court,males_1,61.4
