Year,Type of economic activity,Organisation and legal forms,Region,Value
2016,A01,,,
2016,A02,,,
2016,A03,,,
2016,A04,,,
2016,A05,,,
2016,A06,,,
2016,A07,,,
2016,A08,,,
2016,A09,,,
2016,A10,,,
2016,A11,,,
2016,A12,,,
2016,A13,,,
2016,A14,,,
2016,A15,,,
2016,A16,,,
2016,A17,,,
2016,A18,,,
2016,A19,,,
2016,A20,,,
2016,A21,,,
2016,A22,,,
2016,A23,,,
2016,A24,,,
2016,A25,,,
2016,A26,,,
2016,A27,,,
2016,A28,,,
2016,A29,,,
2016,A30,,,
2016,A31,,,
2016,A32,,,
2016,A33,,,
2016,A34,,,
2016,A35,,,
2016,A36,,,
2016,A37,,,
2016,A38,,,
2016,A39,,,
2016,A40,,,
2016,A41,,,
2016,A42,,,
2016,A43,,,
2016,A44,,,
2016,A45,,,
2016,A46,,,
2016,A47,,,
2016,A48,,,
2016,A49,,,
2016,A50,,,
2016,A51,,,
2016,A52,,,
2016,A53,,,
2016,A54,,,
2016,A55,,,
2016,A56,,,
2016,A57,,,
2016,A58,,,
2016,A59,,,
2016,A60,,,
2016,A61,,,
2016,A62,,,
2016,A63,,,
2016,A64,,,
2016,A65,,,
2016,A66,,,
2016,A67,,,
2016,A68,,,
2016,A69,,,
2016,A70,,,
2016,A71,,,
2016,A72,,,
2016,A73,,,
2016,A74,,,
2016,A75,,,
2016,A76,,,
2016,A77,,,
2016,A78,,,
2016,A79,,,
2016,A80,,,
2016,A81,,,
2016,A82,,,
2016,A83,,,
2016,A84,,,
2016,A85,,,
2016,A86,,,
2016,A87,,,
2016,A88,,,
2016,A89,,,
2016,A90,,,
2016,A91,,,
2016,A92,,,
2016,A93,,,
2016,A94,,,
2016,A95,,,
2016,A96,,,
2016,A97,,,
2016,A98,,,
2016,A99,,,
2016,A100,,,
2016,A101,,,
2016,A102,,,
2016,A103,,,
2016,A104,,,
2016,A105,,,
2016,A106,,,
2016,A107,,,
2016,A108,,,
2016,A109,,,
2016,A110,,,
2016,A111,,,
2016,A112,,,
2016,A113,,,
2016,A114,,,
2016,A115,,,
2016,A116,,,
2016,A117,,,
2016,A118,,,
2016,A119,,,
2016,A120,,,
2016,A121,,,
2016,A122,,,
2016,A123,,,
2016,A124,,,
2016,A125,,,
2016,A126,,,
2016,A127,,,
2016,A128,,,
2016,A129,,,
2016,A130,,,
2016,A131,,,
2016,A132,,,
2016,A133,,,
2016,A134,,,
2016,A135,,,
2016,A136,,,
2016,A137,,,
2016,A138,,,
2016,A139,,,
2016,A140,,,
2016,A141,,,
2016,A142,,,
2016,A143,,,
2016,A144,,,
2016,A145,,,
2016,A146,,,
2016,A147,,,
2016,A148,,,
2016,A149,,,
2016,A150,,,
2016,A151,,,
2016,A152,,,
2016,A153,,,
2016,A154,,,
2016,A155,,,
2016,A156,,,
2016,A157,,,
2016,A158,,,
2016,A159,,,
2016,A160,,,
2016,A161,,,
2016,A162,,,
2016,A163,,,
2016,A164,,,
2016,A165,,,
2016,A166,,,
2016,A167,,,
2016,A168,,,
2016,A169,,,
2016,A170,,,
2016,A171,,,
2016,A172,,,
2016,A173,,,
2016,A174,,,
2016,A175,,,
2016,A176,,,
2016,A177,,,
2016,A178,,,
2016,A179,,,
2016,A180,,,
2016,A181,,,
2016,A182,,,
2016,A183,,,
2016,A184,,,
2016,A185,,,
2016,A186,,,
2016,A187,,,
2016,A188,,,
2016,A189,,,
2016,A190,,,
2016,A191,,,
2016,A192,,,
2016,A193,,,
2016,A194,,,
2016,A195,,,
2016,A196,,,
2016,A197,,,
2016,A198,,,
2016,A199,,,
2016,A200,,,
2016,A201,,,
2016,A202,,,
2016,A203,,,
2016,A204,,,
2016,A205,,,
2016,A206,,,
2016,A207,,,
2016,A208,,,
2016,A209,,,
2016,A210,,,
2016,A211,,,
2016,A212,,,
2016,A213,,,
2016,A214,,,
2016,A215,,,
2016,A216,,,
2016,A217,,,
2016,A218,,,
2016,A219,,,
2016,A220,,,
2016,A221,,,
2016,A222,,,
2016,A223,,,
2016,A224,,,
2016,A225,,,
2016,A226,,,
2016,A227,,,
2016,A228,,,
2016,A229,,,
2016,A230,,,
2016,A231,,,
2016,A232,,,
2016,A233,,,
2016,A234,,,
2016,A235,,,
2016,A236,,,
2016,A237,,,
2016,A238,,,
2016,A239,,,
2016,A240,,,
2016,A241,,,
2016,A242,,,
2016,A243,,,
2016,A244,,,
2016,A245,,,
2016,A246,,,
2016,A247,,,
2016,A248,,,
2016,A249,,,
2016,A250,,,
2016,A251,,,
2016,A252,,,
2016,A253,,,
2016,A254,,,
2016,A255,,,
2016,A256,,,
2016,A257,,,
2016,A258,,,
2016,A259,,,
2016,A260,,,
2016,A261,,,
2016,A262,,,
2016,A263,,,
2016,A264,,,
2016,A265,,,
2016,A266,,,
2016,A267,,,
2016,A268,,,
2016,A269,,,
2016,A270,,,
2016,A271,,,
2016,A272,,,
2016,A273,,,
2016,A274,,,
2016,A275,,,
2016,A276,,,
2016,A277,,,
2016,A278,,,
2016,A279,,,
2016,A280,,,
2016,A281,,,
2016,A282,,,
2016,A283,,,
2016,A284,,,
2016,A285,,,
2016,A286,,,
2016,A287,,,
2016,A288,,,
2016,A289,,,
2016,A290,,,
2016,A291,,,
2016,A292,,,
2016,A293,,,
2016,A294,,,
2016,A295,,,
2016,A296,,,
2016,A297,,,
2016,A298,,,
2016,A299,,,
2016,A300,,,
2016,A301,,,
2016,A302,,,
2016,A303,,,
2016,A304,,,
2016,A305,,,
2016,A306,,,
2016,A307,,,
2016,A308,,,
2016,A309,,,
2016,A310,,,
2016,A311,,,
2016,A312,,,
2016,A313,,,
2016,A314,,,
2016,A315,,,
2016,A316,,,
2016,A317,,,
2016,A318,,,
2016,A319,,,
2016,A320,,,
2016,A321,,,
2016,A322,,,
2016,A323,,,
2016,A324,,,
2016,A325,,,
2016,A326,,,
2016,A327,,,
2016,A328,,,
2016,A329,,,
2016,A330,,,
2016,A331,,,
2016,A332,,,
2016,A333,,,
2016,A334,,,
2016,A335,,,
2016,A336,,,
2016,A337,,,
2016,A338,,,
2016,A339,,,
2016,A340,,,
2016,A341,,,
2016,A342,,,
2016,A343,,,
2016,A344,,,
2016,A345,,,
2016,A346,,,
2016,A347,,,
2016,A348,,,
2016,A349,,,
2016,A350,,,
2016,A351,,,
2016,A352,,,
2016,A353,,,
2016,A354,,,
2016,A355,,,
2016,A356,,,
2016,A357,,,
2016,A358,,,
2016,A359,,,
2016,A360,,,
2016,A361,,,
2016,A362,,,
2016,A363,,,
2016,A364,,,
2016,A365,,,
2016,A366,,,
2016,A367,,,
2016,A368,,,
2016,A369,,,
2016,A370,,,
2016,A371,,,
2016,A372,,,
2016,A373,,,
2016,A374,,,
2016,A375,,,
2016,A376,,,
2016,A377,,,
2016,A378,,,
2016,A379,,,
2016,A380,,,
2016,A381,,,
2016,A382,,,
2016,A383,,,
2016,A384,,,
2016,A385,,,
2016,A386,,,
2016,A387,,,
2016,A388,,,
2016,A389,,,
2016,A390,,,
2016,A391,,,
2016,A392,,,
2016,A393,,,
2016,A394,,,
2016,A395,,,
2016,A396,,,
2016,A397,,,
2016,A398,,,
2016,A399,,,
2016,A400,,,
2016,A401,,,
2016,A402,,,
2016,A403,,,
2016,A404,,,
2016,A405,,,
2016,A406,,,
2016,A407,,,
2016,A408,,,
2016,A409,,,
2016,A410,,,
2016,A411,,,
2016,A412,,,
2016,A413,,,
2016,A414,,,
2016,A415,,,
2016,A416,,,
2016,A417,,,
2016,A418,,,
2016,A419,,,
2016,A420,,,
2016,A421,,,
2016,A422,,,
2016,A423,,,
2016,A424,,,
2016,A425,,,
2016,A426,,,
2016,A427,,,
2016,A428,,,
2016,A429,,,
2016,A430,,,
2016,A431,,,
2016,A432,,,
2016,A433,,,
2016,A434,,,
2016,A435,,,
2016,A436,,,
2016,A437,,,
2016,A438,,,
2016,A439,,,
2016,A440,,,
2016,A441,,,
2016,A442,,,
2016,A443,,,
2016,A444,,,
2016,A445,,,
2016,A446,,,
2016,A447,,,
2016,A448,,,
2016,A449,,,
2016,A450,,,
2016,A451,,,
2016,A452,,,
2016,A453,,,
2016,A454,,,
2016,A455,,,
2016,A456,,,
2016,A457,,,
2016,A458,,,
2016,A459,,,
2016,A460,,,
2016,A461,,,
2016,A462,,,
2016,A463,,,
2016,A464,,,
2016,A465,,,
2016,A466,,,
2016,A467,,,
2016,A468,,,
2016,A469,,,
2016,A470,,,
2016,A471,,,
2016,A472,,,
2016,A473,,,
2016,A474,,,
2016,A475,,,
2016,A476,,,
2016,A477,,,
2016,A478,,,
2016,A479,,,
2016,A480,,,
2016,A481,,,
2016,A482,,,
2016,A483,,,
2016,A484,,,
2016,A485,,,
2016,A486,,,
2016,A487,,,
2016,A488,,,
2016,A489,,,
2016,A490,,,
2016,A491,,,
2016,A492,,,
2016,A493,,,
2016,A494,,,
2016,A495,,,
2016,A496,,,
2016,A497,,,
2016,A498,,,
2016,A499,,,
2016,A500,,,
2016,A501,,,
2016,A502,,,
2016,A503,,,
2016,A504,,,
2016,A505,,,
2016,A506,,,
2016,A507,,,
2016,A508,,,
2016,A509,,,
2016,A510,,,
2016,A511,,,
2016,A512,,,
2016,A513,,,
2016,A514,,,
2016,A515,,,
2016,A516,,,
2016,A517,,,
2016,A518,,,
2016,A519,,,
2016,A520,,,
2016,A521,,,
2016,A522,,,
2016,A523,,,
2016,A524,,,
2016,A525,,,
2016,A526,,,
2016,A527,,,
2016,A528,,,
2016,A529,,,
2016,A530,,,
2016,A531,,,
2016,A532,,,
2016,A533,,,
2016,A534,,,
2016,A535,,,
2016,A536,,,
2016,A537,,,
2016,A538,,,
2016,A539,,,
2016,A540,,,
2016,A541,,,
