Year,Indicators of energy consumption by households,Value
2015,indicator_of_energy_1,32.6
2016,indicator_of_energy_1,34.1
2017,indicator_of_energy_1,33.0
2018,indicator_of_energy_1,31.5
2019,indicator_of_energy_1,28.2
2020,indicator_of_energy_1,28.5
2021,indicator_of_energy_1,
2022,indicator_of_energy_1,
2023,indicator_of_energy_1,
2024,indicator_of_energy_1,
2015,indicator_of_energy_2,198.0
2016,indicator_of_energy_2,209.0
2017,indicator_of_energy_2,195.0
2018,indicator_of_energy_2,190.0
2019,indicator_of_energy_2,161.0
2020,indicator_of_energy_2,156.0
2021,indicator_of_energy_2,
2022,indicator_of_energy_2,
2023,indicator_of_energy_2,
2024,indicator_of_energy_2,
