Year,Type of residence,Age,Sex,Region,Value
2015,,,,,24.2
2015,,,,,24.2
2015,,,females,,25.6
2015,,,males,,23.0
2015,,age_18,,,23.3
2015,,age_18_29,,,21.5
2015,,age_30_59,,,23.8
2015,,age_60,,,27.6
2015,rural,,,,32.3
2015,urban,,,,20.1
2015,,,,autonomous_Republic_of_Crimea,
2015,,,,11_reg_Vinnytsya,18.9
2015,,,,12_reg_Volyn,19.9
2015,,,,13_reg_Dnipropetrovsk,30.1
2015,,,,14_reg_Donetsk,33.4
2015,,,,15_reg_Zhytomyr,6.3
2015,,,,16_reg_Zakarpattya,88.2
2015,,,,17_reg_Zaporizhzhya,13.4
2015,,,,18_reg_Ivano-Frankivsk,
2015,,,,19_reg_Kyiv,8.9
2015,,,,20_reg_Kirovohrad,29.0
2015,,,,21_reg_Luhansk,44.2
2015,,,,22_reg_Lviv,11.6
2015,,,,23_reg_Mykolayiv,
2015,,,,24_reg_Odesa,17.7
2015,,,,25_reg_Poltava,14.2
2015,,,,26_reg_Rivne,10.8
2015,,,,27_reg_Sumy,13.5
2015,,,,28_reg_Ternopil,30.4
2015,,,,29_reg_Kharkiv,22.1
2015,,,,30_reg_Kherson,66.5
2015,,,,31_reg_Khmelnytskiy,
2015,,,,32_reg_Cherkasy,34.2
2015,,,,33_reg_Chernivtsi,7.3
2015,,,,34_reg_Chernihiv,21.8
2015,,,,35_reg_Kyiv_city,5.9
2015,,,,city_Sevastopol,
2015,,,,18_reg_Ivano-Frankivsk,49.1
2015,,,,23_reg_Mykolayiv,28.9
2015,,,,31_reg_Khmelnytskiy,25.8
2017,,,,,25.6
2017,,,,,25.6
2017,,,females,,26.3
2017,,,males,,24.8
2017,,age_18,,,23.9
2017,,age_18_29,,,24.6
2017,,age_30_59,,,23.9
2017,,age_60,,,30.9
2017,rural,,,,33.3
2017,urban,,,,21.7
2017,,,,autonomous_Republic_of_Crimea,
2017,,,,11_reg_Vinnytsya,32.0
2017,,,,12_reg_Volyn,8.5
2017,,,,13_reg_Dnipropetrovsk,26.6
2017,,,,14_reg_Donetsk,19.0
2017,,,,15_reg_Zhytomyr,9.7
2017,,,,16_reg_Zakarpattya,93.0
2017,,,,17_reg_Zaporizhzhya,15.3
2017,,,,18_reg_Ivano-Frankivsk,
2017,,,,19_reg_Kyiv,7.9
2017,,,,20_reg_Kirovohrad,9.6
2017,,,,21_reg_Luhansk,32.5
2017,,,,22_reg_Lviv,14.3
2017,,,,23_reg_Mykolayiv,
2017,,,,24_reg_Odesa,14.5
2017,,,,25_reg_Poltava,12.8
2017,,,,26_reg_Rivne,13.1
2017,,,,27_reg_Sumy,64.7
2017,,,,28_reg_Ternopil,27.6
2017,,,,29_reg_Kharkiv,32.5
2017,,,,30_reg_Kherson,70.6
2017,,,,31_reg_Khmelnytskiy,
2017,,,,32_reg_Cherkasy,31.5
2017,,,,33_reg_Chernivtsi,10.2
2017,,,,34_reg_Chernihiv,34.0
2017,,,,35_reg_Kyiv_city,4.8
2017,,,,city_Sevastopol,
2017,,,,18_reg_Ivano-Frankivsk,68.3
2017,,,,23_reg_Mykolayiv,37.7
2017,,,,31_reg_Khmelnytskiy,7.0
2019,,,,,21.8
2019,,,,,21.8
2019,,,females,,22.1
2019,,,males,,21.3
2019,,age_18,,,20.3
2019,,age_18_29,,,17.8
2019,,age_30_59,,,20.5
2019,,age_60,,,27.3
2019,rural,,,,30.5
2019,urban,,,,17.3
2019,,,,autonomous_Republic_of_Crimea,
2019,,,,11_reg_Vinnytsya,29.3
2019,,,,12_reg_Volyn,4.0
2019,,,,13_reg_Dnipropetrovsk,29.1
2019,,,,14_reg_Donetsk,21.1
2019,,,,15_reg_Zhytomyr,13.4
2019,,,,16_reg_Zakarpattya,69.4
2019,,,,17_reg_Zaporizhzhya,20.9
2019,,,,18_reg_Ivano-Frankivsk,
2019,,,,19_reg_Kyiv,14.4
2019,,,,20_reg_Kirovohrad,15.2
2019,,,,21_reg_Luhansk,21.8
2019,,,,22_reg_Lviv,13.6
2019,,,,23_reg_Mykolayiv,
2019,,,,24_reg_Odesa,14.2
2019,,,,25_reg_Poltava,12.0
2019,,,,26_reg_Rivne,16.3
2019,,,,27_reg_Sumy,14.4
2019,,,,28_reg_Ternopil,15.1
2019,,,,29_reg_Kharkiv,26.7
2019,,,,30_reg_Kherson,70.6
2019,,,,31_reg_Khmelnytskiy,
2019,,,,32_reg_Cherkasy,20.5
2019,,,,33_reg_Chernivtsi,4.4
2019,,,,34_reg_Chernihiv,16.0
2019,,,,35_reg_Kyiv_city,5.0
2019,,,,city_Sevastopol,
2019,,,,18_reg_Ivano-Frankivsk,59.6
2019,,,,23_reg_Mykolayiv,19.2
2019,,,,31_reg_Khmelnytskiy,12.2
2021,,,,,17.2
2021,,,,,17.2
2021,,,females,,17.9
2021,,,males,,16.3
2021,,age_18,,,14.0
2021,,age_18_29,,,16.5
2021,,age_30_59,,,15.8
2021,,age_60,,,22.5
2021,rural,,,,26.4
2021,urban,,,,12.6
2021,,,,autonomous_Republic_of_Crimea,
2021,,,,11_reg_Vinnytsya,27.5
2021,,,,12_reg_Volyn,1.9
2021,,,,13_reg_Dnipropetrovsk,17.0
2021,,,,14_reg_Donetsk,8.9
2021,,,,15_reg_Zhytomyr,3.2
2021,,,,16_reg_Zakarpattya,89.0
2021,,,,17_reg_Zaporizhzhya,24.0
2021,,,,18_reg_Ivano-Frankivsk,
2021,,,,19_reg_Kyiv,6.7
2021,,,,20_reg_Kirovohrad,8.5
2021,,,,21_reg_Luhansk,21.4
2021,,,,22_reg_Lviv,6.9
2021,,,,23_reg_Mykolayiv,
2021,,,,24_reg_Odesa,11.0
2021,,,,25_reg_Poltava,8.2
2021,,,,26_reg_Rivne,7.5
2021,,,,27_reg_Sumy,8.2
2021,,,,28_reg_Ternopil,12.5
2021,,,,29_reg_Kharkiv,16.6
2021,,,,30_reg_Kherson,41.7
