Year,Type of residence,Households_1,Value
2015,,,1.4
2015,,hh_ch_1,0.9
2015,,hh_ch_01,1.8
2015,urban,,1.3
2015,rural,,1.6
2016,,,5.1
2016,,hh_ch_1,4.4
2016,,hh_ch_01,5.7
2016,urban,,4.3
2016,rural,,6.9
2017,,,5.3
2017,,hh_ch_1,4.5
2017,,hh_ch_01,6.1
2017,urban,,4.9
2017,rural,,6.3
2018,,,3.3
2018,,hh_ch_1,2.5
2018,,hh_ch_01,4.0
2018,urban,,3.0
2018,rural,,4.0
2019,,,0.9
2019,,hh_ch_1,0.7
2019,,hh_ch_01,1.1
2019,urban,,0.9
2019,rural,,1.0
2020,,,0.1
2020,,hh_ch_1,0.1
2020,,hh_ch_01,0.2
2020,urban,,0.2
2020,rural,,0.1
2021,,,0.1
2021,,hh_ch_1,0.1
2021,,hh_ch_01,0.2
2021,urban,,0.1
2021,rural,,0.1
2022,,,
2022,,hh_ch_1,
2022,,hh_ch_01,
2022,urban,,
2022,rural,,
2023,,,
2023,,hh_ch_1,
2023,,hh_ch_01,
2023,urban,,
2023,rural,,
2024,,,
2024,,hh_ch_1,
2024,,hh_ch_01,
2024,urban,,
2024,rural,,
