Year,Type of residence,Region,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,223.201
2023,urban,,22.647
2023,rural,,200.621
2023,,11_reg_Vinnytsya,25.44
2023,,12_reg_Volyn,11.73
2023,,13_reg_Dnipropetrovsk,4.299
2023,,14_reg_Donetsk,3.391
2023,,15_reg_Zhytomyr,17.096
2023,,16_reg_Zakarpattya,9.872
2023,,17_reg_Zaporizhzhya,1.072
2023,,18_reg_Ivano-Frankivsk,9.111
2023,,19_reg_Kyiv,3.58
2023,,20_reg_Kirovohrad,16.231
2023,,22_reg_Lviv,7.629
2023,,24_reg_Odesa,20.496
2023,,25_reg_Poltava,3.383
2023,,26_reg_Rivne,11.159
2023,,27_reg_Sumy,9.419
2023,,28_reg_Ternopil,5.072
2023,,29_reg_Kharkiv,5.57
2023,,30_reg_Kherson,2.812
2023,,32_reg_Cherkasy,12.207
2023,,33_reg_Chernivtsi,9.644
2023,,34_reg_Chernihiv,15.038
2023,,35_reg_Kyiv_city,20.0
2023,,23_reg_Mykolaiv,8.438
2023,,31_reg_Khmelnytsya,10.494
