Year,Region,group_28,group_13,group_16,group_31,Value
2015,,,,,,56.7
2015,,group_label_272,,,,28.2
2015,,group_label_273,,,,71.8
2015,,group_label_274,,,,74.3
2015,,group_label_275,,,,79.1
2015,,group_label_276,,,,78.6
2015,,group_label_277,,,,61.7
2015,,group_label_278,,,,14.5
2015,,,group_label_174,,,51.7
2015,,,group_label_175,,,62.2
2015,,,,group_label_189,,57.4
2015,,,,group_label_190,,55.1
2015,,,,,group_label_311,71.9
2015,,,,,group_label_312,49.3
2015,,,,,group_label_313,62.6
2015,,,,,group_label_314,63.3
2015,,,,,group_label_315,42.7
2015,,,,,group_label_319,16.7
2015,Ukraine,,,,,56.7
2015,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,57.7
2015,12_reg_Volyn,,,,,53.1
2015,13_reg_Dnipropetrovsk,,,,,60.9
2015,14_reg_Donetsk,,,,,50.3
2015,15_reg_Zhytomyr,,,,,55.5
2015,16_reg_Zakarpattya,,,,,56.2
2015,17_reg_Zaporizhzhya,,,,,56.4
2015,18_reg_Ivano-Frankivsk,,,,,54.8
2015,19_reg_Kyiv,,,,,58.1
2015,20_reg_Kirovohrad,,,,,54.0
2015,21_reg_Luhansk,,,,,54.6
2015,22_reg_Lviv,,,,,55.5
2015,23_reg_Mykolayiv,,,,,58.4
2015,24_reg_Odesa,,,,,57.3
2015,25_reg_Poltava,,,,,54.2
2015,26_reg_Rivne,,,,,58.5
2015,27_reg_Sumy,,,,,55.6
2015,28_reg_Ternopil,,,,,51.6
2015,29_reg_Kharkiv,,,,,59.3
2015,30_reg_Kherson,,,,,56.1
2015,31_reg_Khmelnytskiy,,,,,52.6
2015,32_reg_Cherkasy,,,,,56.5
2015,33_reg_Chernivtsi,,,,,54.9
2015,34_reg_Chernihiv,,,,,56.2
2015,35_reg_Kyiv_city,,,,,62.0
2015,city_Sevastopol,,,,,
2016,,,,,,56.3
2016,,group_label_272,,,,27.0
2016,,group_label_273,,,,69.8
2016,,group_label_274,,,,74.7
2016,,group_label_275,,,,78.4
2016,,group_label_276,,,,78.2
2016,,group_label_277,,,,62.4
2016,,group_label_278,,,,14.3
2016,,,group_label_174,,,51.6
2016,,,group_label_175,,,61.6
2016,,,,group_label_189,,57.0
2016,,,,group_label_190,,54.9
2016,,,,,group_label_311,70.8
2016,,,,,group_label_312,46.2
2016,,,,,group_label_313,62.2
2016,,,,,group_label_314,62.9
2016,,,,,group_label_315,42.1
2016,,,,,group_label_319,16.9
2016,Ukraine,,,,,56.3
2016,autonomous_Republic_of_Crimea,,,,,
2016,11_reg_Vinnytsya,,,,,56.6
2016,12_reg_Volyn,,,,,51.0
2016,13_reg_Dnipropetrovsk,,,,,59.1
2016,14_reg_Donetsk,,,,,50.0
2016,15_reg_Zhytomyr,,,,,55.9
2016,16_reg_Zakarpattya,,,,,54.8
2016,17_reg_Zaporizhzhya,,,,,56.0
2016,18_reg_Ivano-Frankivsk,,,,,54.7
2016,19_reg_Kyiv,,,,,57.8
2016,20_reg_Kirovohrad,,,,,52.9
2016,21_reg_Luhansk,,,,,55.6
2016,22_reg_Lviv,,,,,55.9
2016,23_reg_Mykolayiv,,,,,57.5
2016,24_reg_Odesa,,,,,56.7
2016,25_reg_Poltava,,,,,53.3
2016,26_reg_Rivne,,,,,56.9
2016,27_reg_Sumy,,,,,56.8
2016,28_reg_Ternopil,,,,,52.0
2016,29_reg_Kharkiv,,,,,59.7
2016,30_reg_Kherson,,,,,55.8
2016,31_reg_Khmelnytskiy,,,,,53.9
2016,32_reg_Cherkasy,,,,,56.2
2016,33_reg_Chernivtsi,,,,,56.2
2016,34_reg_Chernihiv,,,,,55.6
2016,35_reg_Kyiv_city,,,,,62.3
2016,city_Sevastopol,,,,,
2017,,,,,,56.1
2017,,group_label_272,,,,27.9
2017,,group_label_273,,,,69.7
2017,,group_label_274,,,,74.6
2017,,group_label_275,,,,77.6
2017,,group_label_276,,,,77.3
2017,,group_label_277,,,,62.9
2017,,group_label_278,,,,13.9
2017,,,group_label_174,,,51.4
2017,,,group_label_175,,,61.4
2017,,,,group_label_189,,56.9
2017,,,,group_label_190,,54.4
2017,,,,,group_label_311,70.5
2017,,,,,group_label_312,45.7
2017,,,,,group_label_313,61.2
2017,,,,,group_label_314,61.6
2017,,,,,group_label_315,42.6
2017,,,,,group_label_319,16.7
2017,Ukraine,,,,,56.1
2017,autonomous_Republic_of_Crimea,,,,,
2017,11_reg_Vinnytsya,,,,,55.3
2017,12_reg_Volyn,,,,,48.8
2017,13_reg_Dnipropetrovsk,,,,,58.0
2017,14_reg_Donetsk,,,,,49.4
2017,15_reg_Zhytomyr,,,,,56.4
2017,16_reg_Zakarpattya,,,,,53.8
2017,17_reg_Zaporizhzhya,,,,,55.2
2017,18_reg_Ivano-Frankivsk,,,,,55.0
2017,19_reg_Kyiv,,,,,58.0
2017,20_reg_Kirovohrad,,,,,53.3
2017,21_reg_Luhansk,,,,,54.7
2017,22_reg_Lviv,,,,,56.2
2017,23_reg_Mykolayiv,,,,,56.8
2017,24_reg_Odesa,,,,,56.1
2017,25_reg_Poltava,,,,,54.0
2017,26_reg_Rivne,,,,,55.1
2017,27_reg_Sumy,,,,,57.4
2017,28_reg_Ternopil,,,,,51.0
2017,29_reg_Kharkiv,,,,,60.6
2017,30_reg_Kherson,,,,,56.2
2017,31_reg_Khmelnytskiy,,,,,54.7
2017,32_reg_Cherkasy,,,,,56.7
2017,33_reg_Chernivtsi,,,,,56.6
2017,34_reg_Chernihiv,,,,,56.1
