Year,m_trans,Value
2015,,1474.3
2016,,1542.6
2017,,1582
2018,,1643
2019,,1578.8
2020,,1641
2021,,1518.6
2022,,
2023,,
2015,tr_1_rail_a,350
2016,tr_1_rail_a,343.4
2017,tr_1_rail_a,339.5
2018,tr_1_rail_a,322.4
2019,tr_1_rail_a,312.9
2020,tr_1_rail_a,305.5
2021,tr_1_rail_a,314.3
2022,tr_1_rail_a,
2023,tr_1_rail_a,
2015,tr_2_motor_a,1020.6
2016,tr_2_motor_a,1085.7
2017,tr_2_motor_a,1121.7
2018,tr_2_motor_a,1205.5
2019,tr_2_motor_a,1147
2020,tr_2_motor_a,1232.4
2021,tr_2_motor_a,1121.3
2022,tr_2_motor_a,
2023,tr_2_motor_a,
2015,tr_3_sea_a,3.3
2016,tr_3_sea_a,3
2017,tr_3_sea_a,2.3
2018,tr_3_sea_a,1.9
2019,tr_3_sea_a,2.1
2020,tr_3_sea_a,1.8
2021,tr_3_sea_a,1.8
2022,tr_3_sea_a,
2023,tr_3_sea_a,
2015,tr_4_river_a,3.1
2016,tr_4_river_a,3.7
2017,tr_4_river_a,3.6
2018,tr_4_river_a,3.7
2019,tr_4_river_a,4
2020,tr_4_river_a,3.8
2021,tr_4_river_a,3.5
2022,tr_4_river_a,
2023,tr_4_river_a,
2015,tr_5_pipeline_a,97.2
2016,tr_5_pipeline_a,106.7
2017,tr_5_pipeline_a,114.8
2018,tr_5_pipeline_a,109.4
2019,tr_5_pipeline_a,112.7
2020,tr_5_pipeline_a,97.4
2021,tr_5_pipeline_a,77.6
2022,tr_5_pipeline_a,
2023,tr_5_pipeline_a,
2015,tr_6_air_a,0.1
2016,tr_6_air_a,0.1
2017,tr_6_air_a,0.1
2018,tr_6_air_a,0.1
2019,tr_6_air_a,0.1
2020,tr_6_air_a,0.1
2021,tr_6_air_a,0.1
2022,tr_6_air_a,
2023,tr_6_air_a,
