Year,Ec_activ_1,Value
2015,,
2016,,
2017,,
2018,,0.7
2019,,
2020,,1.1
2021,,
2022,,0.7
2023,,
2024,,2.1

2015,s_11_indu_1,
2016,s_11_indu_1,
2017,s_11_indu_1,
2018,s_11_indu_1,0.9
2019,s_11_indu_1,
2020,s_11_indu_1,1.9
2021,s_11_indu_1,
2022,s_11_indu_1,1.0
2023,s_11_indu_1,
2024,s_11_indu_1,2.8

2015,3_mining_1,
2016,3_mining_1,
2017,3_mining_1,
2018,3_mining_1,0.1
2019,3_mining_1,
2020,3_mining_1,1.8
2021,3_mining_1,
2022,3_mining_1,2.2
2023,3_mining_1,
2024,3_mining_1,2.5

2015,4_proc_ind_1,
2016,4_proc_ind_1,
2017,4_proc_ind_1,
2018,4_proc_ind_1,1.4
2019,4_proc_ind_1,
2020,4_proc_ind_1,2.4
2021,4_proc_ind_1,
2022,4_proc_ind_1,1.4
2023,4_proc_ind_1,
2024,4_proc_ind_1,4.5

2015,48_products_1,
2016,48_products_1,
2017,48_products_1,
2018,48_products_1,c
2019,48_products_1,
2020,48_products_1,c
2021,48_products_1,
2022,48_products_1,0.9
2023,48_products_1,
2024,48_products_1,2.1

2015,49_leather_1,
2016,49_leather_1,
2017,49_leather_1,
2018,49_leather_1,1.9
2019,49_leather_1,
2020,49_leather_1,1.1
2021,49_leather_1,
2022,49_leather_1,1.1
2023,49_leather_1,
2024,49_leather_1,1.7

2015,50_wood_1,
2016,50_wood_1,
2017,50_wood_1,
2018,50_wood_1,1.6
2019,50_wood_1,
2020,50_wood_1,0.9
2021,50_wood_1,
2022,50_wood_1,1.6
2023,50_wood_1,
2024,50_wood_1,1.4

2015,51_chemicals_1,
2016,51_chemicals_1,
2017,51_chemicals_1,
2018,51_chemicals_1,0.9
2019,51_chemicals_1,
2020,51_chemicals_1,c
2021,51_chemicals_1,
2022,51_chemicals_1,0.9
2023,51_chemicals_1,
2024,51_chemicals_1,10.4

2015,52_rubber_1,
2016,52_rubber_1,
2017,52_rubber_1,
2018,52_rubber_1,1.5
2019,52_rubber_1,
2020,52_rubber_1,1.1
2021,52_rubber_1,
2022,52_rubber_1,0.8
2023,52_rubber_1,
2024,52_rubber_1,0.5

2015,53_metallurgy_1,
2016,53_metallurgy_1,
2017,53_metallurgy_1,
