Year,m_trans,Value
2015,,5166.8
2016,,4853.8
2017,,4648.2
2018,,4487.1
2019,,4262.3
2020,,2570.2
2021,,2655.4
2022,,1610.5
2023,,2048.7
2024,,2176.6
2025,,2182.0

2015,tr_1_rail,389.8
2016,tr_1_rail,389.1
2017,tr_1_rail,164.9
2018,tr_1_rail,158.0
2019,tr_1_rail,154.8
2020,tr_1_rail,68.3
2021,tr_1_rail,81.3
2022,tr_1_rail,52.7
2023,tr_1_rail,64.9
2024,tr_1_rail,65.7
2025,tr_1_rail,63.0

2015,tr_2_motor,2250.3
2016,tr_2_motor,2024.9
2017,tr_2_motor,2019.3
2018,tr_2_motor,1906.8
2019,tr_2_motor,1804.9
2020,tr_2_motor,1083.9
2021,tr_2_motor,1089.3
2022,tr_2_motor,669.9
2023,tr_2_motor,812.6
2024,tr_2_motor,915.8
2025,tr_2_motor,932.3

2015,tr_3_sea,0.0
2016,tr_3_sea,0.0
2017,tr_3_sea,0.0
2018,tr_3_sea,0.1
2019,tr_3_sea,0.1
2020,tr_3_sea,0.1
2021,tr_3_sea,0.1
2022,tr_3_sea,c
2023,tr_3_sea,
2024,tr_3_sea,
2025,tr_3_sea,

2015,tr_4_river,0.6
2016,tr_4_river,0.4
2017,tr_4_river,0.6
2018,tr_4_river,0.6
2019,tr_4_river,0.6
2020,tr_4_river,0.2
2021,tr_4_river,0.4
2022,tr_4_river,c
2023,tr_4_river,c
2024,tr_4_river,c
2025,tr_4_river,c

2015,tr_6_air,6.3
2016,tr_6_air,8.3
2017,tr_6_air,10.6
2018,tr_6_air,12.5
2019,tr_6_air,13.7
2020,tr_6_air,4.8
2021,tr_6_air,9.3
2022,tr_6_air,c
2023,tr_6_air,c
2024,tr_6_air,c
2025,tr_6_air,c

2015,3_tr_urban_1,2519.8
2016,3_tr_urban_1,2431.1
2017,3_tr_urban_1,2452.8
2018,3_tr_urban_1,2409.1
2019,3_tr_urban_1,2288.2
2020,3_tr_urban_1,1412.9
2021,3_tr_urban_1,1475.0
2022,3_tr_urban_1,886.5
2023,3_tr_urban_1,1170.6
2024,3_tr_urban_1,1194.3
2024,3_tr_urban_1,1186.1

2015,tr_7_tram,738.6
2016,tr_7_tram,694.0
2017,tr_7_tram,675.8
2018,tr_7_tram,666.3
2019,tr_7_tram,627.5
2020,tr_7_tram,422.8
2021,tr_7_tram,398.0
2022,tr_7_tram,252.4
2023,tr_7_tram,321.7
2024,tr_7_tram,329.6
2025,tr_7_tram,306.6

2015,tr_8_trolley,1080.8
2016,tr_8_trolley,1038.7
2017,tr_8_trolley,1058.1
2018,tr_8_trolley,1016.2
2019,tr_8_trolley,945.7
2020,tr_8_trolley,579.0
2021,tr_8_trolley,594.4
2022,tr_8_trolley,413.9
2023,tr_8_trolley,540.8
2024,tr_8_trolley,546.1
2025,tr_8_trolley,545.5

2015,tr_9_subway,700.4
2016,tr_9_subway,698.4
2017,tr_9_subway,718.9
2018,tr_9_subway,726.6
2019,tr_9_subway,715.0
2020,tr_9_subway,411.1
2021,tr_9_subway,482.6
2022,tr_9_subway,220.2
2023,tr_9_subway,308.1
2024,tr_9_subway,318.6
2025,tr_9_subway,334.0
