Year,Sex,Type of residence,Region,Value
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,81
2021,,,,85.1
2022,,,,
2023,,,,
2024,,,,
2015,females,,,
2016,females,,,
2017,females,,,
2018,females,,,
2019,females,,,
2020,females,,,79.5
2021,females,,,83.8
2022,females,,,
2023,females,,,
2024,females,,,
2015,males,,,
2016,males,,,
2017,males,,,
2018,males,,,
2019,males,,,
2020,males,,,82.6
2021,males,,,86.5
2022,males,,,
2023,males,,,
2024,males,,,
2015,,urban,,
2016,,urban,,
2017,,urban,,
2018,,urban,,
2019,,urban,,
2020,,urban,,86.7
2021,,urban,,89.8
2022,,urban,,
2023,,urban,,
2024,,urban,,
2015,,rural,,
2016,,rural,,
2017,,rural,,
2018,,rural,,
2019,,rural,,
2020,,rural,,69.6
2021,,rural,,75.9
2022,,rural,,
2023,,rural,,
2024,,rural,,
2015,,,11_reg_Vinnytsya,
2016,,,11_reg_Vinnytsya,
2017,,,11_reg_Vinnytsya,
2018,,,11_reg_Vinnytsya,
2019,,,11_reg_Vinnytsya,
2020,,,11_reg_Vinnytsya,77.1
2021,,,11_reg_Vinnytsya,79.9
2022,,,11_reg_Vinnytsya,
2023,,,11_reg_Vinnytsya,
2024,,,11_reg_Vinnytsya,
2015,,,12_reg_Volyn,
2016,,,12_reg_Volyn,
2017,,,12_reg_Volyn,
2018,,,12_reg_Volyn,
2019,,,12_reg_Volyn,
2020,,,12_reg_Volyn,77.6
2021,,,12_reg_Volyn,80.9
2022,,,12_reg_Volyn,
2023,,,12_reg_Volyn,
2024,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,
2016,,,13_reg_Dnipropetrovsk,
2017,,,13_reg_Dnipropetrovsk,
2018,,,13_reg_Dnipropetrovsk,
2019,,,13_reg_Dnipropetrovsk,
2020,,,13_reg_Dnipropetrovsk,85.5
2021,,,13_reg_Dnipropetrovsk,92
2022,,,13_reg_Dnipropetrovsk,
2023,,,13_reg_Dnipropetrovsk,
2024,,,13_reg_Dnipropetrovsk,
2015,,,14_reg_Donetsk,
2016,,,14_reg_Donetsk,
2017,,,14_reg_Donetsk,
2018,,,14_reg_Donetsk,
2019,,,14_reg_Donetsk,
2020,,,14_reg_Donetsk,78.4
2021,,,14_reg_Donetsk,89.5
2022,,,14_reg_Donetsk,
2023,,,14_reg_Donetsk,
2024,,,14_reg_Donetsk,
2015,,,19_reg_Kyiv,
2016,,,19_reg_Kyiv,
2017,,,19_reg_Kyiv,
2018,,,19_reg_Kyiv,
2019,,,19_reg_Kyiv,
2020,,,19_reg_Kyiv,78.8
2021,,,19_reg_Kyiv,85.5
2022,,,19_reg_Kyiv,
2023,,,19_reg_Kyiv,
2024,,,19_reg_Kyiv,
2015,,,35_reg_Kyiv_city,
2016,,,35_reg_Kyiv_city,
2017,,,35_reg_Kyiv_city,
2018,,,35_reg_Kyiv_city,
2019,,,35_reg_Kyiv_city,
2020,,,35_reg_Kyiv_city,90.6
2021,,,35_reg_Kyiv_city,89.6
2022,,,35_reg_Kyiv_city,
2023,,,35_reg_Kyiv_city,
2024,,,35_reg_Kyiv_city,
