Indicator,Disaggregation combinations using this value
#10-1-1,1
#10-1-2,1
#10-4-1-a,1
#11-4-1,1
#11-4-5,1
#11-4-7,2
#12-1-1,1
#12-1-2,1
#13-2-1,1
#15-1-1,1
#15-3-1,1
#15-5-1,1
#15-5-2,1
#16-10-5,1
#16-11-1,1
#16-12-1,1
#16-13-1,1
#16-13-2,1
#16-2-1,1
#16-2-2,1
#16-2-3,1
#16-2-4,1
#16-3-1,1
#16-3-2,1
#16-3-3,1
#16-4-2,1
#16-5-2-a,5
#16-6-1,1
#16-8-3-a,1
#16-9-1-a,136
#17-2-1,1
#17-3-1-a,1
#2-1-1-a,1
#2-1-2-a,1
#2-1-3-a,1
#2-1-4-a,1
#2-1-5-a,1
#2-3-1,1
#3-3-1-a,1
#3-4-1-a,1
#3-4-2-a,1
#3-4-3-a,1
#3-4-4-a,1
#3-8-1,17
#4-2-1,1
#4-6-1,7
#5-2-5,1
#5-4-2,1
#5-5-1-a,1
#5-5-2,2
#5-6-2,1
#5-6-3,1
#5-6-4,1
#6-1-1,9
#6-1-3,1
#6-3-1,1
#7-2-1,1
#7-6-1,1
#7-6-2,1
#7-6-3,1
#7-7-1,1
#8-2-1,1
#8-2-2,1
#8-2-3,1
#8-5-1-a,1
#8-5-2-a,1
#9-1-1-a,1
#9-6-1-a,3
#9-6-3,1
#9-6-4,1
