Year,Region,Category,Value
2015,,,0.227
2015,,urban,0.232
2015,,rural,0.215
2015,Autonomous Republic of Crimea,,
2015,Vinnytsya,,0.252
2015,Volyn,,0.189
2015,Dnipropetrovsk,,0.226
2015,Donetsk,,0.233
2015,Zhytomyr,,0.236
2015,Zakarpattya,,0.257
2015,Zaporizhzhya,,0.206
2015,Ivano-Frankivsk,,0.153
2015,Kyiv,,0.173
2015,Kirovohrad,,0.226
2015,Luhansk,,0.237
2015,Lviv,,0.208
2015,Mykolayiv,,0.222
2015,Odesa,,0.249
2015,Poltava,,0.221
2015,Rivne,,0.195
2015,Sumy,,0.197
2015,Ternopil,,0.187
2015,Kharkiv,,0.211
2015,Kherson,,0.19
2015,Khmelnytskiy,,0.206
2015,Cherkasy,,0.204
2015,Chernivtsi,,0.209
2015,Chernihiv,,0.183
2015,city Kyiv,,0.26
2015,city Sevastopol,,
2016,,,0.22
2016,,urban,0.226
2016,,rural,0.205
2016,Autonomous Republic of Crimea,,
2016,Vinnytsya,,0.177
2016,Volyn,,0.195
2016,Dnipropetrovsk,,0.238
2016,Donetsk,,0.205
2016,Zhytomyr,,0.207
2016,Zakarpattya,,0.194
2016,Zaporizhzhya,,0.199
2016,Ivano-Frankivsk,,0.148
2016,Kyiv,,0.201
2016,Kirovohrad,,0.251
2016,Luhansk,,0.21
2016,Lviv,,0.199
2016,Mykolayiv,,0.168
2016,Odesa,,0.218
2016,Poltava,,0.21
2016,Rivne,,0.189
2016,Sumy,,0.195
2016,Ternopil,,0.208
2016,Kharkiv,,0.182
2016,Kherson,,0.233
2016,Khmelnytskiy,,0.212
2016,Cherkasy,,0.189
2016,Chernivtsi,,0.19
2016,Chernihiv,,0.193
2016,city Kyiv,,0.291
2016,city Sevastopol,,
2017,,,0.232
2017,,urban,0.235
2017,,rural,0.22
2017,Autonomous Republic of Crimea,,
2017,Vinnytsya,,0.23
2017,Volyn,,0.136
2017,Dnipropetrovsk,,0.226
2017,Donetsk,,0.249
2017,Zhytomyr,,0.228
2017,Zakarpattya,,0.179
2017,Zaporizhzhya,,0.231
2017,Ivano-Frankivsk,,0.197
2017,Kyiv,,0.205
2017,Kirovohrad,,0.229
2017,Luhansk,,0.205
2017,Lviv,,0.208
2017,Mykolayiv,,0.21
2017,Odesa,,0.242
2017,Poltava,,0.184
2017,Rivne,,0.215
2017,Sumy,,0.187
2017,Ternopil,,0.257
2017,Kharkiv,,0.188
2017,Kherson,,0.215
2017,Khmelnytskiy,,0.188
2017,Cherkasy,,0.229
2017,Chernivtsi,,0.207
2017,Chernihiv,,0.213
2017,city Kyiv,,0.275
2017,city Sevastopol,,
2018,,,0.238
2018,,urban,0.244
2018,,rural,0.218
2018,Autonomous Republic of Crimea,,
2018,Vinnytsya,,0.229
2018,Volyn,,0.218
2018,Dnipropetrovsk,,0.214
2018,Donetsk,,0.243
2018,Zhytomyr,,0.23
2018,Zakarpattya,,0.258
2018,Zaporizhzhya,,0.207
2018,Ivano-Frankivsk,,0.171
2018,Kyiv,,0.238
2018,Kirovohrad,,0.218
2018,Luhansk,,0.232
2018,Lviv,,0.207
2018,Mykolayiv,,0.221
2018,Odesa,,0.224
2018,Poltava,,0.232
2018,Rivne,,0.201
2018,Sumy,,0.213
2018,Ternopil,,0.182
2018,Kharkiv,,0.217
2018,Kherson,,0.221
2018,Khmelnytskiy,,0.19
2018,Cherkasy,,0.213
2018,Chernivtsi,,0.183
2018,Chernihiv,,0.251
2018,city Kyiv,,0.266
2018,city Sevastopol,,
2019,,,0.249
2019,,urban,0.253
2019,,rural,0.223
2019,Autonomous Republic of Crimea,,
2019,Vinnytsya,,0.198
2019,Volyn,,0.228
2019,Dnipropetrovsk,,0.239
2019,Donetsk,,0.221
2019,Zhytomyr,,0.243
2019,Zakarpattya,,0.236
2019,Zaporizhzhya,,0.217
2019,Ivano-Frankivsk,,0.231
2019,Kyiv,,0.223
2019,Kirovohrad,,0.246
2019,Luhansk,,0.217
2019,Lviv,,0.216
2019,Mykolayiv,,0.226
2019,Odesa,,0.251
2019,Poltava,,0.213
2019,Rivne,,0.219
2019,Sumy,,0.203
2019,Ternopil,,0.21
2019,Kharkiv,,0.203
2019,Kherson,,0.248
2019,Khmelnytskiy,,0.255
2019,Cherkasy,,0.231
2019,Chernivtsi,,0.228
2019,Chernihiv,,0.23
2019,city Kyiv,,0.268
2019,city Sevastopol,,
2020,,,0.247
2020,,urban,0.254
2020,,rural,0.219
2020,Autonomous Republic of Crimea,,
2020,Vinnytsya,,0.175
2020,Volyn,,0.216
2020,Dnipropetrovsk,,0.233
2020,Donetsk,,0.25
2020,Zhytomyr,,0.21
2020,Zakarpattya,,0.191
2020,Zaporizhzhya,,0.208
2020,Ivano-Frankivsk,,0.179
2020,Kyiv,,0.228
2020,Kirovohrad,,0.228
2020,Luhansk,,0.209
2020,Lviv,,0.218
2020,Mykolayiv,,0.194
2020,Odesa,,0.256
2020,Poltava,,0.212
2020,Rivne,,0.216
2020,Sumy,,0.199
