Year,form of discrimination,by spheres of public relations,Sex,by type of residence,Value
2015,,,,,0.57
2016,,,,,0.47
2017,,,,,2.08
2018,,,,,1.8
2019,,,,,1.28
2020,,,,,1.01
2021,,,,,0.9
2022,,,,,0.73
2023,,,,,0.49
2024,,,,,1.04
2015,direct discrimination,,,,
2016,direct discrimination,,,,
2017,direct discrimination,,,,
2018,direct discrimination,,,,
2019,direct discrimination,,,,
2020,direct discrimination,,,,
2021,direct discrimination,,,,
2022,direct discrimination,,,,
2023,direct discrimination,,,,0.03
2024,direct discrimination,,,,0.01
2015,indirect discrimination,,,,
2016,indirect discrimination,,,,
2017,indirect discrimination,,,,
2018,indirect discrimination,,,,
2019,indirect discrimination,,,,
2020,indirect discrimination,,,,
2021,indirect discrimination,,,,
2022,indirect discrimination,,,,
2023,indirect discrimination,,,,1.0
2024,indirect discrimination,,,,
2015,incitement to discrimination,,,,
2016,incitement to discrimination,,,,
2017,incitement to discrimination,,,,
2018,incitement to discrimination,,,,
2019,incitement to discrimination,,,,
2020,incitement to discrimination,,,,
2021,incitement to discrimination,,,,
2022,incitement to discrimination,,,,
2023,incitement to discrimination,,,,
2024,incitement to discrimination,,,,1.0
2015,complicity in discrimination,,,,
2016,complicity in discrimination,,,,
2017,complicity in discrimination,,,,
2018,complicity in discrimination,,,,
2019,complicity in discrimination,,,,
2020,complicity in discrimination,,,,
2021,complicity in discrimination,,,,
2022,complicity in discrimination,,,,
2023,complicity in discrimination,,,,
2024,complicity in discrimination,,,,
2015,oppression,,,,
2016,oppression,,,,
2017,oppression,,,,
2018,oppression,,,,
2019,oppression,,,,
2020,oppression,,,,
2021,oppression,,,,
2022,oppression,,,,
2023,oppression,,,,26.0
2024,oppression,,,,8.0
2015,,freedom from discrimination in the field of social protection,,,
2016,,freedom from discrimination in the field of social protection,,,
2017,,freedom from discrimination in the field of social protection,,,
2018,,freedom from discrimination in the field of social protection,,,
2019,,freedom from discrimination in the field of social protection,,,
2020,,freedom from discrimination in the field of social protection,,,
2021,,freedom from discrimination in the field of social protection,,,
2022,,freedom from discrimination in the field of social protection,,,
2023,,freedom from discrimination in the field of social protection,,,8.0
2024,,freedom from discrimination in the field of social protection,,,26.0
2015,,freedom from discrimination in the field of education,,,
2016,,freedom from discrimination in the field of education,,,
2017,,freedom from discrimination in the field of education,,,
2018,,freedom from discrimination in the field of education,,,
2019,,freedom from discrimination in the field of education,,,
2020,,freedom from discrimination in the field of education,,,
2021,,freedom from discrimination in the field of education,,,
2022,,freedom from discrimination in the field of education,,,
2023,,freedom from discrimination in the field of education,,,9.0
2024,,freedom from discrimination in the field of education,,,92.0
