Year,Types of shelters,Value
2015,,10.0
2016,,10.0
2017,,10.0
2018,,10.0
2019,,10.0
2020,,10.0
2021,,15.0
2022,,35.0
2023,,45.0
2024,,50.6
2015,storages,2.0
2016,storages,2.0
2017,storages,2.0
2018,storages,2.0
2019,storages,2.0
2020,storages,2.0
2021,storages,2.0
2022,storages,2.0
2023,storages,2.0
2024,storages,2.0
2015,anti-radiation shelters,8.0
2016,anti-radiation shelters,8.0
2017,anti-radiation shelters,8.0
2018,anti-radiation shelters,8.0
2019,anti-radiation shelters,8.0
2020,anti-radiation shelters,8.0
2021,anti-radiation shelters,8.0
2022,anti-radiation shelters,8.0
2023,anti-radiation shelters,8.0
2024,anti-radiation shelters,8.0
2015,dual-use structures,
2016,dual-use structures,
2017,dual-use structures,
2018,dual-use structures,
2019,dual-use structures,
2020,dual-use structures,
2021,dual-use structures,
2022,dual-use structures,1.0
2023,dual-use structures,1.0
2024,dual-use structures,1.0
2015,simplest shelters,
2016,simplest shelters,
2017,simplest shelters,
2018,simplest shelters,
2019,simplest shelters,
2020,simplest shelters,
2021,simplest shelters,5.0
2022,simplest shelters,24.0
2023,simplest shelters,34.0
2024,simplest shelters,39.6
