Year,By type of shelters,Value
2015,,66/34
2016,,67/33
2017,,68/32
2018,,69/31
2019,,70/30
2020,,71/29
2021,,72/28
2022,,50/50
2023,,60/40
2024,,87/13
2015,storages,
2016,storages,
2017,storages,
2018,storages,
2019,storages,
2020,storages,
2021,storages,
2022,storages,70/30
2023,storages,60/40
2024,storages,52/48
2015,anti-radiation shelters,
2016,anti-radiation shelters,
2017,anti-radiation shelters,
2018,anti-radiation shelters,
2019,anti-radiation shelters,
2020,anti-radiation shelters,
2021,anti-radiation shelters,
2022,anti-radiation shelters,60/40
2023,anti-radiation shelters,70/30
2024,anti-radiation shelters,67/33
2015,dual-use structures,
2016,dual-use structures,
2017,dual-use structures,
2018,dual-use structures,
2019,dual-use structures,
2020,dual-use structures,
2021,dual-use structures,
2022,dual-use structures,
2023,dual-use structures,66/34
2024,dual-use structures,77/23
2015,simplest shelters,
2016,simplest shelters,
2017,simplest shelters,
2018,simplest shelters,
2019,simplest shelters,
2020,simplest shelters,
2021,simplest shelters,
2022,simplest shelters,
2023,simplest shelters,81/19
2024,simplest shelters,97/3
