Year,Region,Safety,Value
2015,,hazardous waste,14.0
2015,,non-hazardous waste,7274.0
2015,Ukraine,,7288.0
2015,Autonomous Republic of Crimea,,
2015,Vinnytsya,,1214.0
2015,Volyn,,613.0
2015,Dnipropetrovsk,,69533.0
2015,Donetsk,,3942.0
2015,Zhytomyr,,414.0
2015,Zakarpattya,,106.0
2015,Zaporizhzhya,,3105.0
2015,Ivano-Frankivsk,,1537.0
2015,Kyiv,,959.0
2015,Kirovohrad,,34134.0
2015,Luhansk,,1152.0
2015,Lviv,,1165.0
2015,Mykolayiv,,1986.0
2015,Odesa,,252.0
2015,Poltava,,3069.0
2015,Rivne,,726.0
2015,Sumy,,751.0
2015,Ternopil,,758.0
2015,Kharkiv,,628.0
2015,Kherson,,392.0
2015,Khmelnytskiy,,740.0
2015,Cherkasy,,945.0
2015,Chernivtsi,,438.0
2015,Chernihiv,,826.0
2015,the city of Kyiv,,556.0
2015,city Sevastopol,,
2016,,hazardous waste,15.0
2016,,non-hazardous waste,6919.0
2016,Ukraine,,6934.0
2016,Autonomous Republic of Crimea,,
2016,Vinnytsya,,1208.0
2016,Volyn,,657.0
2016,Dnipropetrovsk,,63482.0
2016,Donetsk,,4749.0
2016,Zhytomyr,,443.0
2016,Zakarpattya,,124.0
2016,Zaporizhzhya,,2886.0
2016,Ivano-Frankivsk,,1401.0
2016,Kyiv,,901.0
2016,Kirovohrad,,35492.0
2016,Luhansk,,1116.0
2016,Lviv,,1095.0
2016,Mykolayiv,,2050.0
2016,Odesa,,271.0
2016,Poltava,,3783.0
2016,Rivne,,614.0
2016,Sumy,,607.0
2016,Ternopil,,812.0
2016,Kharkiv,,721.0
2016,Kherson,,367.0
2016,Khmelnytskiy,,1008.0
2016,Cherkasy,,986.0
2016,Chernivtsi,,427.0
2016,Chernihiv,,693.0
2016,the city of Kyiv,,572.0
2016,city Sevastopol,,
2017,,hazardous waste,14.0
2017,,non-hazardous waste,8602.0
2017,Ukraine,,8616.0
2017,Autonomous Republic of Crimea,,
2017,Vinnytsya,,1479.0
2017,Volyn,,705.0
2017,Dnipropetrovsk,,75250.0
2017,Donetsk,,5313.0
2017,Zhytomyr,,445.0
2017,Zakarpattya,,138.0
2017,Zaporizhzhya,,2963.0
2017,Ivano-Frankivsk,,1414.0
2017,Kyiv,,726.0
2017,Kirovohrad,,39150.0
2017,Luhansk,,295.0
2017,Lviv,,981.0
2017,Mykolayiv,,2032.0
2017,Odesa,,310.0
2017,Poltava,,24728.0
2017,Rivne,,394.0
2017,Sumy,,528.0
2017,Ternopil,,1805.0
2017,Kharkiv,,669.0
2017,Kherson,,380.0
2017,Khmelnytskiy,,725.0
2017,Cherkasy,,1057.0
2017,Chernivtsi,,407.0
2017,Chernihiv,,714.0
2017,the city of Kyiv,,324.0
2017,city Sevastopol,,
2018,,hazardous waste,15.0
2018,,non-hazardous waste,8602.0
2018,Ukraine,,8335.0
2018,Autonomous Republic of Crimea,,
2018,Vinnytsya,,1137.0
2018,Volyn,,536.0
2018,Dnipropetrovsk,,75680.0
2018,Donetsk,,5764.0
2018,Zhytomyr,,397.0
2018,Zakarpattya,,148.0
2018,Zaporizhzhya,,3088.0
2018,Ivano-Frankivsk,,1432.0
2018,Kyiv,,792.0
2018,Kirovohrad,,39859.0
2018,Luhansk,,258.0
2018,Lviv,,847.0
2018,Mykolayiv,,2121.0
2018,Odesa,,306.0
2018,Poltava,,14089.0
2018,Rivne,,418.0
2018,Sumy,,783.0
2018,Ternopil,,1575.0
2018,Kharkiv,,607.0
2018,Kherson,,377.0
2018,Khmelnytskiy,,709.0
2018,Cherkasy,,1224.0
2018,Chernivtsi,,340.0
2018,Chernihiv,,708.0
2018,the city of Kyiv,,331.0
2018,city Sevastopol,,
