Year,Mountainous region,Value
2015,,656.715
2016,,657.155
2017,,658.8
2018,,659.241
2019,,683.783
2020,,697.244
2021,,701.384
2022,,709.989
2023,,715.601
2024,,689.195
2015,Zakarpattya region,178.563
2016,Zakarpattya region,178.841
2017,Zakarpattya region,180.506
2018,Zakarpattya region,180.698
2019,Zakarpattya region,192.439
2020,Zakarpattya region,193.319
2021,Zakarpattya region,197.902
2022,Zakarpattya region,206.375
2023,Zakarpattya region,206.376
2024,Zakarpattya region,206.351
2015,Ivano-Frankivsk region,218.825
2016,Ivano-Frankivsk region,218.817
2017,Ivano-Frankivsk region,218.817
2018,Ivano-Frankivsk region,218.882
2019,Ivano-Frankivsk region,218.882
2020,Ivano-Frankivsk region,222.383
2021,Ivano-Frankivsk region,225.543
2022,Ivano-Frankivsk region,225.543
2023,Ivano-Frankivsk region,229.527
2024,Ivano-Frankivsk region,206.351
2015,Lviv region,155.729
2016,Lviv region,155.899
2017,Lviv region,155.879
2018,Lviv region,156.063
2019,Lviv region,168.864
2020,Lviv region,177.944
2021,Lviv region,173.613
2022,Lviv region,173.614
2023,Lviv region,175.241
2024,Lviv region,172.036
2015,Chernivtsi region,103.598
2016,Chernivtsi region,103.598
2017,Chernivtsi region,103.598
2018,Chernivtsi region,103.598
2019,Chernivtsi region,103.598
2020,Chernivtsi region,103.598
2021,Chernivtsi region,104.326
2022,Chernivtsi region,104.457
2023,Chernivtsi region,104.457
2024,Chernivtsi region,104.457
