Year,Mountain region,Value
2015,,1.09
2016,,1.09
2017,,1.09
2018,,1.09
2019,,1.13
2020,,1.16
2021,,1.17
2022,,1.18
2023,,1.19
2024,,1.14
2015,Zakarpattia Oblast,0.3
2016,Zakarpattia Oblast,0.3
2017,Zakarpattia Oblast,0.3
2018,Zakarpattia Oblast,0.3
2019,Zakarpattia Oblast,0.32
2020,Zakarpattia Oblast,0.32
2021,Zakarpattia Oblast,0.33
2022,Zakarpattia Oblast,0.34
2023,Zakarpattia Oblast,0.34
2024,Zakarpattia Oblast,0.34
2015,Ivano-Frankivsk Oblast,0.36
2016,Ivano-Frankivsk Oblast,0.36
2017,Ivano-Frankivsk Oblast,0.36
2018,Ivano-Frankivsk Oblast,0.36
2019,Ivano-Frankivsk Oblast,0.36
2020,Ivano-Frankivsk Oblast,0.37
2021,Ivano-Frankivsk Oblast,0.37
2022,Ivano-Frankivsk Oblast,0.37
2023,Ivano-Frankivsk Oblast,0.38
2024,Ivano-Frankivsk Oblast,0.34
2015,Lviv Oblast,0.26
2016,Lviv Oblast,0.26
2017,Lviv Oblast,0.26
2018,Lviv Oblast,0.26
2019,Lviv Oblast,0.28
2020,Lviv Oblast,0.29
2021,Lviv Oblast,0.29
2022,Lviv Oblast,0.29
2023,Lviv Oblast,0.29
2024,Lviv Oblast,0.29
2015,Chernivtsi Oblast,0.17
2016,Chernivtsi Oblast,0.17
2017,Chernivtsi Oblast,0.17
2018,Chernivtsi Oblast,0.17
2019,Chernivtsi Oblast,0.17
2020,Chernivtsi Oblast,0.17
2021,Chernivtsi Oblast,0.17
2022,Chernivtsi Oblast,0.17
2023,Chernivtsi Oblast,0.17
2024,Chernivtsi Oblast,0.17
