Year,Age,Sex,Type of residence,Level of education,Employment status,Level of income,Displacement status,Region,Value
2015,,,,,,,,,
2015,men 18–35 years,,,,,,,,
2015,men 36–59 years,,,,,,,,
2015,men 60 years and older,,,,,,,,
2015,women 18–35 years,,,,,,,,
2015,women 36–59 years,,,,,,,,
2015,women 60 years and older,,,,,,,,
2015,,women,,,,,,,
2015,,men,,,,,,,
2015,,,"large cities (population 500,000 or more)",,,,,,
2015,,,"cities (population 50,000–500,000)",,,,,,
2015,,,"small cities (population less than 50,000)",,,,,,
2015,,,rural areas,,,,,,
2015,,,,primary education,,,,,
2015,,,,secondary education,,,,,
2015,,,,secondary vocational education,,,,,
2015,,,,tertiary education,,,,,
2015,,,,,full/part-time,,,,
2015,,,,,housekeeping or maternity leave,,,,
2015,,,,,pensioners,,,,
2015,,,,,students,,,,
2015,,,,,unemployed,,,,
2015,,,,,,not enough money for food,,,
2015,,,,,,"enough for food, but not enough for clothes",,,
2015,,,,,,"enough for clothes, but not enough for expensive goods",,,
2015,,,,,,enough money for expensive goods,,,
2015,,,,,,,internally displaced persons (IDPs),,
2015,,,,,,,persons who returned,,
2015,,,,,,,persons who did not leave,,
2015,,,,,,,,Autonomous Republic of Crimea,
2015,,,,,,,,Vinnytsya,
2015,,,,,,,,Volyn,
2015,,,,,,,,Dnipropetrovsk,
2015,,,,,,,,Donetsk,
2015,,,,,,,,Zhytomyr,
2015,,,,,,,,Zakarpattya,
2015,,,,,,,,Zaporizhzhya,
2015,,,,,,,,Ivano-Frankivsk,
2015,,,,,,,,Kyiv,
2015,,,,,,,,Kirovohrad,
2015,,,,,,,,Luhansk,
2015,,,,,,,,Lviv,
2015,,,,,,,,Mykolayiv,
2015,,,,,,,,Odesa,
2015,,,,,,,,Poltava,
2015,,,,,,,,Rivne,
2015,,,,,,,,Sumy,
2015,,,,,,,,Ternopil,
2015,,,,,,,,Kharkiv,
2015,,,,,,,,Kherson,
2015,,,,,,,,Khmelnytskiy,
2015,,,,,,,,Cherkasy,
2015,,,,,,,,Chernivtsi,
2015,,,,,,,,Chernihiv,
