Year,Infectious diseases,Age,Region,Value
2015,Tuberculosis,under 1 year,,40.2
2016,Tuberculosis,under 1 year,,72.3
2017,Tuberculosis,under 1 year,,83.6
2018,Tuberculosis,under 1 year,,90.1
2019,Tuberculosis,under 1 year,,88.6
2020,Tuberculosis,under 1 year,,88.8
2021,Tuberculosis,under 1 year,,81.8
2022,Tuberculosis,under 1 year,,71.0
2023,Tuberculosis,under 1 year,,83.5
2024,Tuberculosis,under 1 year,,92.8
2015,Hepatitis B,under 1 year,,25.7
2016,Hepatitis B,under 1 year,,29.2
2017,Hepatitis B,under 1 year,,57.0
2018,Hepatitis B,under 1 year,,67.0
2019,Hepatitis B,under 1 year,,77.0
2020,Hepatitis B,under 1 year,,79.8
2021,Hepatitis B,under 1 year,,78.8
2022,Hepatitis B,under 1 year,,62.4
2023,Hepatitis B,under 1 year,,79.2
2024,Hepatitis B,under 1 year,,88.0
2015,"Measles, mumps, rubella",1 year,,63.7
2016,"Measles, mumps, rubella",1 year,,46.1
2017,"Measles, mumps, rubella",1 year,,93.3
2018,"Measles, mumps, rubella",1 year,,91.0
2019,"Measles, mumps, rubella",1 year,,93.2
2020,"Measles, mumps, rubella",1 year,,83.3
2021,"Measles, mumps, rubella",1 year,,88.5
2022,"Measles, mumps, rubella",1 year,,74.1
2023,"Measles, mumps, rubella",1 year,,92.4
2024,"Measles, mumps, rubella",1 year,,91.4
2015,"Measles, mumps, rubella",6 years,,62.2
2016,"Measles, mumps, rubella",6 years,,31.0
2017,"Measles, mumps, rubella",6 years,,90.7
2018,"Measles, mumps, rubella",6 years,,89.5
2019,"Measles, mumps, rubella",6 years,,91.7
2020,"Measles, mumps, rubella",6 years,,83.4
2021,"Measles, mumps, rubella",6 years,,86.8
2022,"Measles, mumps, rubella",6 years,,69.1
2023,"Measles, mumps, rubella",6 years,,87.3
2024,"Measles, mumps, rubella",6 years,,83.4
2015,"Diphtheria, tetanus",under 1 year,,26.8
2016,"Diphtheria, tetanus",under 1 year,,21.5
2017,"Diphtheria, tetanus",under 1 year,,53.2
2018,"Diphtheria, tetanus",under 1 year,,69.3
2019,"Diphtheria, tetanus",under 1 year,,80.5
2020,"Diphtheria, tetanus",under 1 year,,80.1
2021,"Diphtheria, tetanus",under 1 year,,80.0
2022,"Diphtheria, tetanus",under 1 year,,72.9
2023,"Diphtheria, tetanus",under 1 year,,83.4
2024,"Diphtheria, tetanus",under 1 year,,88.3
2015,"Diphtheria, tetanus",18 months,,33.7
2016,"Diphtheria, tetanus",18 months,,23.7
2017,"Diphtheria, tetanus",18 months,,51.2
2018,"Diphtheria, tetanus",18 months,,66.1
2019,"Diphtheria, tetanus",18 months,,80.5
2020,"Diphtheria, tetanus",18 months,,78.1
2021,"Diphtheria, tetanus",18 months,,77.8
2022,"Diphtheria, tetanus",18 months,,71.9
2023,"Diphtheria, tetanus",18 months,,82.7
2024,"Diphtheria, tetanus",18 months,,86.8
2015,"Diphtheria, tetanus",6 years,,4.2
2016,"Diphtheria, tetanus",6 years,,58.8
2017,"Diphtheria, tetanus",6 years,,83.5
2018,"Diphtheria, tetanus",6 years,,83.4
2019,"Diphtheria, tetanus",6 years,,72.9
2020,"Diphtheria, tetanus",6 years,,59.7
2021,"Diphtheria, tetanus",6 years,,69.9
2022,"Diphtheria, tetanus",6 years,,68.2
2023,"Diphtheria, tetanus",6 years,,70.9
2024,"Diphtheria, tetanus",6 years,,77.0
2015,"Diphtheria, tetanus",adults,,0.1
2016,"Diphtheria, tetanus",adults,,20.6
2017,"Diphtheria, tetanus",adults,,44.8
2018,"Diphtheria, tetanus",adults,,55.6
2019,"Diphtheria, tetanus",adults,,83.4
2020,"Diphtheria, tetanus",adults,,47.0
2021,"Diphtheria, tetanus",adults,,45.4
2022,"Diphtheria, tetanus",adults,,40.2
2023,"Diphtheria, tetanus",adults,,52.0
2024,"Diphtheria, tetanus",adults,,80.7
2015,Pertussis,under 1 year,,26.8
2016,Pertussis,under 1 year,,21.5
2017,Pertussis,under 1 year,,53.2
2018,Pertussis,under 1 year,,69.3
2019,Pertussis,under 1 year,,80.5
2020,Pertussis,under 1 year,,80.1
2021,Pertussis,under 1 year,,80.0
2022,Pertussis,under 1 year,,72.9
2023,Pertussis,under 1 year,,83.4
2024,Pertussis,under 1 year,,88.3
2015,Pertussis,18 months,,33.7
2016,Pertussis,18 months,,23.7
2017,Pertussis,18 months,,51.2
2018,Pertussis,18 months,,66.1
2019,Pertussis,18 months,,80.5
2020,Pertussis,18 months,,78.1
2021,Pertussis,18 months,,77.8
2022,Pertussis,18 months,,71.9
2023,Pertussis,18 months,,82.7
2024,Pertussis,18 months,,86.8
2015,Poliomyelitis,under 1 year,,63.7
2016,Poliomyelitis,under 1 year,,60.9
