Year,Region,Sex,Type of residence,Value
2015,Ukraine,,,70.6
2016,Ukraine,,,69.8
2017,Ukraine,,,69.5
2018,Ukraine,,,69.1
2019,Ukraine,,,70.5
2020,Ukraine,,,74.8
2021,Ukraine,,,73.4
2022,Ukraine,,,65.6
2023,Ukraine,,,
2015,Vinnytsya,,,81.3
2016,Vinnytsya,,,81.3
2017,Vinnytsya,,,81.7
2018,Vinnytsya,,,81.5
2019,Vinnytsya,,,80.0
2020,Vinnytsya,,,78.6
2021,Vinnytsya,,,81.6
2022,Vinnytsya,,,80.3
2023,Vinnytsya,,,
2015,Volyn,,,70.8
2016,Volyn,,,71.3
2017,Volyn,,,70.5
2018,Volyn,,,69.4
2019,Volyn,,,68.1
2020,Volyn,,,69.1
2021,Volyn,,,68.9
2022,Volyn,,,64.3
2023,Volyn,,,
2015,Dnipropetrovsk,,,75.8
2016,Dnipropetrovsk,,,73.3
2017,Dnipropetrovsk,,,73.6
2018,Dnipropetrovsk,,,72.3
2019,Dnipropetrovsk,,,73.2
2020,Dnipropetrovsk,,,75.8
2021,Dnipropetrovsk,,,75.1
2022,Dnipropetrovsk,,,70.3
2023,Dnipropetrovsk,,,
2015,Zhytomyr,,,84.6
2016,Zhytomyr,,,84.9
2017,Zhytomyr,,,83.5
2018,Zhytomyr,,,85.8
2019,Zhytomyr,,,80.9
2020,Zhytomyr,,,86.4
2021,Zhytomyr,,,88.8
2022,Zhytomyr,,,77.4
2023,Zhytomyr,,,
2015,Zakarpattya,,,86.6
2016,Zakarpattya,,,84.1
2017,Zakarpattya,,,83.8
2018,Zakarpattya,,,80.5
2019,Zakarpattya,,,78.4
2020,Zakarpattya,,,73.9
2021,Zakarpattya,,,67.6
2022,Zakarpattya,,,60.3
2023,Zakarpattya,,,
2015,Zaporizhzhya,,,75.6
2016,Zaporizhzhya,,,74.5
2017,Zaporizhzhya,,,76.0
2018,Zaporizhzhya,,,76.0
2019,Zaporizhzhya,,,72.7
2020,Zaporizhzhya,,,77.7
2021,Zaporizhzhya,,,75.1
2022,Zaporizhzhya,,,58.7
2023,Zaporizhzhya,,,
2015,Ivano-Frankivsk,,,55.3
2016,Ivano-Frankivsk,,,55.3
2017,Ivano-Frankivsk,,,56.6
2018,Ivano-Frankivsk,,,56.9
2019,Ivano-Frankivsk,,,58.1
2020,Ivano-Frankivsk,,,59.1
2021,Ivano-Frankivsk,,,59.9
2022,Ivano-Frankivsk,,,58.2
2023,Ivano-Frankivsk,,,
2015,Kyiv,,,86.6
2016,Kyiv,,,87.0
2017,Kyiv,,,87.1
2018,Kyiv,,,83.9
2019,Kyiv,,,82.9
2020,Kyiv,,,82.0
2021,Kyiv,,,83.4
2022,Kyiv,,,77.5
2023,Kyiv,,,
2015,Kirovohrad,,,74.6
2016,Kirovohrad,,,74.3
2017,Kirovohrad,,,73.9
2018,Kirovohrad,,,75.9
2019,Kirovohrad,,,73.1
2020,Kirovohrad,,,73.1
2021,Kirovohrad,,,71.8
2022,Kirovohrad,,,67.5
2023,Kirovohrad,,,
2015,Lviv,,,67.7
2016,Lviv,,,67.4
2017,Lviv,,,64.9
2018,Lviv,,,66.0
2019,Lviv,,,65.0
2020,Lviv,,,67.0
2021,Lviv,,,66.3
2022,Lviv,,,64.2
2023,Lviv,,,
2015,Mykolayiv,,,81.5
2016,Mykolayiv,,,79.7
2017,Mykolayiv,,,77.1
2018,Mykolayiv,,,79.4
2019,Mykolayiv,,,81.2
2020,Mykolayiv,,,84.1
2021,Mykolayiv,,,81.7
2022,Mykolayiv,,,80.0
2023,Mykolayiv,,,
2015,Odesa,,,63.0
2016,Odesa,,,62.5
2017,Odesa,,,64.3
2018,Odesa,,,63.9
2019,Odesa,,,64.8
2020,Odesa,,,65.6
2021,Odesa,,,66.5
2022,Odesa,,,62.4
2023,Odesa,,,
2015,Poltava,,,79.8
2016,Poltava,,,78.8
2017,Poltava,,,78.1
2018,Poltava,,,78.3
2019,Poltava,,,76.8
2020,Poltava,,,79.4
2021,Poltava,,,78.1
2022,Poltava,,,73.8
2023,Poltava,,,
2015,Rivne,,,71.4
2016,Rivne,,,70.9
2017,Rivne,,,72.5
2018,Rivne,,,70.4
2019,Rivne,,,74.3
2020,Rivne,,,73.2
2021,Rivne,,,74.1
2022,Rivne,,,68.0
2023,Rivne,,,
2015,Sumy,,,84.9
2016,Sumy,,,83.3
2017,Sumy,,,82.4
2018,Sumy,,,81.9
2019,Sumy,,,81.1
2020,Sumy,,,83.3
2021,Sumy,,,85.1
2022,Sumy,,,78.8
2023,Sumy,,,
2015,Ternopil,,,74.2
2016,Ternopil,,,71.7
2017,Ternopil,,,72.0
2018,Ternopil,,,69.9
2019,Ternopil,,,71.8
2020,Ternopil,,,70.9
2021,Ternopil,,,73.3
2022,Ternopil,,,69.1
2023,Ternopil,,,
2015,Kharkiv,,,81.1
2016,Kharkiv,,,81.1
2017,Kharkiv,,,79.0
2018,Kharkiv,,,78.2
2019,Kharkiv,,,76.3
2020,Kharkiv,,,80.7
2021,Kharkiv,,,81.2
2022,Kharkiv,,,70.9
2023,Kharkiv,,,
2015,Kherson,,,72.7
2016,Kherson,,,71.8
2017,Kherson,,,71.9
2018,Kherson,,,70.2
2019,Kherson,,,72.1
2020,Kherson,,,69.8
2021,Kherson,,,71.8
2022,Kherson,,,34.7
2023,Kherson,,,
2015,Khmelnytskiy,,,93.0
2016,Khmelnytskiy,,,86.3
2017,Khmelnytskiy,,,85.5
2018,Khmelnytskiy,,,86.4
2019,Khmelnytskiy,,,86.0
2020,Khmelnytskiy,,,86.2
2021,Khmelnytskiy,,,86.7
2022,Khmelnytskiy,,,79.6
2023,Khmelnytskiy,,,
2015,Cherkasy,,,82.0
2016,Cherkasy,,,81.7
2017,Cherkasy,,,81.6
2018,Cherkasy,,,79.7
