Year,Type of residence,за типом закладу освіти,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,4579.0
2023,,,64322.0
2024,,,77507.0
2015,urban,,
2016,urban,,
2017,urban,,
2018,urban,,
2019,urban,,
2020,urban,,
2021,urban,,
2022,urban,,3390.0
2023,urban,,45631.0
2024,urban,,60023.0
2015,rural,,
2016,rural,,
2017,rural,,
2018,rural,,
2019,rural,,
2020,rural,,
2021,rural,,
2022,rural,,1189.0
2023,rural,,18691.0
2024,rural,,17484.0
2015,,заклади загальної середньої освіти (ЗЗСО),
2016,,заклади загальної середньої освіти (ЗЗСО),
2017,,заклади загальної середньої освіти (ЗЗСО),
2018,,заклади загальної середньої освіти (ЗЗСО),
2019,,заклади загальної середньої освіти (ЗЗСО),
2020,,заклади загальної середньої освіти (ЗЗСО),
2021,,заклади загальної середньої освіти (ЗЗСО),
2022,,заклади загальної середньої освіти (ЗЗСО),4284.0
2023,,заклади загальної середньої освіти (ЗЗСО),60809.0
2024,,заклади загальної середньої освіти (ЗЗСО),71401.0
2015,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2016,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2017,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2018,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2019,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2020,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2021,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2022,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2023,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),2950.0
2024,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),4032.0
2015,,інші заклади 2,
2016,,інші заклади 2,
2017,,інші заклади 2,
2018,,інші заклади 2,
2019,,інші заклади 2,
2020,,інші заклади 2,
2021,,інші заклади 2,
2022,,інші заклади 2,
2023,,інші заклади 2,237.0
2024,,інші заклади 2,1038.0
2015,,other,
2016,,other,
2017,,other,
2018,,other,
2019,,other,
2020,,other,
2021,,other,
2022,,other,295.0
2023,,other,326.0
2024,,other,1036.0
