Year,Age,Sex,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,36-60 years,men,64.0
2020,36-60 years,women,36.0
2021,36-60 years,men,72.0
2021,36-60 years,women,28.0
2023,36-60 years,men,68.0
2023,36-60 years,women,32.0
2024,36-60 years,men,71.0
2024,36-60 years,women,29.0
2021,61-64 years,men,75.0
2021,61-64 years,women,25.0
2023,61-64 years,men,71.0
2023,61-64 years,women,29.0
2024,61-64 years,men,75.0
2024,61-64 years,women,25.0
2020,65-70 years,men,100.0
2020,65-70 years,women,0.0
2021,65-70 years,men,100.0
2021,65-70 years,women,0.0
2023,65-70 years,men,100.0
2023,65-70 years,women,0.0
2024,65-70 years,men,100.0
2024,65-70 years,women,0.0
2020,,men,67.0
2020,,women,33.0
2021,,men,72.0
2021,,women,28.0
2022,,men,69.0
2022,,women,31.0
2023,,men,69.0
2023,,women,31.0
2024,,men,73.0
2024,,women,27.0
2020,under 35 years,men,75.0
2020,under 35 years,women,25.0
2021,under 35 years,men,68.0
2021,under 35 years,women,32.0
2023,under 35 years,men,64.0
2023,under 35 years,women,36.0
2024,under 35 years,men,76.0
2024,under 35 years,women,24.0
