Year,By type of indicators,Type of water supply,Region,Value
2015,microbiological indicators,urban water pipelines,Ukraine,3.1
2016,microbiological indicators,urban water pipelines,Ukraine,4.3
2017,microbiological indicators,urban water pipelines,Ukraine,4.6
2018,microbiological indicators,urban water pipelines,Ukraine,5.1
2019,microbiological indicators,urban water pipelines,Ukraine,5.7
2020,microbiological indicators,urban water pipelines,Ukraine,4.7
2021,microbiological indicators,urban water pipelines,Ukraine,5.1
2022,microbiological indicators,urban water pipelines,Ukraine,2.1
2023,microbiological indicators,urban water pipelines,Ukraine,2.7
2024,microbiological indicators,urban water pipelines,Ukraine,2.3
2015,microbiological indicators,rural water pipelines,Ukraine,7.6
2016,microbiological indicators,rural water pipelines,Ukraine,10.4
2017,microbiological indicators,rural water pipelines,Ukraine,11.2
2018,microbiological indicators,rural water pipelines,Ukraine,11.8
2019,microbiological indicators,rural water pipelines,Ukraine,11.4
2020,microbiological indicators,rural water pipelines,Ukraine,13.8
2021,microbiological indicators,rural water pipelines,Ukraine,11.9
2022,microbiological indicators,rural water pipelines,Ukraine,11.4
2023,microbiological indicators,rural water pipelines,Ukraine,11.0
2024,microbiological indicators,rural water pipelines,Ukraine,10.2
2015,microbiological indicators,non-centralized water supply,Ukraine,18.0
2016,microbiological indicators,non-centralized water supply,Ukraine,23.1
2017,microbiological indicators,non-centralized water supply,Ukraine,20.4
2018,microbiological indicators,non-centralized water supply,Ukraine,23.4
2019,microbiological indicators,non-centralized water supply,Ukraine,24.6
2020,microbiological indicators,non-centralized water supply,Ukraine,22.6
2021,microbiological indicators,non-centralized water supply,Ukraine,22.9
2022,microbiological indicators,non-centralized water supply,Ukraine,28.3
2023,microbiological indicators,non-centralized water supply,Ukraine,25.1
2024,microbiological indicators,non-centralized water supply,Ukraine,25.4
2015,microbiological indicators,centralized,Ukraine,4.6
2016,microbiological indicators,centralized,Ukraine,6.4
2017,microbiological indicators,centralized,Ukraine,6.7
2018,microbiological indicators,centralized,Ukraine,7.7
2019,microbiological indicators,centralized,Ukraine,8.2
2020,microbiological indicators,centralized,Ukraine,7.6
2021,microbiological indicators,centralized,Ukraine,7.5
2022,microbiological indicators,centralized,Ukraine,3.5
2023,microbiological indicators,centralized,Ukraine,4.3
2024,microbiological indicators,centralized,Ukraine,3.8
2015,microbiological indicators,urban water pipelines,Ukraine,3.1
2016,microbiological indicators,urban water pipelines,Ukraine,4.3
2017,microbiological indicators,urban water pipelines,Ukraine,4.6
