Year,Type of residence,Age,Sex,Region,Value
2015,,,,,24.2
2015,,,,,24.2
2015,,,women,,25.6
2015,,,men,,23.0
2015,,under 18 years old,,,23.3
2015,,18-29 years,,,21.5
2015,,30-59 years,,,23.8
2015,,60 years and older,,,27.6
2015,rural,,,,32.3
2015,urban,,,,20.1
2015,,,,Vinnytsya,18.9
2015,,,,Volyn,19.9
2015,,,,Dnipropetrovsk,30.1
2015,,,,Donetsk,33.4
2015,,,,Zhytomyr,6.3
2015,,,,Zakarpattya,88.2
2015,,,,Zaporizhzhya,13.4
2015,,,,18_reg_Ivano_Frankivsk,49.1
2015,,,,Kyiv,8.9
2015,,,,Kirovohrad,29.0
2015,,,,Luhansk,44.2
2015,,,,Lviv,11.6
2015,,,,23_reg_Mykolaiv,28.9
2015,,,,Odesa,17.7
2015,,,,Poltava,14.2
2015,,,,Rivne,10.8
2015,,,,Sumy,13.5
2015,,,,Ternopil,30.4
2015,,,,Kharkiv,22.1
2015,,,,Kherson,66.5
2015,,,,31_reg_Khmelnytskyi,25.8
2015,,,,Cherkasy,34.2
2015,,,,Chernivtsi,7.3
2015,,,,Chernihiv,21.8
2015,,,,the city of Kyiv,5.9
2017,,,,,25.6
2017,,,,,25.6
2017,,,women,,26.3
2017,,,men,,24.8
2017,,under 18 years old,,,23.9
2017,,18-29 years,,,24.6
2017,,30-59 years,,,23.9
2017,,60 years and older,,,30.9
2017,rural,,,,33.3
2017,urban,,,,21.7
2017,,,,Vinnytsya,32.0
2017,,,,Volyn,8.5
2017,,,,Dnipropetrovsk,26.6
2017,,,,Donetsk,19.0
2017,,,,Zhytomyr,9.7
2017,,,,Zakarpattya,93.0
2017,,,,Zaporizhzhya,15.3
2017,,,,18_reg_Ivano_Frankivsk,68.3
2017,,,,Kyiv,7.9
2017,,,,Kirovohrad,9.6
2017,,,,Luhansk,32.5
2017,,,,Lviv,14.3
2017,,,,23_reg_Mykolaiv,37.7
2017,,,,Odesa,14.5
2017,,,,Poltava,12.8
2017,,,,Rivne,13.1
2017,,,,Sumy,64.7
2017,,,,Ternopil,27.6
2017,,,,Kharkiv,32.5
2017,,,,Kherson,70.6
2017,,,,31_reg_Khmelnytskyi,7.0
2017,,,,Cherkasy,31.5
2017,,,,Chernivtsi,10.2
2017,,,,Chernihiv,34.0
2017,,,,the city of Kyiv,4.8
2019,,,,,21.8
2019,,,,,21.8
2019,,,women,,22.1
2019,,,men,,21.3
2019,,under 18 years old,,,20.3
2019,,18-29 years,,,17.8
2019,,30-59 years,,,20.5
2019,,60 years and older,,,27.3
2019,rural,,,,30.5
2019,urban,,,,17.3
2019,,,,Vinnytsya,29.3
2019,,,,Volyn,4.0
2019,,,,Dnipropetrovsk,29.1
2019,,,,Donetsk,21.1
2019,,,,Zhytomyr,13.4
2019,,,,Zakarpattya,69.4
2019,,,,Zaporizhzhya,20.9
2019,,,,18_reg_Ivano_Frankivsk,59.6
2019,,,,Kyiv,14.4
2019,,,,Kirovohrad,15.2
2019,,,,Luhansk,21.8
2019,,,,Lviv,13.6
2019,,,,23_reg_Mykolaiv,19.2
2019,,,,Odesa,14.2
2019,,,,Poltava,12.0
2019,,,,Rivne,16.3
2019,,,,Sumy,14.4
2019,,,,Ternopil,15.1
2019,,,,Kharkiv,26.7
2019,,,,Kherson,70.6
2019,,,,31_reg_Khmelnytskyi,12.2
2019,,,,Cherkasy,20.5
2019,,,,Chernivtsi,4.4
2019,,,,Chernihiv,16.0
2019,,,,the city of Kyiv,5.0
2021,,,,,17.2
2021,,,,,17.2
2021,,,women,,17.9
2021,,,men,,16.3
2021,,under 18 years old,,,14.0
2021,,18-29 years,,,16.5
2021,,30-59 years,,,15.8
2021,,60 years and older,,,22.5
2021,rural,,,,26.4
2021,urban,,,,12.6
2021,,,,Vinnytsya,27.5
2021,,,,Volyn,1.9
2021,,,,Dnipropetrovsk,17.0
2021,,,,Donetsk,8.9
2021,,,,Zhytomyr,3.2
2021,,,,Zakarpattya,89.0
2021,,,,Zaporizhzhya,24.0
2021,,,,18_reg_Ivano_Frankivsk,66.1
2021,,,,Kyiv,6.7
2021,,,,Kirovohrad,8.5
2021,,,,Luhansk,21.4
2021,,,,Lviv,6.9
2021,,,,23_reg_Mykolaiv,21.5
2021,,,,Odesa,11.0
2021,,,,Poltava,8.2
2021,,,,Rivne,7.5
2021,,,,Sumy,8.2
2021,,,,Ternopil,12.5
2021,,,,Kharkiv,16.6
2021,,,,Kherson,41.7
2021,,,,31_reg_Khmelnytskyi,11.9
2021,,,,Cherkasy,20.9
2021,,,,Chernivtsi,5.3
2021,,,,Chernihiv,10.9
2021,,,,the city of Kyiv,3.1
