Year,Type of residence,Household type,Region,Value
2015,,,,10.2
2015,,households with children,,9.5
2015,,households without children,,10.8
2015,urban,,,11.4
2015,rural,,,7.4
2015,,,Autonomous Republic of Crimea,
2015,,,Vinnytsya,8.5
2015,,,Volyn,8.7
2015,,,Dnipropetrovsk,11.2
2015,,,Donetsk,10.5
2015,,,Zhytomyr,9.1
2015,,,Zakarpattya,7.0
2015,,,Zaporizhzhya,9.6
2015,,,Ivano-Frankivsk,7.9
2015,,,Kyiv,12.8
2015,,,Kirovohrad,7.4
2015,,,Luhansk,11.9
2015,,,Lviv,8.5
2015,,,Mykolayiv,9.9
2015,,,Odesa,11.4
2015,,,Poltava,11.0
2015,,,Rivne,8.6
2015,,,Sumy,9.4
2015,,,Ternopil,9.5
2015,,,Kharkiv,13.0
2015,,,Kherson,10.0
2015,,,Khmelnytskiy,10.4
2015,,,Cherkasy,9.2
2015,,,Chernivtsi,8.2
2015,,,Chernihiv,8.4
2015,,,city Kyiv,12.4
2015,,,city Sevastopol,
2016,,,,14.7
2016,,households with children,,13.8
2016,,households without children,,15.4
2016,urban,,,15.7
2016,rural,,,12.5
2016,,,Autonomous Republic of Crimea,
2016,,,Vinnytsya,13.9
2016,,,Volyn,14.6
2016,,,Dnipropetrovsk,14.2
2016,,,Donetsk,15.5
2016,,,Zhytomyr,13.8
2016,,,Zakarpattya,9.2
2016,,,Zaporizhzhya,14.5
2016,,,Ivano-Frankivsk,15.8
2016,,,Kyiv,17.8
2016,,,Kirovohrad,11.1
2016,,,Luhansk,17.2
2016,,,Lviv,10.8
2016,,,Mykolayiv,12.2
2016,,,Odesa,14.4
2016,,,Poltava,18.8
2016,,,Rivne,12.7
2016,,,Sumy,15.8
2016,,,Ternopil,15.3
2016,,,Kharkiv,17.7
2016,,,Kherson,12.6
2016,,,Khmelnytskiy,17.8
2016,,,Cherkasy,16.4
2016,,,Chernivtsi,11.7
2016,,,Chernihiv,13.0
2016,,,city Kyiv,16.2
2016,,,city Sevastopol,
2017,,,,15.4
2017,,households with children,,14.6
2017,,households without children,,16.2
2017,urban,,,16.6
2017,rural,,,12.8
