Year,Type of residence,Household type,Value
2015,,,1.4
2015,,hh_ch_v2,0.9
2015,,hh_ch_0_v2,1.8
2015,rural,,1.6
2015,urban,,1.3
2016,,,5.1
2016,,hh_ch_v2,4.4
2016,,hh_ch_0_v2,5.7
2016,rural,,6.9
2016,urban,,4.3
2017,,,5.3
2017,,hh_ch_v2,4.5
2017,,hh_ch_0_v2,6.1
2017,rural,,6.3
2017,urban,,4.9
2018,,,3.3
2018,,hh_ch_v2,2.5
2018,,hh_ch_0_v2,4.0
2018,rural,,4.0
2018,urban,,3.0
2019,,,0.9
2019,,hh_ch_v2,0.7
2019,,hh_ch_0_v2,1.1
2019,rural,,1.0
2019,urban,,0.9
2020,,,0.1
2020,,hh_ch_v2,0.1
2020,,hh_ch_0_v2,0.2
2020,rural,,0.1
2020,urban,,0.2
2021,,,0.1
2021,,hh_ch_v2,0.1
2021,,hh_ch_0_v2,0.2
2021,rural,,0.1
2021,urban,,0.1
