Year,Type of equipment,Building_type,Value
2018,heat energy,non_residential,77.7
2019,heat energy,non_residential,79.3
2020,heat energy,non_residential,81.7
2021,heat energy,non_residential,82.5
2022,heat energy,non_residential,83.0
2023,heat energy,non_residential,83.9
2024,heat energy,non_residential,84.6
2016,heat energy,residential,67.6
2017,heat energy,residential,80.0
2018,heat energy,residential,78.6
2019,heat energy,residential,80.8
2020,heat energy,residential,82.4
2021,heat energy,residential,83.5
2022,heat energy,residential,84.4
2023,heat energy,residential,84.9
2024,heat energy,residential,85.0
2018,hot water,non_residential,53.5
2019,hot water,non_residential,51.3
2020,hot water,non_residential,53.0
2021,hot water,non_residential,51.4
2022,hot water,non_residential,51.4
2023,hot water,non_residential,51.7
2024,hot water,non_residential,50.8
2018,hot water,residential,15.9
2019,hot water,residential,16.4
2020,hot water,residential,18.0
2021,hot water,residential,17.5
2022,hot water,residential,20.1
2023,hot water,residential,19.9
2024,hot water,residential,20.2
2018,drinking water,non_residential,93.6
2019,drinking water,non_residential,94.9
2020,drinking water,non_residential,95.5
2021,drinking water,non_residential,95.8
2022,drinking water,non_residential,95.7
2023,drinking water,non_residential,95.9
2024,drinking water,non_residential,95.4
2018,drinking water,residential,71.0
2019,drinking water,residential,73.1
2020,drinking water,residential,76.1
2021,drinking water,residential,79.1
2022,drinking water,residential,78.9
2023,drinking water,residential,79.3
2024,drinking water,residential,80.0
