Year,Sex,Type of residence,Region,Value
2015,,,,23.5
2016,,,,24.7
2017,,,,26.1
2018,,,,21.1
2019,,,,12.6
2020,,,,20.6
2021,,,,24.4
2022,,,,
2023,,,,
2024,,,,
2015,women,,,22.8
2016,women,,,28.1
2017,women,,,24.3
2018,women,,,19.8
2019,women,,,12.7
2020,women,,,21.0
2021,women,,,24.4
2022,women,,,
2023,women,,,
2024,women,,,
2015,men,,,23.9
2016,men,,,22.5
2017,men,,,27.3
2018,men,,,22.0
2019,men,,,12.6
2020,men,,,20.3
2021,men,,,24.5
2022,men,,,
2023,men,,,
2024,men,,,
2015,,urban,,27.0
2016,,urban,,28.7
2017,,urban,,30.2
2018,,urban,,24.7
2019,,urban,,14.6
2020,,urban,,23.5
2021,,urban,,29.0
2022,,urban,,
2023,,urban,,
2024,,urban,,
2015,,rural,,16.1
2016,,rural,,16.5
2017,,rural,,17.7
2018,,rural,,13.6
2019,,rural,,8.7
2020,,rural,,15.0
2021,,rural,,15.5
2022,,rural,,
2023,,rural,,
2024,,rural,,
2015,,,Vinnytsya,35.0
2016,,,Vinnytsya,28.6
2017,,,Vinnytsya,24.3
2018,,,Vinnytsya,35.5
2019,,,Vinnytsya,15.4
2020,,,Vinnytsya,27.7
2021,,,Vinnytsya,26.6
2022,,,Vinnytsya,
2023,,,Vinnytsya,
2024,,,Vinnytsya,
2015,,,Volyn,18.3
2016,,,Volyn,19.1
2017,,,Volyn,46.3
2018,,,Volyn,18.6
2019,,,Volyn,12.4
2020,,,Volyn,15.8
2021,,,Volyn,6.1
2022,,,Volyn,
2023,,,Volyn,
2024,,,Volyn,
2015,,,Dnipropetrovsk,43.3
2016,,,Dnipropetrovsk,27.9
2017,,,Dnipropetrovsk,35.1
2018,,,Dnipropetrovsk,34.8
2019,,,Dnipropetrovsk,15.0
2020,,,Dnipropetrovsk,20.4
2021,,,Dnipropetrovsk,22.7
2022,,,Dnipropetrovsk,
2023,,,Dnipropetrovsk,
2024,,,Dnipropetrovsk,
2015,,,Donetsk,20.3
2016,,,Donetsk,34.0
2017,,,Donetsk,36.5
2018,,,Donetsk,26.1
2019,,,Donetsk,16.9
2020,,,Donetsk,20.9
2021,,,Donetsk,27.4
2022,,,Donetsk,
2023,,,Donetsk,
2024,,,Donetsk,
2015,,,Kyiv,30.6
2016,,,Kyiv,40.6
2017,,,Kyiv,40.1
2018,,,Kyiv,26.2
2019,,,Kyiv,16.5
2020,,,Kyiv,18.2
2021,,,Kyiv,44.0
2022,,,Kyiv,
2023,,,Kyiv,
2024,,,Kyiv,
2015,,,the city of Kyiv,62.6
2016,,,the city of Kyiv,56.8
2017,,,the city of Kyiv,61.6
2018,,,the city of Kyiv,48.7
2019,,,the city of Kyiv,24.6
2020,,,the city of Kyiv,41.0
2021,,,the city of Kyiv,52.2
2022,,,the city of Kyiv,
2023,,,the city of Kyiv,
2024,,,the city of Kyiv,
