Year,Gender,Type of place of residence,Value
2015,,,17.2
2016,,,17.8
2017,,,15.9
2018,,,14.5
2019,,,15.6
2020,,,15.5
2021,,,14.3
2022,,,
2023,,,
2024,,,
2015,females,,28.1
2016,females,,29.3
2017,females,,29.0
2018,females,,26.8
2019,females,,28.8
2020,females,,29.1
2021,females,,29.6
2022,females,,
2023,females,,
2024,females,,
2015,men,,16.9
2016,men,,17.4
2017,men,,16.3
2018,men,,15.2
2019,men,,13.7
2020,men,,14.8
2021,men,,14.4
2022,men,,
2023,men,,
2024,men,,
2015,,urban,20.1
2016,,urban,20.9
2017,,urban,20.0
2018,,urban,18.7
2019,,urban,18.7
2020,,urban,18.9
2021,,urban,19.3
2022,,urban,
2023,,urban,
2024,,urban,
2015,,rural,27.3
2016,,rural,28.0
2017,,rural,27.5
2018,,rural,25.2
2019,,rural,25.6
2020,,rural,27.2
2021,,rural,26.6
2022,,rural,
2023,,rural,
2024,,rural,
2015,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",22.4
2016,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",23.2
2017,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",22.5
2018,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",20.9
2019,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",21.0
2020,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",21.8
2021,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",21.8
2022,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",
2023,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",
2024,,"Share of youth aged 15–34 who are not in employment, education or training, in the total population of the corresponding age, percent",
