Year,Level of education,Value
2015,,
2016,,
2017,,
2018,,4.0
2019,,4.0
2020,,6.0
2021,,6.0
2022,,6.0
2023,,6.0
2023,,6.0
2015,primary,
2016,primary,
2017,primary,
2018,primary,2.0
2019,primary,2.0
2020,primary,4.0
2021,primary,4.0
2022,primary,4.0
2023,primary,4.0
2023,primary,4.0
2015,basic secondary,
2016,basic secondary,
2017,basic secondary,
2018,basic secondary,1.0
2019,basic secondary,1.0
2020,basic secondary,1.0
2021,basic secondary,1.0
2022,basic secondary,1.0
2023,basic secondary,1.0
2023,basic secondary,1.0
2015,profile secondary,
2016,profile secondary,
2017,profile secondary,
2018,profile secondary,1.0
2019,profile secondary,1.0
2020,profile secondary,1.0
2021,profile secondary,1.0
2022,profile secondary,1.0
2023,profile secondary,1.0
2023,profile secondary,1.0
