Year,Mountainous region,Value
2015,,1.09
2016,,1.09
2017,,1.09
2018,,1.09
2019,,1.13
2020,,1.16
2021,,1.17
2022,,1.18
2023,,1.19
2024,,1.14
2015,Zakarpattya region,0.3
2016,Zakarpattya region,0.3
2017,Zakarpattya region,0.3
2018,Zakarpattya region,0.3
2019,Zakarpattya region,0.32
2020,Zakarpattya region,0.32
2021,Zakarpattya region,0.33
2022,Zakarpattya region,0.34
2023,Zakarpattya region,0.34
2024,Zakarpattya region,0.34
2015,Ivano-Frankivsk region,0.36
2016,Ivano-Frankivsk region,0.36
2017,Ivano-Frankivsk region,0.36
2018,Ivano-Frankivsk region,0.36
2019,Ivano-Frankivsk region,0.36
2020,Ivano-Frankivsk region,0.37
2021,Ivano-Frankivsk region,0.37
2022,Ivano-Frankivsk region,0.37
2023,Ivano-Frankivsk region,0.38
2024,Ivano-Frankivsk region,0.34
2015,Lviv region,0.26
2016,Lviv region,0.26
2017,Lviv region,0.26
2018,Lviv region,0.26
2019,Lviv region,0.28
2020,Lviv region,0.29
2021,Lviv region,0.29
2022,Lviv region,0.29
2023,Lviv region,0.29
2024,Lviv region,0.29
2015,Chernivtsi region,0.17
2016,Chernivtsi region,0.17
2017,Chernivtsi region,0.17
2018,Chernivtsi region,0.17
2019,Chernivtsi region,0.17
2020,Chernivtsi region,0.17
2021,Chernivtsi region,0.17
2022,Chernivtsi region,0.17
2023,Chernivtsi region,0.17
2024,Chernivtsi region,0.17
