Year,Risk level,Value
2015,,
2016,,37.0
2017,,
2018,,
2019,,24.0
2020,,
2021,,
2022,,26.0
2023,,
2024,,
2015,Low,
2016,Low,
2017,Low,
2018,Low,
2019,Low,2.0
2020,Low,
2021,Low,
2022,Low,2.0
2023,Low,
2024,Low,
2015,group_label_263,
2016,group_label_263,
2017,group_label_263,
2018,group_label_263,
2019,group_label_263,16.0
2020,group_label_263,
2021,group_label_263,
2022,group_label_263,16.0
2023,group_label_263,
2024,group_label_263,
2015,High,
2016,High,9.0
2017,High,
2018,High,
2019,High,6.0
2020,High,
2021,High,
2022,High,8.0
2023,High,
2024,High,
