Year,Sphere,Status,Region,Value
2015,,,Ukraine,177.0
2016,,,Ukraine,186.0
2017,,,Ukraine,191.0
2018,,,Ukraine,189.0
2019,,,Ukraine,187.0
2020,,,Ukraine,192.0
2021,,,Ukraine,193.0
2022,,,Ukraine,193.0
2023,,,Ukraine,198.0
2024,,,Ukraine,200.0
2015,,,Autonomous Republic of Crimea,
2016,,,Autonomous Republic of Crimea,
2017,,,Autonomous Republic of Crimea,
2018,,,Autonomous Republic of Crimea,
2019,,,Autonomous Republic of Crimea,
2020,,,Autonomous Republic of Crimea,
2021,,,Autonomous Republic of Crimea,
2022,,,Autonomous Republic of Crimea,
2023,,,Autonomous Republic of Crimea,
2024,,,Autonomous Republic of Crimea,
2015,,,Vinnytsya,
2016,,,Vinnytsya,
2017,,,Vinnytsya,
2018,,,Vinnytsya,
2019,,,Vinnytsya,
2020,,,Vinnytsya,
2021,,,Vinnytsya,
2022,,,Vinnytsya,
2023,,,Vinnytsya,
2024,,,Vinnytsya,
2015,,,Volyn,
2016,,,Volyn,
2017,,,Volyn,
2018,,,Volyn,
2019,,,Volyn,
2020,,,Volyn,
2021,,,Volyn,
2022,,,Volyn,
2023,,,Volyn,1.0
2024,,,Volyn,1.0
2015,,,Dnipropetrovsk,
2016,,,Dnipropetrovsk,
2017,,,Dnipropetrovsk,1.0
2018,,,Dnipropetrovsk,1.0
2019,,,Dnipropetrovsk,1.0
2020,,,Dnipropetrovsk,1.0
2021,,,Dnipropetrovsk,2.0
2022,,,Dnipropetrovsk,2.0
2023,,,Dnipropetrovsk,3.0
2024,,,Dnipropetrovsk,4.0
2015,,,Donetsk,7.0
2016,,,Donetsk,7.0
2017,,,Donetsk,5.0
2018,,,Donetsk,6.0
2019,,,Donetsk,6.0
2020,,,Donetsk,8.0
2021,,,Donetsk,8.0
2022,,,Donetsk,8.0
2023,,,Donetsk,8.0
2024,,,Donetsk,8.0
2015,,,Zhytomyr,1.0
2016,,,Zhytomyr,1.0
2017,,,Zhytomyr,1.0
2018,,,Zhytomyr,1.0
2019,,,Zhytomyr,1.0
2020,,,Zhytomyr,1.0
2021,,,Zhytomyr,1.0
2022,,,Zhytomyr,1.0
2023,,,Zhytomyr,1.0
2024,,,Zhytomyr,1.0
2015,,,Zakarpattya,4.0
2016,,,Zakarpattya,4.0
2017,,,Zakarpattya,9.0
2018,,,Zakarpattya,4.0
2019,,,Zakarpattya,4.0
2020,,,Zakarpattya,4.0
2021,,,Zakarpattya,4.0
2022,,,Zakarpattya,4.0
2023,,,Zakarpattya,4.0
2024,,,Zakarpattya,4.0
2015,,,Zaporizhzhya,7.0
2016,,,Zaporizhzhya,7.0
2017,,,Zaporizhzhya,7.0
2018,,,Zaporizhzhya,7.0
2019,,,Zaporizhzhya,7.0
2020,,,Zaporizhzhya,11.0
2021,,,Zaporizhzhya,11.0
2022,,,Zaporizhzhya,11.0
2023,,,Zaporizhzhya,11.0
2024,,,Zaporizhzhya,11.0
2015,,,Ivano-Frankivsk,1.0
2016,,,Ivano-Frankivsk,2.0
2017,,,Ivano-Frankivsk,2.0
2018,,,Ivano-Frankivsk,2.0
2019,,,Ivano-Frankivsk,2.0
2020,,,Ivano-Frankivsk,1.0
2021,,,Ivano-Frankivsk,1.0
2022,,,Ivano-Frankivsk,1.0
2023,,,Ivano-Frankivsk,1.0
2024,,,Ivano-Frankivsk,1.0
2015,,,Kyiv,1.0
2016,,,Kyiv,11.0
2017,,,Kyiv,13.0
2018,,,Kyiv,19.0
2019,,,Kyiv,15.0
2020,,,Kyiv,13.0
2021,,,Kyiv,13.0
2022,,,Kyiv,13.0
2023,,,Kyiv,14.0
2024,,,Kyiv,15.0
2015,,,Kirovohrad,1.0
2016,,,Kirovohrad,
2017,,,Kirovohrad,1.0
2018,,,Kirovohrad,2.0
2019,,,Kirovohrad,2.0
2020,,,Kirovohrad,2.0
2021,,,Kirovohrad,2.0
2022,,,Kirovohrad,2.0
2023,,,Kirovohrad,2.0
2024,,,Kirovohrad,2.0
2015,,,Luhansk,1.0
2016,,,Luhansk,1.0
2017,,,Luhansk,1.0
2018,,,Luhansk,1.0
2019,,,Luhansk,1.0
2020,,,Luhansk,5.0
2021,,,Luhansk,5.0
2022,,,Luhansk,5.0
2023,,,Luhansk,5.0
2024,,,Luhansk,5.0
2015,,,Lviv,4.0
2016,,,Lviv,4.0
2017,,,Lviv,4.0
2018,,,Lviv,4.0
2019,,,Lviv,5.0
2020,,,Lviv,8.0
2021,,,Lviv,8.0
2022,,,Lviv,8.0
2023,,,Lviv,8.0
2024,,,Lviv,8.0
2015,,,Mykolayiv,15.0
2016,,,Mykolayiv,15.0
2017,,,Mykolayiv,15.0
2018,,,Mykolayiv,15.0
2019,,,Mykolayiv,15.0
2020,,,Mykolayiv,18.0
2021,,,Mykolayiv,18.0
2022,,,Mykolayiv,18.0
2023,,,Mykolayiv,18.0
2024,,,Mykolayiv,18.0
2015,,,Odesa,14.0
2016,,,Odesa,14.0
2017,,,Odesa,9.0
2018,,,Odesa,8.0
2019,,,Odesa,9.0
2020,,,Odesa,1.0
2021,,,Odesa,1.0
2022,,,Odesa,1.0
2023,,,Odesa,2.0
2024,,,Odesa,2.0
2015,,,Poltava,113.0
2016,,,Poltava,113.0
2017,,,Poltava,114.0
2018,,,Poltava,110.0
2019,,,Poltava,110.0
2020,,,Poltava,110.0
2021,,,Poltava,110.0
2022,,,Poltava,110.0
2023,,,Poltava,110.0
2024,,,Poltava,110.0
2015,,,Rivne,
2016,,,Rivne,
2017,,,Rivne,
2018,,,Rivne,
2019,,,Rivne,
2020,,,Rivne,
2021,,,Rivne,
2022,,,Rivne,
2023,,,Rivne,
2024,,,Rivne,
2015,,,Sumy,
2016,,,Sumy,
2017,,,Sumy,
2018,,,Sumy,
2019,,,Sumy,
2020,,,Sumy,
2021,,,Sumy,
2022,,,Sumy,
2023,,,Sumy,
2024,,,Sumy,
2015,,,Ternopil,2.0
2016,,,Ternopil,2.0
2017,,,Ternopil,2.0
2018,,,Ternopil,2.0
2019,,,Ternopil,2.0
2020,,,Ternopil,
2021,,,Ternopil,
2022,,,Ternopil,
2023,,,Ternopil,
2024,,,Ternopil,
2015,,,Kharkiv,1.0
2016,,,Kharkiv,1.0
2017,,,Kharkiv,1.0
2018,,,Kharkiv,1.0
2019,,,Kharkiv,1.0
2020,,,Kharkiv,1.0
2021,,,Kharkiv,1.0
2022,,,Kharkiv,1.0
2023,,,Kharkiv,1.0
2024,,,Kharkiv,1.0
2015,,,Kherson,2.0
2016,,,Kherson,2.0
2017,,,Kherson,2.0
