Year,by main product groups,Value
2015,sugar,0.2
2016,sugar,0.8
2017,sugar,0.7
2018,sugar,2.2
2019,sugar,1.0
2020,sugar,0.5
2021,sugar,0.2
2022,sugar,0.5
2023,sugar,1.7
2024,sugar,1.1
2015,sunflower oil,41.1
2016,sunflower oil,45.4
2017,sunflower oil,45.5
2018,sunflower oil,45.8
2019,sunflower oil,44.5
2020,sunflower oil,45.9
2021,sunflower oil,42.9
2022,sunflower oil,40.0
2023,sunflower oil,44.4
2024,sunflower oil,58.9
2015,corn,12.9
2016,corn,11.5
2017,corn,15.5
2018,corn,12.9
2019,corn,17.8
2020,corn,15.1
2021,corn,13.2
2022,corn,12.7
2023,corn,14.0
2024,corn,14.9
2015,barley,12.1
2016,barley,13.9
2017,barley,12.5
2018,barley,9.8
2019,barley,13.4
2020,barley,14.4
2021,barley,12.8
2022,barley,7.2
2023,barley,6.5
2024,barley,9.3
2015,wheat,7.9
2016,wheat,9.6
2017,wheat,9.0
2018,wheat,8.6
2019,wheat,11.1
2020,wheat,9.3
2021,wheat,9.9
2022,wheat,6.8
2023,wheat,10.0
2024,wheat,11.1
