Year,Age,Sex,Type of residence,Value
2016,,,,
2017,,,,
2018,,,,0.0
2019,,,,57.4
2020,,,,69.8
2021,,,,74.8
2022,,,,79.6
2023,,,,79.1
2024,,,,78.4
2025,,,,76.5
2016,,women,,
2017,,women,,
2018,,women,,0.0
2019,,women,,60.3
2020,,women,,72.6
2021,,women,,77.2
2022,,women,,81.2
2023,,women,,80.5
2024,,women,,79.7
2025,,women,,77.8
2016,,men,,
2017,,men,,
2018,,men,,0.0
2019,,men,,54.1
2020,,men,,66.6
2021,,men,,72.1
2022,,men,,77.7
2023,,men,,77.6
2024,,men,,76.9
2025,,men,,75.0
2019,,,,77.7
2020,,,,88.7
2021,,,,92.3
2022,,,,93.0
2023,,,,84.1
2024,,,,76.0
2025,,,,68.1
2019,,,,70.6
2020,,,,83.8
2021,,,,89.5
2022,,,,91.5
2023,,,,91.2
2024,,,,90.1
2025,,,,87.1
2019,,,,46.5
2020,,,,59.7
2021,,,,65.9
2022,,,,74.5
2023,,,,73.3
2024,,,,71.2
2016,40-64 years,,,
2017,40-64 years,,,
2018,40-64 years,,,0.0
2019,40-64 years,,,55.7
2020,40-64 years,,,68.3
2021,40-64 years,,,72.7
2022,40-64 years,,,78.2
2023,40-64 years,,,78.3
2024,40-64 years,,,78.4
2025,40-64 years,,,77.3
2016,65 years,,,
2017,65 years,,,
2018,65 years,,,0.1
2019,65 years,,,64.2
2020,65 years,,,74.2
2021,65 years,,,78.2
2022,65 years,,,78.3
2023,65 years,,,79.8
2024,65 years,,,82.2
2025,65 years,,,83.2
2016,,,urban,
2017,,,urban,
2018,,,urban,0.1
2019,,,urban,64.9
2020,,,urban,79.5
2021,,,urban,85.7
2022,,,urban,92.5
2023,,,urban,91.9
2024,,,urban,91.1
2025,,,urban,89.0
2016,,,rural,
2017,,,rural,
2018,,,rural,0.0
2019,,,rural,40.6
2020,,,rural,48.1
2021,,,rural,50.2
2022,,,rural,50.4
2023,,,rural,50.2
2024,,,rural,49.6
2025,,,rural,48.2
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
