Year,Region,Sex,Type of residence,Value
2015,Ukraine,,,70.6
2016,Ukraine,,,69.8
2017,Ukraine,,,69.5
2018,Ukraine,,,69.1
2019,Ukraine,,,70.5
2020,Ukraine,,,74.8
2021,Ukraine,,,73.4
2022,Ukraine,,,65.6
2023,Ukraine,,,
2015,reg_Vinnytsya,,,81.3
2016,reg_Vinnytsya,,,81.3
2017,reg_Vinnytsya,,,81.7
2018,reg_Vinnytsya,,,81.5
2019,reg_Vinnytsya,,,80.0
2020,reg_Vinnytsya,,,78.6
2021,reg_Vinnytsya,,,81.6
2022,reg_Vinnytsya,,,80.3
2023,reg_Vinnytsya,,,
2015,reg_Volyn,,,70.8
2016,reg_Volyn,,,71.3
2017,reg_Volyn,,,70.5
2018,reg_Volyn,,,69.4
2019,reg_Volyn,,,68.1
2020,reg_Volyn,,,69.1
2021,reg_Volyn,,,68.9
2022,reg_Volyn,,,64.3
2023,reg_Volyn,,,
2015,reg_Dnipropetrovsk,,,75.8
2016,reg_Dnipropetrovsk,,,73.3
2017,reg_Dnipropetrovsk,,,73.6
2018,reg_Dnipropetrovsk,,,72.3
2019,reg_Dnipropetrovsk,,,73.2
2020,reg_Dnipropetrovsk,,,75.8
2021,reg_Dnipropetrovsk,,,75.1
2022,reg_Dnipropetrovsk,,,70.3
2023,reg_Dnipropetrovsk,,,
2015,reg_Zhytomyr,,,84.6
2016,reg_Zhytomyr,,,84.9
2017,reg_Zhytomyr,,,83.5
2018,reg_Zhytomyr,,,85.8
2019,reg_Zhytomyr,,,80.9
2020,reg_Zhytomyr,,,86.4
2021,reg_Zhytomyr,,,88.8
2022,reg_Zhytomyr,,,77.4
2023,reg_Zhytomyr,,,
2015,reg_Zakarpattya,,,86.6
2016,reg_Zakarpattya,,,84.1
2017,reg_Zakarpattya,,,83.8
2018,reg_Zakarpattya,,,80.5
2019,reg_Zakarpattya,,,78.4
2020,reg_Zakarpattya,,,73.9
2021,reg_Zakarpattya,,,67.6
2022,reg_Zakarpattya,,,60.3
2023,reg_Zakarpattya,,,
2015,reg_Zaporizhzhya,,,75.6
2016,reg_Zaporizhzhya,,,74.5
2017,reg_Zaporizhzhya,,,76.0
2018,reg_Zaporizhzhya,,,76.0
2019,reg_Zaporizhzhya,,,72.7
2020,reg_Zaporizhzhya,,,77.7
2021,reg_Zaporizhzhya,,,75.1
2022,reg_Zaporizhzhya,,,58.7
2023,reg_Zaporizhzhya,,,
2015,reg_Ivano-Frankivsk,,,55.3
2016,reg_Ivano-Frankivsk,,,55.3
2017,reg_Ivano-Frankivsk,,,56.6
2018,reg_Ivano-Frankivsk,,,56.9
2019,reg_Ivano-Frankivsk,,,58.1
2020,reg_Ivano-Frankivsk,,,59.1
2021,reg_Ivano-Frankivsk,,,59.9
2022,reg_Ivano-Frankivsk,,,58.2
2023,reg_Ivano-Frankivsk,,,
2015,reg_Kyiv,,,86.6
2016,reg_Kyiv,,,87.0
2017,reg_Kyiv,,,87.1
2018,reg_Kyiv,,,83.9
2019,reg_Kyiv,,,82.9
2020,reg_Kyiv,,,82.0
2021,reg_Kyiv,,,83.4
2022,reg_Kyiv,,,77.5
2023,reg_Kyiv,,,
2015,reg_Kirovohrad,,,74.6
2016,reg_Kirovohrad,,,74.3
2017,reg_Kirovohrad,,,73.9
2018,reg_Kirovohrad,,,75.9
2019,reg_Kirovohrad,,,73.1
2020,reg_Kirovohrad,,,73.1
2021,reg_Kirovohrad,,,71.8
2022,reg_Kirovohrad,,,67.5
2023,reg_Kirovohrad,,,
2015,reg_Lviv,,,67.7
2016,reg_Lviv,,,67.4
2017,reg_Lviv,,,64.9
2018,reg_Lviv,,,66.0
2019,reg_Lviv,,,65.0
2020,reg_Lviv,,,67.0
2021,reg_Lviv,,,66.3
2022,reg_Lviv,,,64.2
2023,reg_Lviv,,,
2015,reg_Mykolayiv,,,81.5
2016,reg_Mykolayiv,,,79.7
2017,reg_Mykolayiv,,,77.1
2018,reg_Mykolayiv,,,79.4
2019,reg_Mykolayiv,,,81.2
2020,reg_Mykolayiv,,,84.1
2021,reg_Mykolayiv,,,81.7
2022,reg_Mykolayiv,,,80.0
2023,reg_Mykolayiv,,,
2015,reg_Odesa,,,63.0
2016,reg_Odesa,,,62.5
2017,reg_Odesa,,,64.3
2018,reg_Odesa,,,63.9
2019,reg_Odesa,,,64.8
2020,reg_Odesa,,,65.6
2021,reg_Odesa,,,66.5
2022,reg_Odesa,,,62.4
2023,reg_Odesa,,,
2015,reg_Poltava,,,79.8
2016,reg_Poltava,,,78.8
2017,reg_Poltava,,,78.1
2018,reg_Poltava,,,78.3
2019,reg_Poltava,,,76.8
2020,reg_Poltava,,,79.4
2021,reg_Poltava,,,78.1
2022,reg_Poltava,,,73.8
2023,reg_Poltava,,,
2015,reg_Rivne,,,71.4
2016,reg_Rivne,,,70.9
2017,reg_Rivne,,,72.5
2018,reg_Rivne,,,70.4
2019,reg_Rivne,,,74.3
2020,reg_Rivne,,,73.2
2021,reg_Rivne,,,74.1
2022,reg_Rivne,,,68.0
2023,reg_Rivne,,,
2015,reg_Sumy,,,84.9
2016,reg_Sumy,,,83.3
2017,reg_Sumy,,,82.4
2018,reg_Sumy,,,81.9
2019,reg_Sumy,,,81.1
2020,reg_Sumy,,,83.3
2021,reg_Sumy,,,85.1
2022,reg_Sumy,,,78.8
2023,reg_Sumy,,,
2015,reg_Ternopil,,,74.2
2016,reg_Ternopil,,,71.7
2017,reg_Ternopil,,,72.0
2018,reg_Ternopil,,,69.9
2019,reg_Ternopil,,,71.8
2020,reg_Ternopil,,,70.9
2021,reg_Ternopil,,,73.3
2022,reg_Ternopil,,,69.1
2023,reg_Ternopil,,,
2015,reg_Kharkiv,,,81.1
2016,reg_Kharkiv,,,81.1
2017,reg_Kharkiv,,,79.0
2018,reg_Kharkiv,,,78.2
