Year,Subject,Sex,Type of residence,by type of educational institution,by socioeconomic status,Value
2018,reading,,,,,74.09
2018,mathematics,,,,,64.08
2018,natural sciences,,,,,73.57
2022,reading,,,,,59.05
2022,mathematics,,,,,57.59
2022,natural sciences,,,,,65.99
2018,reading,women,,,,81.14
2018,mathematics,women,,,,62.97
2018,natural sciences,women,,,,74.06
2022,reading,women,,,,64.56
2022,mathematics,women,,,,56.53
2022,natural sciences,women,,,,67.5
2018,reading,men,,,,67.75
2018,mathematics,men,,,,65.08
2018,natural sciences,men,,,,73.13
2022,reading,men,,,,53.53
2022,mathematics,men,,,,58.65
2022,natural sciences,men,,,,64.46
2018,reading,,urban,,,77.75
2018,mathematics,,urban,,,68.44
2018,natural sciences,,urban,,,77.01
2022,reading,,urban,,,62.94
2022,mathematics,,urban,,,60.76
2022,natural sciences,,urban,,,68.94
2018,reading,,rural,,,57.56
2018,mathematics,,rural,,,44.31
2018,natural sciences,,rural,,,57.92
2022,reading,,rural,,,43.83
2022,mathematics,,rural,,,44.98
2022,natural sciences,,rural,,,54.49
2018,reading,,,lyceum / gymnasium / specialized school,,87.29
2018,mathematics,,,lyceum / gymnasium / specialized school,,80.4
2018,natural sciences,,,lyceum / gymnasium / specialized school,,86.96
2022,reading,,,lyceum / gymnasium / specialized school,,67.03
2022,mathematics,,,lyceum / gymnasium / specialized school,,65.05
2022,natural sciences,,,lyceum / gymnasium / specialized school,,72.58
2018,reading,,,secondary school / educational complex,,74.59
2018,mathematics,,,secondary school / educational complex,,62.5
2018,natural sciences,,,secondary school / educational complex,,73.53
2022,reading,,,secondary school / educational complex,,53.51
2022,mathematics,,,secondary school / educational complex,,55.46
2022,natural sciences,,,secondary school / educational complex,,63.16
2018,reading,,,college / technical secondary school / vocational and technical educational institution,,64.9
2018,mathematics,,,college / technical secondary school / vocational and technical educational institution,,56.36
2018,natural sciences,,,college / technical secondary school / vocational and technical educational institution,,65.12
2022,reading,,,college / technical secondary school / vocational and technical educational institution,,40.97
2022,mathematics,,,college / technical secondary school / vocational and technical educational institution,,37.18
2022,natural sciences,,,college / technical secondary school / vocational and technical educational institution,,49.01
2018,reading,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),56.24
2018,mathematics,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),44.56
2018,natural sciences,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),57.61
2022,reading,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),38.74
2022,mathematics,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),37.28
2022,natural sciences,,,,pupils with low socioeconomic status (25% of pupils with the lowest scores on the PISA Economic Socioeconomic Status Index (ESCS)),47.96
2018,reading,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),89.08
2018,mathematics,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),82.78
2018,natural sciences,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),88.04
2022,reading,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),76.32
2022,mathematics,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),77.27
2022,natural sciences,,,,pupils with high socioeconomic status (25% of pupils with the highest scores on the PISA Economic Socioeconomic Status Index (ESCS)),82.26
