Year,by sources of funding,Value
2017,,0.878
2018,,0.841
2019,,1.015
2020,,0.924
2021,,0.847
2022,,0.837
2023,,0.671
2017,from the state budget,0.565
2018,from the state budget,0.507
2019,from the state budget,0.618
2020,from the state budget,0.558
2021,from the state budget,0.503
2022,from the state budget,0.539
2023,from the state budget,0.39
2017,funds of individuals and legal entities,0.313
2018,funds of individuals and legal entities,0.334
2019,funds of individuals and legal entities,0.397
2020,funds of individuals and legal entities,0.366
2021,funds of individuals and legal entities,0.344
2022,funds of individuals and legal entities,0.298
2023,funds of individuals and legal entities,0.281
