Year,Status of participants in the educational process,Sphere of participants in the educational process,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,63.0
2021,,,75.0
2022,,,76.0
2023,,,78.0
2024,,,80.0
2015,seeker for professional pre-tertiary education,,
2016,seeker for professional pre-tertiary education,,
2017,seeker for professional pre-tertiary education,,
2018,seeker for professional pre-tertiary education,,
2019,seeker for professional pre-tertiary education,,
2020,seeker for professional pre-tertiary education,,60.0
2021,seeker for professional pre-tertiary education,,73.0
2022,seeker for professional pre-tertiary education,,74.0
2023,seeker for professional pre-tertiary education,,77.0
2024,seeker for professional pre-tertiary education,,78.0
2015,seeker for tertiary education,,
2016,seeker for tertiary education,,
2017,seeker for tertiary education,,
2018,seeker for tertiary education,,
2019,seeker for tertiary education,,
2020,seeker for tertiary education,,64.0
2021,seeker for tertiary education,,74.0
2022,seeker for tertiary education,,68.0
2023,seeker for tertiary education,,76.0
2024,seeker for tertiary education,,78.0
2015,pedagogical workers of institution of professional pre-tertiary education,,
2016,pedagogical workers of institution of professional pre-tertiary education,,
2017,pedagogical workers of institution of professional pre-tertiary education,,
2018,pedagogical workers of institution of professional pre-tertiary education,,
2019,pedagogical workers of institution of professional pre-tertiary education,,
2020,pedagogical workers of institution of professional pre-tertiary education,,61.0
2021,pedagogical workers of institution of professional pre-tertiary education,,74.0
2022,pedagogical workers of institution of professional pre-tertiary education,,82.0
2023,pedagogical workers of institution of professional pre-tertiary education,,78.0
2024,pedagogical workers of institution of professional pre-tertiary education,,84.0
2015,scientific-pedagogical workers of tertiary educational institution,,
2016,scientific-pedagogical workers of tertiary educational institution,,
2017,scientific-pedagogical workers of tertiary educational institution,,
2018,scientific-pedagogical workers of tertiary educational institution,,
2019,scientific-pedagogical workers of tertiary educational institution,,
2020,scientific-pedagogical workers of tertiary educational institution,,67.0
2021,scientific-pedagogical workers of tertiary educational institution,,77.0
2022,scientific-pedagogical workers of tertiary educational institution,,81.0
2023,scientific-pedagogical workers of tertiary educational institution,,79.0
2024,scientific-pedagogical workers of tertiary educational institution,,80.0
2015,,professional pre-tertiary education,
2016,,professional pre-tertiary education,
2017,,professional pre-tertiary education,
2018,,professional pre-tertiary education,
2019,,professional pre-tertiary education,
2020,,professional pre-tertiary education,61.0
2021,,professional pre-tertiary education,74.0
2022,,professional pre-tertiary education,78.0
2023,,professional pre-tertiary education,78.0
2024,,professional pre-tertiary education,81.0
2015,,tertiary education,
2016,,tertiary education,
2017,,tertiary education,
2018,,tertiary education,
2019,,tertiary education,
2020,,tertiary education,66.0
2021,,tertiary education,76.0
2022,,tertiary education,75.0
2023,,tertiary education,78.0
2024,,tertiary education,79.0
