Year,Age,Region,Value
2015,15-17 years,Ukraine,11.5
2015,under 15 years,Ukraine,0.3
2015,under 20 years,Vinnytsya,29.7
2015,under 20 years,Volyn,27.1
2015,under 20 years,Dnipropetrovsk,27.3
2015,under 20 years,Zhytomyr,33.6
2015,under 20 years,Zakarpattya,52.8
2015,under 20 years,Zaporizhzhya,26.4
2015,under 20 years,Ivano-Frankivsk,30.1
2015,under 20 years,Kyiv,28.5
2015,under 20 years,Kirovohrad,41.5
2015,under 20 years,Lviv,18.7
2015,under 20 years,Mykolayiv,35.8
2015,under 20 years,Odesa,30.0
2015,under 20 years,Poltava,26.0
2015,under 20 years,Rivne,26.2
2015,under 20 years,Sumy,25.0
2015,under 20 years,Ternopil,25.1
2015,under 20 years,Kharkiv,20.8
2015,under 20 years,Kherson,34.4
2015,under 20 years,Khmelnytskiy,34.1
2015,under 20 years,Cherkasy,29.9
2015,under 20 years,Chernivtsi,27.3
2015,under 20 years,Chernihiv,25.6
2015,under 20 years,the city of Kyiv,8.2
2015,under 20 years,Ukraine,27.3
2016,15-17 years,Ukraine,10.6
2016,under 15 years,Ukraine,0.4
2016,under 20 years,Vinnytsya,27.0
2016,under 20 years,Volyn,25.1
2016,under 20 years,Dnipropetrovsk,24.6
2016,under 20 years,Zhytomyr,31.1
2016,under 20 years,Zakarpattya,49.4
2016,under 20 years,Zaporizhzhya,23.9
2016,under 20 years,Ivano-Frankivsk,26.8
2016,under 20 years,Kyiv,27.7
2016,under 20 years,Kirovohrad,34.1
2016,under 20 years,Lviv,17.5
2016,under 20 years,Mykolayiv,32.8
2016,under 20 years,Odesa,30.2
2016,under 20 years,Poltava,26.5
2016,under 20 years,Rivne,25.9
2016,under 20 years,Sumy,22.0
2016,under 20 years,Ternopil,23.7
2016,under 20 years,Kharkiv,19.6
2016,under 20 years,Kherson,32.0
2016,under 20 years,Khmelnytskiy,28.9
2016,under 20 years,Cherkasy,27.9
2016,under 20 years,Chernivtsi,23.8
2016,under 20 years,Chernihiv,22.5
2016,under 20 years,the city of Kyiv,7.6
2016,under 20 years,Ukraine,25.3
2017,15-17 years,Ukraine,8.9
2017,under 15 years,Ukraine,0.3
2017,under 20 years,Vinnytsya,23.8
2017,under 20 years,Volyn,21.0
2017,under 20 years,Dnipropetrovsk,21.4
2017,under 20 years,Zhytomyr,27.7
2017,under 20 years,Zakarpattya,46.0
2017,under 20 years,Zaporizhzhya,20.1
2017,under 20 years,Ivano-Frankivsk,20.9
2017,under 20 years,Kyiv,23.2
2017,under 20 years,Kirovohrad,29.5
2017,under 20 years,Lviv,15.2
2017,under 20 years,Mykolayiv,30.7
2017,under 20 years,Odesa,28.1
2017,under 20 years,Poltava,21.6
2017,under 20 years,Rivne,24.2
2017,under 20 years,Sumy,19.5
2017,under 20 years,Ternopil,19.1
2017,under 20 years,Kharkiv,17.4
2017,under 20 years,Kherson,29.6
2017,under 20 years,Khmelnytskiy,24.8
2017,under 20 years,Cherkasy,25.8
2017,under 20 years,Chernivtsi,24.0
2017,under 20 years,Chernihiv,19.1
2017,under 20 years,the city of Kyiv,7.5
2017,under 20 years,Ukraine,22.4
2018,15-17 years,Ukraine,8.2
2018,under 15 years,Ukraine,0.4
2018,under 20 years,Vinnytsya,22.6
2018,under 20 years,Volyn,18.3
2018,under 20 years,Dnipropetrovsk,18.7
2018,under 20 years,Zhytomyr,25.3
2018,under 20 years,Zakarpattya,45.3
2018,under 20 years,Zaporizhzhya,18.6
2018,under 20 years,Ivano-Frankivsk,19.4
2018,under 20 years,Kyiv,20.4
2018,under 20 years,Kirovohrad,26.7
2018,under 20 years,Lviv,12.0
2018,under 20 years,Mykolayiv,26.7
2018,under 20 years,Odesa,24.7
2018,under 20 years,Poltava,18.9
2018,under 20 years,Rivne,19.4
2018,under 20 years,Sumy,16.9
2018,under 20 years,Ternopil,16.8
