Year,by types of economic activity,by the organisational and legal forms,Region,Value
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,28.93
2021,,,,29.15
2022,,,,29.3
2023,,,,29.2
2024,,,,29.2
2025,,,,29.6
2016,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2017,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2018,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2019,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2020,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2021,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2022,"growing of cereals (except rice), leguminous crops and oil seeds",,,20.1
2023,"growing of cereals (except rice), leguminous crops and oil seeds",,,20.0
2024,"growing of cereals (except rice), leguminous crops and oil seeds",,,20.0
2025,"growing of cereals (except rice), leguminous crops and oil seeds",,,20.4
2016,growing of rice,,,
2017,growing of rice,,,
2018,growing of rice,,,
2019,growing of rice,,,
2020,growing of rice,,,
2021,growing of rice,,,
2022,growing of rice,,,11.4
2023,growing of rice,,,11.4
2024,growing of rice,,,10.0
2025,growing of rice,,,9.5
2016,"growing of vegetables and melons, roots and tubers",,,
2017,"growing of vegetables and melons, roots and tubers",,,
2018,"growing of vegetables and melons, roots and tubers",,,
2019,"growing of vegetables and melons, roots and tubers",,,
2020,"growing of vegetables and melons, roots and tubers",,,
2021,"growing of vegetables and melons, roots and tubers",,,
2022,"growing of vegetables and melons, roots and tubers",,,21.5
2023,"growing of vegetables and melons, roots and tubers",,,21.6
2024,"growing of vegetables and melons, roots and tubers",,,21.7
2025,"growing of vegetables and melons, roots and tubers",,,21.6
2016,growing of sugar cane,,,
2017,growing of sugar cane,,,
2018,growing of sugar cane,,,
2019,growing of sugar cane,,,
2020,growing of sugar cane,,,
2021,growing of sugar cane,,,
2022,growing of sugar cane,,,14.3
2023,growing of sugar cane,,,12.5
2024,growing of sugar cane,,,12.5
2025,growing of sugar cane,,,22.2
2016,growing of tobacco,,,
2017,growing of tobacco,,,
2018,growing of tobacco,,,
2019,growing of tobacco,,,
2020,growing of tobacco,,,
2021,growing of tobacco,,,
2022,growing of tobacco,,,9.1
2023,growing of tobacco,,,8.7
2024,growing of tobacco,,,8.0
2025,growing of tobacco,,,7.1
2016,growing of fibre crops,,,
2017,growing of fibre crops,,,
2018,growing of fibre crops,,,
2019,growing of fibre crops,,,
2020,growing of fibre crops,,,
2021,growing of fibre crops,,,
2022,growing of fibre crops,,,15.4
2023,growing of fibre crops,,,17.9
2024,growing of fibre crops,,,16.1
2025,growing of fibre crops,,,17.8
2016,growing of other non-perennial crops,,,
2017,growing of other non-perennial crops,,,
2018,growing of other non-perennial crops,,,
2019,growing of other non-perennial crops,,,
2020,growing of other non-perennial crops,,,
2021,growing of other non-perennial crops,,,
2022,growing of other non-perennial crops,,,25.1
2023,growing of other non-perennial crops,,,24.9
2024,growing of other non-perennial crops,,,25.0
2025,growing of other non-perennial crops,,,26.9
2016,growing of grapes,,,
2017,growing of grapes,,,
2018,growing of grapes,,,
2019,growing of grapes,,,
2020,growing of grapes,,,
2021,growing of grapes,,,
2022,growing of grapes,,,20.7
2023,growing of grapes,,,20.8
2024,growing of grapes,,,21.3
2025,growing of grapes,,,24.9
2016,growing of pome fruits and stone fruits,,,
2017,growing of pome fruits and stone fruits,,,
2018,growing of pome fruits and stone fruits,,,
2019,growing of pome fruits and stone fruits,,,
2020,growing of pome fruits and stone fruits,,,
2021,growing of pome fruits and stone fruits,,,
2022,growing of pome fruits and stone fruits,,,22.4
2023,growing of pome fruits and stone fruits,,,22.3
2024,growing of pome fruits and stone fruits,,,22.6
2025,growing of pome fruits and stone fruits,,,24.7
2016,growing of other tree and bush fruits and nuts,,,
2017,growing of other tree and bush fruits and nuts,,,
2018,growing of other tree and bush fruits and nuts,,,
2019,growing of other tree and bush fruits and nuts,,,
2020,growing of other tree and bush fruits and nuts,,,
2021,growing of other tree and bush fruits and nuts,,,
2022,growing of other tree and bush fruits and nuts,,,21.0
2023,growing of other tree and bush fruits and nuts,,,22.0
2024,growing of other tree and bush fruits and nuts,,,22.7
2025,growing of other tree and bush fruits and nuts,,,23.7
2016,growing of beverage crops,,,
2017,growing of beverage crops,,,
2018,growing of beverage crops,,,
2019,growing of beverage crops,,,
2020,growing of beverage crops,,,
2021,growing of beverage crops,,,
2022,growing of beverage crops,,,33.3
2023,growing of beverage crops,,,33.3
2024,growing of beverage crops,,,33.3
2025,growing of beverage crops,,,33.3
2016,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2017,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2018,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2019,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2020,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2021,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2022,"growing of spices, aromatic, drug and pharmaceutical crops",,,24.8
2023,"growing of spices, aromatic, drug and pharmaceutical crops",,,26.2
2024,"growing of spices, aromatic, drug and pharmaceutical crops",,,26.0
2025,"growing of spices, aromatic, drug and pharmaceutical crops",,,24.3
2016,growing of other perennial crops,,,
2017,growing of other perennial crops,,,
2018,growing of other perennial crops,,,
2019,growing of other perennial crops,,,
2020,growing of other perennial crops,,,
2021,growing of other perennial crops,,,
2022,growing of other perennial crops,,,23.0
2023,growing of other perennial crops,,,25.3
2024,growing of other perennial crops,,,21.9
2025,growing of other perennial crops,,,23.3
2016,plant propagation,,,
2017,plant propagation,,,
2018,plant propagation,,,
2019,plant propagation,,,
2020,plant propagation,,,
2021,plant propagation,,,
2022,plant propagation,,,35.3
2023,plant propagation,,,35.2
2024,plant propagation,,,35.1
2025,plant propagation,,,35.1
2016,raising of dairy cattle,,,
2017,raising of dairy cattle,,,
2018,raising of dairy cattle,,,
2019,raising of dairy cattle,,,
2020,raising of dairy cattle,,,
2021,raising of dairy cattle,,,
2022,raising of dairy cattle,,,21.5
2023,raising of dairy cattle,,,21.4
2024,raising of dairy cattle,,,22.2
2025,raising of dairy cattle,,,23.1
2016,raising of other cattle and buffaloes,,,
2017,raising of other cattle and buffaloes,,,
2018,raising of other cattle and buffaloes,,,
2019,raising of other cattle and buffaloes,,,
2020,raising of other cattle and buffaloes,,,
2021,raising of other cattle and buffaloes,,,
2022,raising of other cattle and buffaloes,,,19.3
2023,raising of other cattle and buffaloes,,,19.6
2024,raising of other cattle and buffaloes,,,17.6
2025,raising of other cattle and buffaloes,,,20.4
2016,raising of horses and other equines,,,
2017,raising of horses and other equines,,,
2018,raising of horses and other equines,,,
2019,raising of horses and other equines,,,
2020,raising of horses and other equines,,,
2021,raising of horses and other equines,,,
2022,raising of horses and other equines,,,35.9
2023,raising of horses and other equines,,,38.3
2024,raising of horses and other equines,,,38.6
2025,raising of horses and other equines,,,39.5
2016,raising of camels and camelids,,,
2017,raising of camels and camelids,,,
2018,raising of camels and camelids,,,
2019,raising of camels and camelids,,,
2020,raising of camels and camelids,,,
2021,raising of camels and camelids,,,
2022,raising of camels and camelids,,,50.0
2023,raising of camels and camelids,,,
2024,raising of camels and camelids,,,
2025,raising of camels and camelids,,,
2016,raising of sheep and goats,,,
2017,raising of sheep and goats,,,
2018,raising of sheep and goats,,,
2019,raising of sheep and goats,,,
2020,raising of sheep and goats,,,
2021,raising of sheep and goats,,,
2022,raising of sheep and goats,,,19.6
2023,raising of sheep and goats,,,19.9
2024,raising of sheep and goats,,,20.5
2025,raising of sheep and goats,,,21.1
2016,raising of swine/pigs,,,
2017,raising of swine/pigs,,,
2018,raising of swine/pigs,,,
2019,raising of swine/pigs,,,
2020,raising of swine/pigs,,,
2021,raising of swine/pigs,,,
2022,raising of swine/pigs,,,23.7
2023,raising of swine/pigs,,,23.6
2024,raising of swine/pigs,,,23.3
2025,raising of swine/pigs,,,23.2
2016,raising of poultry,,,
2017,raising of poultry,,,
2018,raising of poultry,,,
2019,raising of poultry,,,
2020,raising of poultry,,,
2021,raising of poultry,,,
2022,raising of poultry,,,22.2
2023,raising of poultry,,,22.4
2024,raising of poultry,,,22.2
2025,raising of poultry,,,23.7
2016,raising of other animals,,,
2017,raising of other animals,,,
2018,raising of other animals,,,
2019,raising of other animals,,,
2020,raising of other animals,,,
2021,raising of other animals,,,
2022,raising of other animals,,,19.8
2023,raising of other animals,,,19.7
2024,raising of other animals,,,20.6
2025,raising of other animals,,,20.9
2016,mixed farming,,,
2017,mixed farming,,,
2018,mixed farming,,,
2019,mixed farming,,,
2020,mixed farming,,,
2021,mixed farming,,,
2022,mixed farming,,,20.2
2023,mixed farming,,,20.4
2024,mixed farming,,,20.4
2025,mixed farming,,,21.1
2016,support activities for crop production,,,
2017,support activities for crop production,,,
2018,support activities for crop production,,,
2019,support activities for crop production,,,
2020,support activities for crop production,,,
2021,support activities for crop production,,,
2022,support activities for crop production,,,21.0
2023,support activities for crop production,,,21.1
2024,support activities for crop production,,,20.7
2025,support activities for crop production,,,20.9
2016,support activities for animal production,,,
2017,support activities for animal production,,,
2018,support activities for animal production,,,
2019,support activities for animal production,,,
2020,support activities for animal production,,,
2021,support activities for animal production,,,
