Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2015,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2016,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2017,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2018,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2019,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2020,"growing of cereals (except rice), leguminous crops and oil seeds",,,,
2021,"growing of cereals (except rice), leguminous crops and oil seeds",,,,19.4
2022,"growing of cereals (except rice), leguminous crops and oil seeds",,,,19.2
2023,"growing of cereals (except rice), leguminous crops and oil seeds",,,,18.9
2024,"growing of cereals (except rice), leguminous crops and oil seeds",,,,19.3
2015,growing of rice,,,,
2016,growing of rice,,,,
2017,growing of rice,,,,
2018,growing of rice,,,,
2019,growing of rice,,,,
2020,growing of rice,,,,
2021,growing of rice,,,,18.2
2022,growing of rice,,,,21.7
2023,growing of rice,,,,12.5
2024,growing of rice,,,,10.0
2015,"growing of vegetables and melons, roots and tubers",,,,
2016,"growing of vegetables and melons, roots and tubers",,,,
2017,"growing of vegetables and melons, roots and tubers",,,,
2018,"growing of vegetables and melons, roots and tubers",,,,
2019,"growing of vegetables and melons, roots and tubers",,,,
2020,"growing of vegetables and melons, roots and tubers",,,,
2021,"growing of vegetables and melons, roots and tubers",,,,20.3
2022,"growing of vegetables and melons, roots and tubers",,,,19.2
2023,"growing of vegetables and melons, roots and tubers",,,,20.8
2024,"growing of vegetables and melons, roots and tubers",,,,20.6
2015,growing of sugar cane,,,,
2016,growing of sugar cane,,,,
2017,growing of sugar cane,,,,
2018,growing of sugar cane,,,,
2019,growing of sugar cane,,,,
2020,growing of sugar cane,,,,
2021,growing of sugar cane,,,,
2022,growing of sugar cane,,,,
2023,growing of sugar cane,,,,
2024,growing of sugar cane,,,,
2015,growing of tobacco,,,,
2016,growing of tobacco,,,,
2017,growing of tobacco,,,,
2018,growing of tobacco,,,,
2019,growing of tobacco,,,,
2020,growing of tobacco,,,,
2021,growing of tobacco,,,,
2022,growing of tobacco,,,,
2023,growing of tobacco,,,,
2024,growing of tobacco,,,,
2015,growing of fibre crops,,,,
2016,growing of fibre crops,,,,
2017,growing of fibre crops,,,,
2018,growing of fibre crops,,,,
