Year,"Average monthly electricity consumption per household consumer, kilowatt–hours",Value
2015,without electric heating,
2016,without electric heating,161.0
2017,without electric heating,160.0
2018,without electric heating,164.0
2019,without electric heating,165.0
2020,without electric heating,168.0
2021,,
2022,,
2023,,
2024,,
2015,with electric heating,
2016,with electric heating,1.129
2017,with electric heating,1.039
2018,with electric heating,975.0
2019,with electric heating,871.0
2020,with electric heating,954.0
2021,,
2022,,
2023,,
2024,,
