Year,Age,Sex,Type of residence,Region,Value
2015,,,,,24.2
2016,,,,,
2017,,,,,25.6
2018,,,,,
2019,,,,,21.8
2020,,,,,
2021,,,,,17.2
2022,,,,,
2023,,,,,
2024,,,,,
2015,,,urban,,20.1
2016,,,urban,,
2017,,,urban,,21.7
2018,,,urban,,
2019,,,urban,,17.3
2020,,,urban,,
2021,,,urban,,12.6
2022,,,urban,,
2023,,,urban,,
2024,,,urban,,
2015,,,rural,,32.3
2016,,,rural,,
2017,,,rural,,33.3
2018,,,rural,,
2019,,,rural,,30.5
2020,,,rural,,
2021,,,rural,,26.4
2022,,,rural,,
2023,,,rural,,
2024,,,rural,,
2015,up to 18 years,,,,23.3
2016,up to 18 years,,,,
2017,up to 18 years,,,,23.9
2018,up to 18 years,,,,
2019,up to 18 years,,,,20.3
2020,up to 18 years,,,,
2021,up to 18 years,,,,14.0
2022,up to 18 years,,,,
2023,up to 18 years,,,,
2024,up to 18 years,,,,
2015,60 years and older,,,,27.6
2016,60 years and older,,,,
2017,60 years and older,,,,30.9
2018,60 years and older,,,,
2019,60 years and older,,,,27.3
2020,60 years and older,,,,
2021,60 years and older,,,,22.5
2022,60 years and older,,,,
2023,60 years and older,,,,
2024,60 years and older,,,,
2015,,women,,,25.6
2016,,women,,,
2017,,women,,,26.3
2018,,women,,,
2019,,women,,,22.1
2020,,women,,,
2021,,women,,,17.9
2022,,women,,,
2023,,women,,,
2024,,women,,,
2015,,men,,,23.0
2016,,men,,,
2017,,men,,,24.8
2018,,men,,,
2019,,men,,,21.3
2020,,men,,,
2021,,men,,,16.3
2022,,men,,,
2023,,men,,,
2024,,men,,,
2015,,,,Vinnytsya,18.9
2016,,,,Vinnytsya,
2017,,,,Vinnytsya,32.0
2018,,,,Vinnytsya,
2019,,,,Vinnytsya,29.3
2020,,,,Vinnytsya,
2021,,,,Vinnytsya,27.5
2022,,,,Vinnytsya,
2023,,,,Vinnytsya,
2024,,,,Vinnytsya,
2015,,,,Volyn,19.9
2016,,,,Volyn,
2017,,,,Volyn,8.5
2018,,,,Volyn,
2019,,,,Volyn,4.0
2020,,,,Volyn,
2021,,,,Volyn,1.9
2022,,,,Volyn,
2023,,,,Volyn,
2024,,,,Volyn,
2015,,,,Dnipropetrovsk,30.1
2016,,,,Dnipropetrovsk,
2017,,,,Dnipropetrovsk,26.6
2018,,,,Dnipropetrovsk,
2019,,,,Dnipropetrovsk,29.1
2020,,,,Dnipropetrovsk,
2021,,,,Dnipropetrovsk,17.0
2022,,,,Dnipropetrovsk,
2023,,,,Dnipropetrovsk,
2024,,,,Dnipropetrovsk,
2015,,,,Donetsk,33.4
2016,,,,Donetsk,
2017,,,,Donetsk,19.0
2018,,,,Donetsk,
2019,,,,Donetsk,21.1
2020,,,,Donetsk,
2021,,,,Donetsk,8.9
2022,,,,Donetsk,
2023,,,,Donetsk,
2024,,,,Donetsk,
2015,,,,Kyiv,8.9
2016,,,,Kyiv,
2017,,,,Kyiv,7.9
2018,,,,Kyiv,
2019,,,,Kyiv,14.4
2020,,,,Kyiv,
2021,,,,Kyiv,6.7
2022,,,,Kyiv,
2023,,,,Kyiv,
2024,,,,Kyiv,
2015,,,,the city of Kyiv,5.9
2016,,,,the city of Kyiv,
2017,,,,the city of Kyiv,4.8
2018,,,,the city of Kyiv,
2019,,,,the city of Kyiv,5.0
2020,,,,the city of Kyiv,
2021,,,,the city of Kyiv,3.1
2022,,,,the city of Kyiv,
2023,,,,the city of Kyiv,
2024,,,,the city of Kyiv,
