Year,Type of residence,Household type,Region,Value
2015,,,,10.2
2016,,,,14.7
2017,,,,15.4
2018,,,,13.9
2019,,,,13.0
2020,,,,12.9
2021,,,,13.8
2022,,,,
2023,,,,
2024,,,,
2015,urban,,,11.4
2016,urban,,,15.7
2017,urban,,,16.6
2018,urban,,,15.0
2019,urban,,,14.4
2020,urban,,,14.6
2021,urban,,,15.4
2022,urban,,,
2023,urban,,,
2024,urban,,,
2015,rural,,,7.4
2016,rural,,,12.5
2017,rural,,,12.8
2018,rural,,,11.4
2019,rural,,,9.7
2020,rural,,,9.0
2021,rural,,,10.1
2022,rural,,,
2023,rural,,,
2024,rural,,,
2015,,households/families with children,,9.5
2016,,households/families with children,,13.8
2017,,households/families with children,,14.6
2018,,households/families with children,,12.8
2019,,households/families with children,,12.0
2020,,households/families with children,,12.4
2021,,households/families with children,,12.7
2022,,households/families with children,,
2023,,households/families with children,,
2024,,households/families with children,,
2015,,households/families without children,,10.8
2016,,households/families without children,,15.4
2017,,households/families without children,,16.2
2018,,households/families without children,,14.9
2019,,households/families without children,,13.8
2020,,households/families without children,,13.3
2021,,households/families without children,,14.8
2022,,households/families without children,,
2023,,households/families without children,,
2024,,households/families without children,,
2015,,,Vinnytsya,8.5
2016,,,Vinnytsya,13.9
2017,,,Vinnytsya,13.5
2018,,,Vinnytsya,12.4
2019,,,Vinnytsya,11.4
2020,,,Vinnytsya,11.3
2021,,,Vinnytsya,12.3
2022,,,Vinnytsya,
2023,,,Vinnytsya,
2024,,,Vinnytsya,
2015,,,Volyn,8.7
2016,,,Volyn,14.6
2017,,,Volyn,13.7
2018,,,Volyn,12.5
2019,,,Volyn,9.3
2020,,,Volyn,9.2
2021,,,Volyn,10.5
2022,,,Volyn,
2023,,,Volyn,
2024,,,Volyn,
2015,,,Dnipropetrovsk,11.2
2016,,,Dnipropetrovsk,14.2
2017,,,Dnipropetrovsk,15.5
2018,,,Dnipropetrovsk,13.1
2019,,,Dnipropetrovsk,13.0
2020,,,Dnipropetrovsk,12.0
2021,,,Dnipropetrovsk,13.2
2022,,,Dnipropetrovsk,
2023,,,Dnipropetrovsk,
2024,,,Dnipropetrovsk,
2015,,,Donetsk,10.5
2016,,,Donetsk,15.5
2017,,,Donetsk,15.6
2018,,,Donetsk,15.6
2019,,,Donetsk,13.2
2020,,,Donetsk,13.0
2021,,,Donetsk,16.5
2022,,,Donetsk,
2023,,,Donetsk,
2024,,,Donetsk,
2015,,,Kyiv,12.8
2016,,,Kyiv,17.8
2017,,,Kyiv,19.0
2018,,,Kyiv,17.4
2019,,,Kyiv,16.0
2020,,,Kyiv,16.3
2021,,,Kyiv,15.8
2022,,,Kyiv,
2023,,,Kyiv,
2024,,,Kyiv,
2015,,,the city of Kyiv,12.4
2016,,,the city of Kyiv,16.2
2017,,,the city of Kyiv,18.0
2018,,,the city of Kyiv,16.1
2019,,,the city of Kyiv,15.7
2020,,,the city of Kyiv,18.0
2021,,,the city of Kyiv,17.3
2022,,,the city of Kyiv,
2023,,,the city of Kyiv,
2024,,,the city of Kyiv,
